place;username;date;text;permalink
0c2e6999105f8070;SpellmanShane;2016-11-06 22:45;"@ladygaga @realDonaldTrump @HillaryClinton Go Gaga go! I stand with #HillaryClintonforpresident as well! #byebyeTrump #VoteHillary2016";https://twitter.com/SpellmanShane/status/795381729343090688
0c2e6999105f8070;SpellmanShane;2016-11-06 18:59;"@HillaryClinton @HFA I choose Hillary! #HillaryClintonforpresident #USElections2016 #imwithher #TimKaine #POTUS #VOTEHILLARY pic.twitter.com/e19E2FBJE2";https://twitter.com/SpellmanShane/status/795324695767760896
0c2e6999105f8070;SpellmanShane;2016-11-06 18:44;"@HillaryClinton @HFA Great final ad! #HillaryClinton #Hillary2016 #imwithher #TimKaine #USElections2016 https://www. facebook.com/michrx/posts/1 0154071920646239 …";https://twitter.com/SpellmanShane/status/795321001819009024
0c2e6999105f8070;MillieHerrera;2016-11-06 09:45;"Beyond insane #NeverTrump blames @HillaryClinton 4 GOP protester who DID NOT have a gun, but he asks supporters to open carry @his rallies!";https://twitter.com/MillieHerrera/status/795185279799693312
0c2e6999105f8070;dr_bruin;2016-11-06 07:25;"@nobarriers2016 @CorrectRecord @HillaryClinton This is an example of what compels me to vote for this extraordinary woman, HILLARY CLINTON!";https://twitter.com/dr_bruin/status/795150068345020417
0c2e6999105f8070;bdouglasX;2016-11-06 01:31;"@HillaryClinton #imwithher pic.twitter.com/jw7PY6spcg";https://twitter.com/bdouglasX/status/795061050194300928
0c2e6999105f8070;KiniroTonada;2016-11-05 22:28;"@buttonspony @realDonaldTrump @HillaryClinton but infallible tho. I'm going to knock the one who can't own up to it.";https://twitter.com/KiniroTonada/status/795014913911504896
0c2e6999105f8070;KiniroTonada;2016-11-05 22:06;"Dear @realDonaldTrump you are a worse liar than @HillaryClinton . And you want to run for president. For shame.";https://twitter.com/KiniroTonada/status/795009311474741250
0c2e6999105f8070;MelissaFazli;2016-11-05 20:35;"Don't worry @BernieSanders @HillaryClinton got this pic.twitter.com/8VoRkPXi0T";https://twitter.com/MelissaFazli/status/794986566909194240
0c2e6999105f8070;chiaria6;2016-11-05 17:20;"@HillaryClinton We have seen you melt downs Hilary.";https://twitter.com/chiaria6/status/794937549374402560
