place;username;date;text;permalink
0c2e6999105f8070;SpellmanShane;2016-11-06 23:23;"@realDonaldTrump If you can't handle your Twitter b/c of your temperament then you can't handle the codes to our nuclear arsenal. Period!";https://twitter.com/SpellmanShane/status/795391152732049408
0c2e6999105f8070;SpellmanShane;2016-11-06 23:05;"@realDonaldTrump To ensure that YOU don't get elected on 11/8! Duh #VOTEHILLARY #HillaryClintonforpresident #NeverTrump #StrongerTogether";https://twitter.com/SpellmanShane/status/795386645738467328
0c2e6999105f8070;SpellmanShane;2016-11-06 22:45;"@ladygaga @realDonaldTrump @HillaryClinton Go Gaga go! I stand with #HillaryClintonforpresident as well! #byebyeTrump #VoteHillary2016";https://twitter.com/SpellmanShane/status/795381729343090688
0c2e6999105f8070;mobashirahmed;2016-11-06 21:13;"@realDonaldTrump calls military commanders 'group of losers'. Honor is what they stand for. Shame!";https://twitter.com/mobashirahmed/status/795358408119459840
0c2e6999105f8070;DSifling;2016-11-06 19:38;"Looking forward to a president @realDonaldTrump who will support our Police and not give in to lies and deceit. #MakeAmericaGreatAgain pic.twitter.com/k66q5rjv72";https://twitter.com/DSifling/status/795334497377996801
0c2e6999105f8070;onfireImpact;2016-11-06 19:37;"@DeathBoose @Janetzky_ @realDonaldTrump si, si.";https://twitter.com/onfireImpact/status/795334221841645568
0c2e6999105f8070;Thecentury21guy;2016-11-06 15:31;"@Lyndalambrusco1 @mitchellvii @realDonaldTrump #Bernie Electoral Voters say they will cast vote for Trump even if Hillary wins their state.";https://twitter.com/Thecentury21guy/status/795272407749574656
0c2e6999105f8070;Thecentury21guy;2016-11-06 15:31;"@mitchellvii @realDonaldTrump @seanhannity #Bernie Electoral Voters say they will cast vote for Trump even if Hillary wins their state.";https://twitter.com/Thecentury21guy/status/795272331270627328
0c2e6999105f8070;Thecentury21guy;2016-11-06 15:30;"@mitchellvii @realDonaldTrump @seanhannity #Bernie Electoral Voters say they will cast vote for Trump even if Hillary wins their state.";https://twitter.com/Thecentury21guy/status/795272207031214082
0c2e6999105f8070;CoastReport;2016-11-06 02:25;"#BREAKING now. Secret service had to protect @realDonaldTrump https:// twitter.com/cnn/status/795 070936366141440 …";https://twitter.com/CoastReport/status/795074535401754624
0c2e6999105f8070;dusteallen;2016-11-06 02:03;"LOL. This is a Pence Ryan picture... where is @realDonaldTrump ? https:// twitter.com/pryan/status/7 95044273171402752 …";https://twitter.com/dusteallen/status/795069005501341697
0c2e6999105f8070;rejenriquez;2016-11-06 01:01;"@realDonaldTrump Get out to vote on November 8th, and remember to wear red, and help make America great again. Latinos for Trump #2016";https://twitter.com/rejenriquez/status/795053493161558017
0c2e6999105f8070;jfrenchMusic;2016-11-05 23:22;"@realDonaldTrump @TheIJR #draintheswamp";https://twitter.com/jfrenchMusic/status/795028475551715328
0c2e6999105f8070;KiniroTonada;2016-11-05 22:28;"@buttonspony @realDonaldTrump @HillaryClinton but infallible tho. I'm going to knock the one who can't own up to it.";https://twitter.com/KiniroTonada/status/795014913911504896
0c2e6999105f8070;KiniroTonada;2016-11-05 22:06;"Dear @realDonaldTrump you are a worse liar than @HillaryClinton . And you want to run for president. For shame.";https://twitter.com/KiniroTonada/status/795009311474741250
0c2e6999105f8070;Thecentury21guy;2016-11-05 20:11;"@tinkymoo4 @rescuetracker81 @mcuban @MADE__USA @realDonaldTrump @seanhannity @FoxNews @DiamondandSilk @latinaafortrump @DanScavino pic.twitter.com/K62tbpTIZb";https://twitter.com/Thecentury21guy/status/794980491568889856
0c2e6999105f8070;chiaria6;2016-11-05 17:26;"@srichert49 @realDonaldTrump That is why we all need to vote for Trump.";https://twitter.com/chiaria6/status/794938859523969024
0c2e6999105f8070;chiaria6;2016-11-05 16:44;"@FoxNews @tedcruz @realDonaldTrump God bless you Ted. Your time will come. Respect you for your decision.";https://twitter.com/chiaria6/status/794928447860527104
0c2e6999105f8070;ariazati12;2016-11-05 06:49;"HEY @realDonaldTrump ! I heard you want to monitor my social media.Monitor this";https://twitter.com/ariazati12/status/794778609277771776
0c2e6999105f8070;ShellyLazoff;2016-11-05 04:26;"@abctweet100 @tkdmike @realDonaldTrump @HillaryClinton @SMShow he's a liar and a thief";https://twitter.com/ShellyLazoff/status/794742732950413312
0c2e6999105f8070;ShellyLazoff;2016-11-05 04:25;"@jrgaillot @realDonaldTrump kill himself";https://twitter.com/ShellyLazoff/status/794742345283424256
0c2e6999105f8070;AwallVs;2016-11-05 02:25;"@thisisoutspeak @shahrzadrafati @realDonaldTrump only the best words";https://twitter.com/AwallVs/status/794712233171357696
0c2e6999105f8070;femmetourist;2016-11-03 18:44;"@realDonaldTrump I think you should buy Arlene a new walker for her efforts!";https://twitter.com/femmetourist/status/794233820354461696
0c2e6999105f8070;RealChrisDome;2016-11-03 17:59;"... BREXIT .... CUBS WIN ..... PRESIDENT TRUMP... @realDonaldTrump @KatrinaPierson @FoxNews @TheFive @seanhannity #MAGA #Trump2016";https://twitter.com/RealChrisDome/status/794222359343288320
0c2e6999105f8070;grymatr;2016-11-03 06:29;"@realDonaldTrump I do overs here so cal I voted today against you worthless con man ass";https://twitter.com/grymatr/status/794048856828674048
0c2e6999105f8070;RealChrisDome;2016-11-03 01:48;"#VoteTrump #VoteTrump #VoteTrump #DrainTheSwamp #DrainTheSwamp #VoteTrumpPence16 #MAGA #NeverHillary #MAGA @realDonaldTrump #USA";https://twitter.com/RealChrisDome/status/793978207301029888
0c2e6999105f8070;RealChrisDome;2016-11-03 01:17;"@realDonaldTrump @waynelapierrejr @DonaldJTrumpJr @EricTrump TRUMP/PENCE...2016 Protect our second amendment rights. #NRA #MAGA";https://twitter.com/RealChrisDome/status/793970205063950337
0c2e6999105f8070;harleykid59;2016-11-03 00:33;"@realDonaldTrump @KellyannePolls I heard on Fox News that the Clinton Foundation is being investigated currently.She has two investigation";https://twitter.com/harleykid59/status/793959185570369536
0c2e6999105f8070;hectormercado;2016-11-02 20:03;"@StopTrumpIn16 @realDonaldTrump actually is also pity";https://twitter.com/hectormercado/status/793891237669371904
0c2e6999105f8070;DesmondRaylan;2016-11-02 13:07;"@pyrophore @realDonaldTrump @CarbonatedTV you worthless liberals are disgusting!";https://twitter.com/DesmondRaylan/status/793786548571426816
0c2e6999105f8070;Strable;2016-11-02 07:24;"@realDonaldTrump u up?";https://twitter.com/Strable/status/793700349118849025
0c2e6999105f8070;Camstance;2016-11-02 02:08;"@FoxNews @machadooficial @HillaryClinton @realDonaldTrump give me a break. I dealt with weight problems my whole life. Get skinny then";https://twitter.com/Camstance/status/793620646097854464
0c2e6999105f8070;grymatr;2016-11-01 23:06;"@MLBNetwork homers at MLB America isn't pulling for @Cubs just like we aren't voting for @realDonaldTrump";https://twitter.com/grymatr/status/793574959201128449
0c2e6999105f8070;quitebythesea;2016-11-01 22:24;"@realDonaldTrump @TeamTrump ABSOLUTLY bummer care has failed us!";https://twitter.com/quitebythesea/status/793564271799963649
0c2e6999105f8070;Rima_Regas;2016-11-01 18:09;"@SpeakerRyan is like the scorpion in the Scorpion & The Frog fable. He just couldn't help himself and voted for @RealDonaldTrump";https://twitter.com/Rima_Regas/status/793500343770320899
0c2e6999105f8070;DesmondRaylan;2016-11-01 14:14;"@stakessweeper @mrshellwinger @FuturisticHub @realDonaldTrump liberal scum must b fought back to stop the country from turning into Stockton";https://twitter.com/DesmondRaylan/status/793441127848214528
0c2e6999105f8070;DesmondRaylan;2016-11-01 14:13;"@guitarbore @realDonaldTrump did you mean the uranium Hillary sold them...or are you just stupid and misinformed.... idiot";https://twitter.com/DesmondRaylan/status/793440782690623488
0c2e6999105f8070;DesmondRaylan;2016-11-01 14:12;"@ZenMaddie @realDonaldTrump yeah.... how's your state doing.... any more city bankruptcies??? Murder rate Ok?";https://twitter.com/DesmondRaylan/status/793440532642934784
0c2e6999105f8070;DesmondRaylan;2016-11-01 14:08;"@stakessweeper @mrshellwinger @FuturisticHub @realDonaldTrump and your candidate hates the poorly educated.. how's your ASS taste?";https://twitter.com/DesmondRaylan/status/793439601763373056
0c2e6999105f8070;DesmondRaylan;2016-11-01 14:06;"@mrshellwinger @realDonaldTrump how'd that work out?... you dishonest piece of garbage!";https://twitter.com/DesmondRaylan/status/793439143514603520
0c2e6999105f8070;DesmondRaylan;2016-11-01 14:05;"@MomsThoughts @pjchatfield @realDonaldTrump @NYDailyNews who are you referring? Bill Clinton?";https://twitter.com/DesmondRaylan/status/793438918293061632
0c2e6999105f8070;DesmondRaylan;2016-11-01 14:05;"@AdjectiveNouns @HMAN96_BOSTON @realDonaldTrump hoping someone commits suicide makes you an unredeamable worthless piece of shit!";https://twitter.com/DesmondRaylan/status/793438711501303808
0c2e6999105f8070;DesmondRaylan;2016-11-01 14:03;"@alex_forreal @PlacedeBastille @realDonaldTrump I agree you are sick!!!";https://twitter.com/DesmondRaylan/status/793438424963305472
0c2e6999105f8070;DesmondRaylan;2016-11-01 14:03;"@designergirla @realDonaldTrump wow... how hypocritical are you???btw it was rhetoric you dumb fuck";https://twitter.com/DesmondRaylan/status/793438294944034816
0c2e6999105f8070;DesmondRaylan;2016-11-01 14:02;"@TPH_news @realDonaldTrump do you mean the slander case against you you worthless POS?!?";https://twitter.com/DesmondRaylan/status/793437996603224064
0c2e6999105f8070;DesmondRaylan;2016-11-01 14:01;"@ManLikeWatson @realDonaldTrump should have just give as an asshole.... you wouldn't have needed a costume!";https://twitter.com/DesmondRaylan/status/793437697952014337
0c2e6999105f8070;DesmondRaylan;2016-11-01 14:00;"@OfficialSPGB @realDonaldTrump how about you go live in a socialist country and stop trying to run this one!";https://twitter.com/DesmondRaylan/status/793437468993269760
0c2e6999105f8070;DesmondRaylan;2016-11-01 13:59;"@WaldoWilbur @realDonaldTrump hope not....bc if he loses so does the rest of the country. Hillary is evil!!!";https://twitter.com/DesmondRaylan/status/793437212138287104
