place;username;date;text;permalink
18810aa5b43e76c7;luigibleu;2016-11-07 00:18;"@msnbc Jesus H. Chist, @stevekornacki , Why are you letting @KellyannePolls lie about @HillaryClinton ? Is @realDonaldTrump groping you?";https://twitter.com/luigibleu/status/795405081466327040
18810aa5b43e76c7;ConstanceJackso;2016-11-07 00:10;"@realDonaldTrump U Gonna Retract ALL TRASH U TALKED ABOUT HRC? Figure No, Since U Can't Retract Central Park 5 PROVED INNOCENT DNA EVIDENCE!";https://twitter.com/ConstanceJackso/status/795403071249645568
18810aa5b43e76c7;guadcecilia_hg;2016-11-07 00:06;"@realDonaldTrump hey fyi this is how you handle protesters https:// twitter.com/freddyamazin/s tatus/795273533677072384 …";https://twitter.com/guadcecilia_hg/status/795401947385884673
18810aa5b43e76c7;luigibleu;2016-11-06 23:48;"We should follow @realDonaldTrump 's lead to get rid of anchor babies and deport Barron Trump along with @MELANIATRUMP";https://twitter.com/luigibleu/status/795397522449723392
18810aa5b43e76c7;cowboyneok;2016-11-06 23:44;"@realDonaldTrump Clinton cleared but #Trump 's Fraud Case might cause #Constitutionalcrisis #TrumpUniversity #VetsAgainstTrump";https://twitter.com/cowboyneok/status/795396537044127746
18810aa5b43e76c7;JZmirak;2016-11-06 23:07;"Is voting @realDonaldTrump like shooting an abortionist? @DouthatNYT thinks so. http:// spectator.org/is-voting-for- donald-trump-like-shooting-an-abortionist/ …";https://twitter.com/JZmirak/status/795387265073745921
18810aa5b43e76c7;ClydePhillips;2016-11-06 22:56;"@realDonaldTrump pic.twitter.com/NF626LuQ4A";https://twitter.com/ClydePhillips/status/795384488209616905
18810aa5b43e76c7;ClydePhillips;2016-11-06 22:55;"@Reince @robertjeffress @SpeakerRyan @MittRomney @realDonaldTrump pic.twitter.com/RkfgfmpOkx";https://twitter.com/ClydePhillips/status/795384220499771392
18810aa5b43e76c7;ClydePhillips;2016-11-06 22:54;"@realDonaldTrump @Reince @FoxNews @vladduthiersCBS @politico @PRyan @robertjeffress pic.twitter.com/pOhcx7J0fn";https://twitter.com/ClydePhillips/status/795383932422356992
18810aa5b43e76c7;ClydePhillips;2016-11-06 22:52;"@realDonaldTrump @Reince pic.twitter.com/GTQDNHoUEw";https://twitter.com/ClydePhillips/status/795383457211879424
