place;username;date;text;permalink
1c69a67ad480e1b1;rm78387;2016-11-15 00:35;"@realDonaldTrump so surprised of the harassment to minorities when he instigated the racial tension. @foxnewslatino";https://twitter.com/rm78387/status/798308412236906496
1c69a67ad480e1b1;JohnHernandeztx;2016-11-15 00:34;"@HeyTammyBruce @realDonaldTrump @TheLeadCNN @CNN Had HRC won, @BarackObama would be reminding us that it is OK to punish your enemies.";https://twitter.com/JohnHernandeztx/status/798308058212499456
1c69a67ad480e1b1;MahmoudiMehrdad;2016-11-15 00:20;"@JoeNBC @realDonaldTrump @PamelaGeller you don't have to sell her, he is on board I'm sure.";https://twitter.com/MahmoudiMehrdad/status/798304610385596417
1c69a67ad480e1b1;FitKingRichard;2016-11-15 00:19;"@realDonaldTrump Plz remove Taxes from Social Security income for seniors put there by the first Clinton. Help the elderly!";https://twitter.com/FitKingRichard/status/798304326733201408
1c69a67ad480e1b1;SJActress;2016-11-15 00:14;"@realDonaldTrump @nytimes No they're not.";https://twitter.com/SJActress/status/798303064180539392
1c69a67ad480e1b1;SJActress;2016-11-15 00:13;"@realDonaldTrump The fact that 1/2 of the population is necessarily of below average intelligence "gave" you YOUR win, which is OUR loss.";https://twitter.com/SJActress/status/798302916511694848
1c69a67ad480e1b1;leigh_arroyo;2016-11-14 23:53;"@realDonaldTrump 's Attorney General can assign d job 2 a qualified one. Let this chief sit on his table doing d counting of #of deportees https:// twitter.com/anthonyeinzig/ status/798291060556492800 …";https://twitter.com/leigh_arroyo/status/798297768255164417
1c69a67ad480e1b1;leigh_arroyo;2016-11-14 23:47;"Yes, @twitter will censor all @realDonaldTrump supporters tweet than the treats made by Democrats! Some of my tweets was made unavailable https:// twitter.com/brittpettibone /status/798285052358471680 …";https://twitter.com/leigh_arroyo/status/798296295458775040
1c69a67ad480e1b1;rm78387;2016-11-14 23:29;"@foxnewslatino Los Americanos are paying for the wall. #wethepeople will be stuck with the debt. @realDonaldTrump";https://twitter.com/rm78387/status/798291891607375872
1c69a67ad480e1b1;maddezmom;2016-11-14 23:28;"@juliannagoldman @maggieNYT @realDonaldTrump @WhiteHouse @CBSEveningNews oh HELL NO!";https://twitter.com/maddezmom/status/798291606042447872
1c69a67ad480e1b1;joshgremillion;2016-11-14 23:24;". @realDonaldTrump is right when he says social media is the modern form of communication. We have reached MILLIONS using it! #PresidentTrump pic.twitter.com/9B3HVrdA2m";https://twitter.com/joshgremillion/status/798290581814464516
1c69a67ad480e1b1;MahmoudiMehrdad;2016-11-14 23:07;"@CraigRozniecki @washingtonpost and let the shakedown of the @realDonaldTrump aka the orange baboon begin.";https://twitter.com/MahmoudiMehrdad/status/798286138632867840
1c69a67ad480e1b1;BrettBagur;2016-11-14 22:57;"@DeoVolente16 @USATODAY @realDonaldTrump Clinton got away with it...why double standard? Oh...that's right...";https://twitter.com/BrettBagur/status/798283750324858881
1c69a67ad480e1b1;mhai56;2016-11-14 22:56;"@lovetoes69 @RealMuckmaker @politicususa @realDonaldTrump I miss understood my comments. What I mean 4 more years more disgusting!";https://twitter.com/mhai56/status/798283442358104065
1c69a67ad480e1b1;higthsresident;2016-11-14 22:39;"@_RealValentina_ @politico @FoxNews @realDonaldTrump arrest him. And deport him";https://twitter.com/higthsresident/status/798279088393752576
1c69a67ad480e1b1;joshgremillion;2016-11-14 22:32;"Companies in the US have so much respect for @realDonaldTrump - he is going to help them grow & prosper. @TeamTrump http://www. foxbusiness.com/politics/2016/ 11/14/trump-went-to-war-with-motor-city-and-won.html …";https://twitter.com/joshgremillion/status/798277436458856448
1c69a67ad480e1b1;paulkellysr;2016-11-14 22:26;"Obama care is a Big Fat Lie, premiums, deductibles escalating Coverage decreasing (Unaffordable Care) @realDonaldTrump @CNNPolitics https:// twitter.com/foxnews/status /798263584753123329 …";https://twitter.com/paulkellysr/status/798276026606514176
1c69a67ad480e1b1;jcmcmillan4661;2016-11-14 22:24;"@WhiteHouse @POTUS @realDonaldTrump Let us work together to provide food, water, shelter, and healthcare to every American.";https://twitter.com/jcmcmillan4661/status/798275360362266624
1c69a67ad480e1b1;_Markhoess_;2016-11-14 22:22;"@realDonaldTrump let me have $1 million";https://twitter.com/_Markhoess_/status/798274978663825408
1c69a67ad480e1b1;BillWhmiii;2016-11-14 22:21;"@InGodIDoTrust @realDonaldTrump Never drink another Pepsi product ever,they are permanently BOYCOTTED I say STUFF IT TO CEO OF PEPSI";https://twitter.com/BillWhmiii/status/798274646864961536
1c69a67ad480e1b1;pononzu;2016-11-14 22:21;"@FoxNews @realDonaldTrump @POTUS Sure pic.twitter.com/Q0D5eXonWJ";https://twitter.com/pononzu/status/798274626531028993
1c69a67ad480e1b1;BillWhmiii;2016-11-14 22:15;"@realDonaldTrump Late night comics are so off their game they can't even be funny,they are lost and it's incredibly satisfying. Go Trump!";https://twitter.com/BillWhmiii/status/798273285133922304
1c69a67ad480e1b1;BillWhmiii;2016-11-14 22:14;"@realDonaldTrump All the late night talk shows that made fun of You aren't laughing now.they were hateful,incl OBAMA not tasty eating crow";https://twitter.com/BillWhmiii/status/798272908313432066
1c69a67ad480e1b1;mikesmith8026;2016-11-14 22:09;"@realDonaldTrump WE THE PEOPLE LOYAL , DIEHARD TRUMPS SUPPORTERS LOVE GREAT, GREAT, GREAT STATEVOF OHIO NOT GOVERNOR UGLY JOHN FORGOT HIS";https://twitter.com/mikesmith8026/status/798271687074676736
1c69a67ad480e1b1;twi1776;2016-11-14 22:05;"@Fisheswithfeet @BuzzFeedNews @realDonaldTrump @rezaaslan never mention the left wing nut jobs rioting in d plantations. liberal hypocrite";https://twitter.com/twi1776/status/798270556365881345
1c69a67ad480e1b1;willowbhoward;2016-11-14 21:55;"@realDonaldTrump U'LL NEVER BE RESPECTED BC U DISRESPECTED MILLIONS. HRC WON MORE VOTES, MAJORITY WILL ALWAYS REJECT U, RACIST, UNFIT LIAR";https://twitter.com/willowbhoward/status/798268207664603136
