place;username;date;text;permalink
1c69a67ad480e1b1;glenntu;2016-11-07 00:39;". @seanhannity @LindaSuhler @realDonaldTrump @greetandtweet Obama won't prosecute illegals voting. Anybody think other voter fraud prosecuted";https://twitter.com/glenntu/status/795410226484756480
1c69a67ad480e1b1;_erock;2016-11-07 00:26;"This is pussy grabbing @realDonaldTrump https:// twitter.com/slate/status/7 95376131012694020 …";https://twitter.com/_erock/status/795407128483741697
1c69a67ad480e1b1;rm78387;2016-11-07 00:14;"@realDonaldTrump I thought @HillaryClinton was a liar but Trump is also a liar. #wethepeople do not trust either candidate.";https://twitter.com/rm78387/status/795404028335259652
1c69a67ad480e1b1;deb7777s;2016-11-07 00:09;"@realDonaldTrump we you. #MAGA";https://twitter.com/deb7777s/status/795402788700360704
1c69a67ad480e1b1;EternallyKSP;2016-11-07 00:04;"@realDonaldTrump hold this L";https://twitter.com/EternallyKSP/status/795401388637425666
1c69a67ad480e1b1;dominique1962;2016-11-06 23:45;"@NetworksManager @realDonaldTrump @WikiLeaks drain the black swamp #Light";https://twitter.com/dominique1962/status/795396639527698432
1c69a67ad480e1b1;SusanPoe7;2016-11-06 23:18;"@realDonaldTrump Uh, you won't have even 1 Day thank God! https:// twitter.com/realdonaldtrum p/status/791068759750422528 …";https://twitter.com/SusanPoe7/status/795389871108005888
1c69a67ad480e1b1;NRSDAWG;2016-11-06 23:00;"@newtgingrich for me it is another reason to vote @realDonaldTrump because this @FBI just proved to be another arm of the political power";https://twitter.com/NRSDAWG/status/795385310523916290
1c69a67ad480e1b1;RobertRAustin2;2016-11-06 22:57;"@LouDobbs @realDonaldTrump @KellyannePolls where are the sorry ass Bush family, Romney, Kristol, Hayes, Perino, Mitch, Rove, kasich, GOPe?";https://twitter.com/RobertRAustin2/status/795384754409504768
1c69a67ad480e1b1;mommavandam;2016-11-06 22:47;"@JamilSmith @POTUS @realDonaldTrump @HillaryClinton that's got to grab him by his small hands. #ImWithHer https:// twitter.com/jamilsmith/sta tus/795378792730595328 …";https://twitter.com/mommavandam/status/795382203840655360
