place;username;date;text;permalink
3b77caf94bfc81fe;noteman9;2016-11-15 00:54;"@realDonaldTrump Please no Corker! He betrayed us on the Iran deal. Bad guy or stupid guy, not sure which.";https://twitter.com/noteman9/status/798313199288209408
3b77caf94bfc81fe;raftofwater;2016-11-15 00:51;"Dear @MELANIATRUMP @realDonaldTrump Tutor Baron to carry a Don Quixote sword to lead wayward children back into the classroom. Or #PiedPiper";https://twitter.com/raftofwater/status/798312403364495360
3b77caf94bfc81fe;MartinWiener;2016-11-15 00:38;"@Marianneshope @JamesOKeefeIII @FederalTyranny @LesleyRStahl @realDonaldTrump That goes for 99.9% of MSM reporters.";https://twitter.com/MartinWiener/status/798309095723835392
3b77caf94bfc81fe;carlybott;2016-11-15 00:32;"@realDonaldTrump already making football great again https:// twitter.com/whatadog9/stat us/798307247357128709 …";https://twitter.com/carlybott/status/798307719115481088
3b77caf94bfc81fe;marvlous1;2016-11-15 00:28;"@realDonaldTrump Obama should start moving our ships towards N.Korea.We need to show them the times are a changin with a new Potus coming";https://twitter.com/marvlous1/status/798306539962404864
3b77caf94bfc81fe;SheriHerman10;2016-11-15 00:11;"@ThomasEWoods @Eruanion @realDonaldTrump Very poor choice.";https://twitter.com/SheriHerman10/status/798302333079724032
3b77caf94bfc81fe;PRGirlJasmine;2016-11-14 23:54;"My reaction to @realDonaldTrump 's interview with @60Minutes !! #NotMyPresident #DumpTrump #DumpRyan #BridgetJones #electoralcollegemustgo pic.twitter.com/TgWz4j97CT";https://twitter.com/PRGirlJasmine/status/798298017782632452
3b77caf94bfc81fe;americanowradio;2016-11-14 23:49;"Transition teams are busy for President @realDonaldTrump . TONIGHT: We’ll discuss with @JoeConchaTV , @JayCaruso and @BenFergusonShow pic.twitter.com/VaCkYGLbxs";https://twitter.com/americanowradio/status/798296765946597376
3b77caf94bfc81fe;AliceKo1223;2016-11-14 23:42;"@realDonaldTrump watching 60min. TY 4 telling harassers 2STOP IT. I have friends who're victims. Pls keep telling them that you disapprove.";https://twitter.com/AliceKo1223/status/798295010525356032
3b77caf94bfc81fe;shaebowe;2016-11-14 23:38;"By the way #Republicans #republicanparty I'd love to hear you explain @realDonaldTrump hiring an anti Semitic white nationalist. Go ahead.";https://twitter.com/shaebowe/status/798294021168721920
3b77caf94bfc81fe;TheEditDog;2016-11-14 23:37;"@realDonaldTrump @maddow Yes. Just ask East Germany.";https://twitter.com/TheEditDog/status/798293898330128384
3b77caf94bfc81fe;dvsndvs;2016-11-14 23:28;"@realDonaldTrump @nytimes Donny you do know it is in tape, right?";https://twitter.com/dvsndvs/status/798291496508108800
3b77caf94bfc81fe;wmjenkins3;2016-11-14 23:11;"@dick_nixon @realDonaldTrump On KHJ Channel 9, following the Million Dollar Movie.";https://twitter.com/wmjenkins3/status/798287185187250176
3b77caf94bfc81fe;TayGeezy;2016-11-14 22:37;"@realDonaldTrump hey are you going to appoint and Black or Mexicans to your cabinet? Or you only alt-right members????";https://twitter.com/TayGeezy/status/798278671022723072
3b77caf94bfc81fe;SheriHerman10;2016-11-14 22:24;"@philacity @realDonaldTrump Bused in? Very much so. To their (Soros/Clinton) agenda go to #disruptj20";https://twitter.com/SheriHerman10/status/798275424950185984
3b77caf94bfc81fe;realLindaPark;2016-11-14 22:20;"@realDonaldTrump SPEAK against the name calling, the bullying, the violence and show your humanity. Not just as president but as a man.";https://twitter.com/realLindaPark/status/798274516958867458
3b77caf94bfc81fe;realLindaPark;2016-11-14 22:17;"@realDonaldTrump if you truly speak of #unity SPEAK against acts of racism, misogyny and hate. SPEAK against swastikas, confederate flags";https://twitter.com/realLindaPark/status/798273654953897986
3b77caf94bfc81fe;MaxsowellOne;2016-11-14 22:16;"@realDonaldTrump Going to be a long hard slog to defeat the Soros/Cuomo/Emmanuel/Pelosi left lib socialists. They have $, resources, determ";https://twitter.com/MaxsowellOne/status/798273302053548034
3b77caf94bfc81fe;RaysRRR;2016-11-14 22:12;"@realDonaldTrump @nytimes stop trying to intimidate the press. they will monitor to u keep you in check balance of power in our democracy";https://twitter.com/RaysRRR/status/798272371496873986
3b77caf94bfc81fe;pweireter;2016-11-14 22:09;"@HeyTammyBruce @realDonaldTrump @TheLeadCNN @CNN ...says the man with a two term failed presidency...budget & policies!";https://twitter.com/pweireter/status/798271568153452544
3b77caf94bfc81fe;jennpeters;2016-11-14 22:05;". @realDonaldTrump "This office has a way of waking you up." We are all watching. Racism, sexism and xenophobia have no place here.";https://twitter.com/jennpeters/status/798270759923613696
3b77caf94bfc81fe;mcheadly;2016-11-14 22:03;"Fire and ostracize these people. RT RT @realDonaldTrump Please support the outgoing FLOTUS. She is deserving of much better, call them out! https:// twitter.com/lyn_samuels/st atus/798264816381165569 …";https://twitter.com/mcheadly/status/798270263494209536
3b77caf94bfc81fe;jennpeters;2016-11-14 21:54;". @realDonaldTrump "Who you staff in the White House is important." Get rid of #Bannon right now or we will never get behind you.";https://twitter.com/jennpeters/status/798267908027609089
3b77caf94bfc81fe;jennpeters;2016-11-14 21:45;". @realDonaldTrump "America at its best is inclusive and not exclusive." Did you hear @BarackObama just now? Are you listening?";https://twitter.com/jennpeters/status/798265713274155008
3b77caf94bfc81fe;raftofwater;2016-11-14 21:39;"@politico @POTUS @realDonaldTrump Now you have his attitude snapshot. Make bridge happen #NSEW #HSTrain #Wall #Satellites @jorgeramos #fence";https://twitter.com/raftofwater/status/798264164678397954
3b77caf94bfc81fe;toddgillman;2016-11-14 21:38;". @POTUS 's veneration of civility, facts, reason and analysis sure sounded like a shot at @realDonaldTrump";https://twitter.com/toddgillman/status/798263772758601728
3b77caf94bfc81fe;armanwalker;2016-11-14 21:30;"The Crisis is @realDonaldTrump https:// twitter.com/neontaster/sta tus/798150857304834048 …";https://twitter.com/armanwalker/status/798261913507360769
3b77caf94bfc81fe;KarenAl46190326;2016-11-14 21:27;"@realDonaldTrump @nytimes please deport all criminal illegals like you promised";https://twitter.com/KarenAl46190326/status/798260987916759041
3b77caf94bfc81fe;SheriHerman10;2016-11-14 21:10;"@deathrep @susan_bevhills @PollyTickal @realDonaldTrump Luv her. Felt like she was talking to me. You R right. Best take on how we got here";https://twitter.com/SheriHerman10/status/798256759487930368
3b77caf94bfc81fe;LeeWayneRyder;2016-11-14 21:06;"Here's an example of Govt. Waste that President . @realDonaldTrump can end. I get these Taxpayer provided mags from NASA monthly for free. pic.twitter.com/NvMZy6FGGl";https://twitter.com/LeeWayneRyder/status/798255899974320128
3b77caf94bfc81fe;RobertJohnDavi;2016-11-14 20:52;"NU ARTICLE by DAVI @FoxNews @realDonaldTrump @EricTrump @FoxBusiness @IvankaTrump @LindaSuhler @LouDobbs @TeamCavuto http://www. breitbart.com/big-hollywood/ 2016/11/14/davi-4/ …";https://twitter.com/RobertJohnDavi/status/798252385734782979
3b77caf94bfc81fe;phd_fashionista;2016-11-14 20:40;"We can rest assured @realDonaldTrump presidency wont be able tomake tangible headway quickly on #climatechange policies @aaas #imwithscience";https://twitter.com/phd_fashionista/status/798249372232232960
3b77caf94bfc81fe;LeopoldNunan;2016-11-14 20:31;"There isn't anything tackier than @realDonaldTrump";https://twitter.com/LeopoldNunan/status/798247094544789504
3b77caf94bfc81fe;SheriHerman10;2016-11-14 20:31;"@susan_bevhills @deathrep @PollyTickal @realDonaldTrump Sad but true.";https://twitter.com/SheriHerman10/status/798246938831298560
3b77caf94bfc81fe;CigarCowboy;2016-11-14 20:25;"@juliemetzwriter @realDonaldTrump @nytimes was it in 2005 or 2006 that ABC news reported NYC would be underwater by 2015? #GlobalHoax";https://twitter.com/CigarCowboy/status/798245524486766592
3b77caf94bfc81fe;stephenfegely;2016-11-14 20:22;"It wouldn't be a stretch on my part to say that @BernieSanders & @realDonaldTrump are also intensely felt/experienced "polarities" of energy";https://twitter.com/stephenfegely/status/798244699177766912
3b77caf94bfc81fe;Trump_USA_;2016-11-14 20:14;"ARREST IMMEDIATELY: He has already threatened to kill president elect - #trump @seanhannity @oreillyfactor Tonight's media! @realDonaldTrump https:// twitter.com/bizaster/statu s/798190428046692352 …";https://twitter.com/Trump_USA_/status/798242802245111808
3b77caf94bfc81fe;CigarCowboy;2016-11-14 20:06;"@realDonaldTrump #Conservative #NotMyPresident #Liberal Safe Space pic.twitter.com/SFWHOB0A0O";https://twitter.com/CigarCowboy/status/798240582325792768
3b77caf94bfc81fe;Coolhand1331;2016-11-14 20:01;"Really?! #hucksterinchief but alas nothing surprises now. @realDonaldTrump https:// twitter.com/calmesnyt/stat us/798175994456797184 …";https://twitter.com/Coolhand1331/status/798239518583230464
3b77caf94bfc81fe;BEMAKOWKA;2016-11-14 19:57;"@Change has a #petition to stop the electoral votes for @realDonaldTrump this December. We need to block this. You are #POTUSTrump";https://twitter.com/BEMAKOWKA/status/798238320249565184
3b77caf94bfc81fe;TINAHILLSTROM1;2016-11-14 19:56;"BIAS @CNN , @NYT , #WaPo & others shown to have colluded by @wikileaks should not receive WH press credentials. @realDonaldTrump @jaketapper";https://twitter.com/TINAHILLSTROM1/status/798238292000899072
3b77caf94bfc81fe;lifeafterdawn;2016-11-14 19:55;"@FoxEbenBrown @geenacanblowme @realDonaldTrump "All is fair in love and political journalism."";https://twitter.com/lifeafterdawn/status/798237927528665088
3b77caf94bfc81fe;lifeafterdawn;2016-11-14 19:55;"@FoxEbenBrown @geenacanblowme @realDonaldTrump Well, I prefer "perception" but that's me. Hey, truly: not interested in fighting with you.";https://twitter.com/lifeafterdawn/status/798237814697709569
3b77caf94bfc81fe;jrpaws;2016-11-14 19:51;"@BlacksForTrump @realDonaldTrump Are you kidding? He won't even step foot into an inner city now that election is over.";https://twitter.com/jrpaws/status/798236861156052992
3b77caf94bfc81fe;raftofwater;2016-11-14 19:50;"@raftofwater avec le train? @realDonaldTrump";https://twitter.com/raftofwater/status/798236774396923904
3b77caf94bfc81fe;jeffpetersla;2016-11-14 19:46;"@karolynsmithMP @realDonaldTrump @ABC7News @johnpodesta I accept your right to deny reality. I don't agree.";https://twitter.com/jeffpetersla/status/798235675757678592
3b77caf94bfc81fe;hamzahusa97;2016-11-14 19:43;"@saudiareebia @realDonaldTrump became president that's what happened";https://twitter.com/hamzahusa97/status/798234826625007616
3b77caf94bfc81fe;ricks1948;2016-11-14 19:39;"@RahmEmanuel @realDonaldTrump Look around Chicago & ask if it is a clean law abiding City? It isn't! You know why? Criminal Politicians!!!!";https://twitter.com/ricks1948/status/798233819954298880
3b77caf94bfc81fe;ricks1948;2016-11-14 19:36;"@RahmEmanuel does not want you to allow @realDonaldTrump to fix anything, because it makes the Democrats insignificant. He is lying to you.";https://twitter.com/ricks1948/status/798233068980998144
3b77caf94bfc81fe;CrowGarrett;2016-11-14 19:28;"@MAGAAMERICAN1 btw after @realDonaldTrump 's interview last night on CBS the nation is starting to believe we elected a undercover democrat.";https://twitter.com/CrowGarrett/status/798231080193036288
3b77caf94bfc81fe;TheFakeFangirl;2016-11-14 19:23;"@KLFaithfull @realDonaldTrump I can totally be angry and bitter all the time";https://twitter.com/TheFakeFangirl/status/798229783645519872
3b77caf94bfc81fe;TheFakeFangirl;2016-11-14 19:22;"@KLFaithfull @realDonaldTrump ooooooooooooooh promising!!";https://twitter.com/TheFakeFangirl/status/798229709519601664
3b77caf94bfc81fe;ricks1948;2016-11-14 19:21;"@seanhannity @CNN @realDonaldTrump simply put, @cnn wanted to cheat and this is something that is consistent with several media outlets.";https://twitter.com/ricks1948/status/798229489566162944
3b77caf94bfc81fe;armanwalker;2016-11-14 19:19;"@dsandrock101 @realDonaldTrump @megynkelly ~ unblock me and I'll see his word means something, olive branch, until then...thin skin.";https://twitter.com/armanwalker/status/798228847825063938
3b77caf94bfc81fe;armanwalker;2016-11-14 19:17;"@dsandrock101 @realDonaldTrump ~ he blocked me early in the game, have to ask him, I think it something petty, said he crushed @megynkelly";https://twitter.com/armanwalker/status/798228461085073408
3b77caf94bfc81fe;JamesRojasKABC;2016-11-14 19:17;"Students from half a dozen schools in East LA & Boyle Heights protesting @realDonaldTrump . Worry of Trump's immigration polices. @KABCRadio pic.twitter.com/KH5isELj0C";https://twitter.com/JamesRojasKABC/status/798228420962308096
3b77caf94bfc81fe;CrowGarrett;2016-11-14 19:12;"Their saying #NotMyPresident cuz @realDonaldTrump has yet to represent them. Until last night on CBS when he doubled back on his platform https:// twitter.com/magaamerican1/ status/798225375381823488 …";https://twitter.com/CrowGarrett/status/798227118253477888
3b77caf94bfc81fe;lifeafterdawn;2016-11-14 19:10;"@FoxEbenBrown Yeah, I know. I referenced that here: http://www. lgbtqnation.com/2016/11/cant-t rust-lying-liar-donald-trump-marriage-anything/ … @geenacanblowme @realDonaldTrump";https://twitter.com/lifeafterdawn/status/798226711183691777
3b77caf94bfc81fe;Desideratum73;2016-11-14 19:09;"#LiberalTeachers are threats to the future of the country. @realDonaldTrump Fire them. https:// twitter.com/intjutsu/statu s/798225287033090048 …";https://twitter.com/Desideratum73/status/798226366030168064
3b77caf94bfc81fe;slystudiosly;2016-11-14 19:02;"@realDonaldTrump CONGRATULATIONS Do u really reply 2 these mess Or dose ur staff rely for u.";https://twitter.com/slystudiosly/status/798224680456835072
3b77caf94bfc81fe;Nancykatydid;2016-11-14 18:45;"@realDonaldTrump A song titled "God Bless Trump And The USA". https:// m.youtube.com/watch?v=HmnYnY X4soI …";https://twitter.com/Nancykatydid/status/798220364660604928
3b77caf94bfc81fe;DavidAArnold;2016-11-14 18:39;"Media talkin bout @realDonaldTrump separating his private business from the presidency. Stop! He will do what he wants & u will accept it.";https://twitter.com/DavidAArnold/status/798218695533178880
3b77caf94bfc81fe;jasmineviel;2016-11-14 18:38;"Community members stand outside Roosevelt HS gates w/ water/snacks for student walk out @CBSLA @realDonaldTrump pic.twitter.com/dcSKfsggm6";https://twitter.com/jasmineviel/status/798218616214724608
3b77caf94bfc81fe;SheriHerman10;2016-11-14 18:35;"@TammyKosiancic @ChateauRuby @sportslawyerlis @Tim_Canova @POTUS @realDonaldTrump I know.";https://twitter.com/SheriHerman10/status/798217796333146117
3b77caf94bfc81fe;Soyracha;2016-11-14 18:32;"#Trumpopolis #MinistryOfPublicEnlightenment @realDonaldTrump “People have short attention spans and shorter memories. pic.twitter.com/ijAoevFszp";https://twitter.com/Soyracha/status/798217073386135552
3b77caf94bfc81fe;mcheadly;2016-11-14 18:28;"Joe Biden trolls @realdonaldtrump in bittersweet post-election meme http://www. huffingtonpost.com/entry/joe-bide n-meme-donald-trump_us_58296e98e4b0c4b63b0d4443?ncid=engmodushpmg00000004 … #via @HuffPostWeird";https://twitter.com/mcheadly/status/798216136303079425
3b77caf94bfc81fe;PhillipAKABuddy;2016-11-14 18:16;"@realDonaldTrump so far in your attempt to bring the country together you have the white nationalists covered. Way to pander to a "minority"";https://twitter.com/PhillipAKABuddy/status/798213112738369536
3b77caf94bfc81fe;mcheadly;2016-11-14 18:15;"@realDonaldTrump Please speak to these people. It is incumbent on you. The citizens are being badly abused https:// twitter.com/kodacohen/stat us/798139030038716416 …";https://twitter.com/mcheadly/status/798212668691607553
3b77caf94bfc81fe;JLPtalk;2016-11-14 18:13;"Tune in to @TheMalzbergShow on@@NewsmaxTV NOW. I'm on discussing @realDonaldTrump , the left's hysteria & more! http://www. newsmaxtv.com #MAGA";https://twitter.com/JLPtalk/status/798212245079527425
