place;username;date;text;permalink
3b77caf94bfc81fe;tommcq6;2016-11-07 00:57;"@Lordozz @TrumpThinking @realDonaldTrump #VOTE #TRUMP #VOTE #TRUMP #VOTE #TRUMP #VOTE #TRUMP #VOTE #TRUMP #VOTE #TRUMP #VOTE pic.twitter.com/yjGactWFxV";https://twitter.com/tommcq6/status/795414959022706688
3b77caf94bfc81fe;AlmaRMercado1;2016-11-07 00:52;"@realDonaldTrump #God bless both of you.. may the Holy Spirit guide you...";https://twitter.com/AlmaRMercado1/status/795413672424157184
3b77caf94bfc81fe;DvinMsM;2016-11-07 00:51;"That will also apply to @realDonaldTrump on Wednesday #featherduster https:// twitter.com/florianklages/ status/242306114404892672 …";https://twitter.com/DvinMsM/status/795413408749264896
3b77caf94bfc81fe;DeborahDriggs;2016-11-07 00:49;"A little! #CorruptClintons @TINAHILLSTROM1 @JamesComeyFBI @TINAHILLSTROM1 @realDonaldTrump @TeamTrump @gogotrump @YoungDems4Trump https:// twitter.com/chuckwoolery/s tatus/795412193747542020 …";https://twitter.com/DeborahDriggs/status/795412943256944641
3b77caf94bfc81fe;JohnDellaporta;2016-11-07 00:42;"@KenTremendous @realDonaldTrump @TheIJR I love how they took his phone away for two weeks in order to get people to give him nuclear codes.";https://twitter.com/JohnDellaporta/status/795411124854194176
3b77caf94bfc81fe;RobertAngelo;2016-11-07 00:40;"LOL @KellyannePolls took away @realDonaldTrump 's phone... no tweets from him until after she's fired. #tweetyaweds";https://twitter.com/RobertAngelo/status/795410508312547329
3b77caf94bfc81fe;DeborahDriggs;2016-11-07 00:36;"#corruption @JamesComeyFBI is now a speed reader! @TINAHILLSTROM1 @Realwoman4Trump @realDennisLynch @realDonaldTrump @ScottBaio @mike_pence https:// twitter.com/cnnpolitics/st atus/795408675414409216 …";https://twitter.com/DeborahDriggs/status/795409576652783617
3b77caf94bfc81fe;msrie_shirley;2016-11-07 00:22;"November 8 it will be as if you never existed! @KellyannePolls @realDonaldTrump @SteveBannon @EricTrump and the rest of your crew. JESUS! https:// twitter.com/KellyannePolls /status/795379620598128640 …";https://twitter.com/msrie_shirley/status/795405973431074816
3b77caf94bfc81fe;esoesperoyo;2016-11-07 00:21;"#Thedeplorables @KellyannePolls @realDonaldTrump @jaketapper @GOP @HouseGOP @SenateGOP #TheLiars @SpeakerRyan @SenateMajLdr @FoxNews https:// twitter.com/reuterstv/stat us/795402281499971584 …";https://twitter.com/esoesperoyo/status/795405780329504768
3b77caf94bfc81fe;nadaviolet3;2016-11-07 00:17;"@realDonaldTrump @TeamTrump pic.twitter.com/8bMkBegWet";https://twitter.com/nadaviolet3/status/795404869079158784
