place;username;date;text;permalink
3df4f427b5a60fea;americanowradio;2016-11-15 00:32;"AMERICA NOW RADIO POLL: Were you more or less impressed after seeing @realDonaldTrump on @60Minutes last night?";https://twitter.com/americanowradio/status/798307540065013760
3df4f427b5a60fea;Sedonadeb;2016-11-14 22:18;"This pres is delusional if he thinks we are better off today than we were 8 yrs ago.Thank god we have Trump @realDonaldTrump @transition2017";https://twitter.com/Sedonadeb/status/798273820310138880
3df4f427b5a60fea;champsngloss;2016-11-14 21:16;"@realDonaldTrump just a lil suggestion... #bencarson #mikeflynn #rudygiuliani #newtgingrich #treygowdy #DreamTeam #MakeAmericaGreatAgain";https://twitter.com/champsngloss/status/798258364014854144
3df4f427b5a60fea;Phyllis1Phyllis;2016-11-14 20:46;"Please look into Ur son's eyes @realDonaldTrump ask urself how he would feel if kids taunted him for his race. It's the parents instigating";https://twitter.com/Phyllis1Phyllis/status/798250892164206592
3df4f427b5a60fea;JudsonMcCulloch;2016-11-14 20:46;"@GeraldoRivera @realDonaldTrump Without federal funding. Just like Reagan did with HWY money in the 80's";https://twitter.com/JudsonMcCulloch/status/798250703072481280
3df4f427b5a60fea;CharlesMckinle7;2016-11-14 20:27;"@POTUS @realDonaldTrump obama your legacy: u ruined the economy, increased the debt, racially divided the country. See your legacy outside";https://twitter.com/CharlesMckinle7/status/798245960447041536
3df4f427b5a60fea;CharlesMckinle7;2016-11-14 18:49;"@realDonaldTrump Withhold all federal funds from all sanctuary cities. Especially Chicago. This is what is dividing this country!!!!!";https://twitter.com/CharlesMckinle7/status/798221349059596288
3df4f427b5a60fea;glbt4trump;2016-11-14 18:06;"@realDonaldTrump UPDATE: Since 11-1-16, 8 Officers have been killed /executed in the line of duty! #PoliceLivesMatter #ThinBlueLine #EOW RT pic.twitter.com/QLVhdVPHLW";https://twitter.com/glbt4trump/status/798210507962515456
3df4f427b5a60fea;glbt4trump;2016-11-14 17:54;"@realDonaldTrump @SheriffClarke @CHPChrisSherry @TxDPS @FBI @DHSgov @TheIACP #ThinBlueLine #BlueLivesMatter #OfficerDown #PoliceLivesMatter pic.twitter.com/P7NwVAsyiM";https://twitter.com/glbt4trump/status/798207491616178176
3df4f427b5a60fea;glbt4trump;2016-11-14 17:48;"@realDonaldTrump 1-20-2017 President Donald Trump has promised LAW & ORDER. This war on Law Enforcement MUST STOP! #ThinBlueLine #California pic.twitter.com/y05DscPcxO";https://twitter.com/glbt4trump/status/798206032862396416
