place;username;date;text;permalink
42e46bc3663a4b5f;c_legoz1204;2016-11-06 23:36;"FBI is such a joke @HillaryClinton should be eating lunch with OJ and Aaron Hernandez #LockHerUp";https://twitter.com/c_legoz1204/status/795394558158929921
42e46bc3663a4b5f;GabrielGuess;2016-11-06 23:24;"@FoxNews @HillaryClinton our side or those who pay for it.";https://twitter.com/GabrielGuess/status/795391356084637698
42e46bc3663a4b5f;xReneeYx;2016-11-06 23:21;"@KirstenAllison @HillaryClinton Texas. Dad commented today I'm a California girl living in my 2nd red state.";https://twitter.com/xReneeYx/status/795390672190709761
42e46bc3663a4b5f;Fefi428;2016-11-06 23:17;"VOTE FOR @HillaryClinton !! DO NOT SIT ON YOUR ASS PLEASE!. Millenniums if you followed #BernieSanders vote the same as @BernieSanders .";https://twitter.com/Fefi428/status/795389573803212801
42e46bc3663a4b5f;95Dudley;2016-11-06 23:12;"@gates_mcfadden @HillaryClinton Yes she will!";https://twitter.com/95Dudley/status/795388530293882881
42e46bc3663a4b5f;xReneeYx;2016-11-06 23:00;"@KirstenAllison @HillaryClinton I saw her, too. I thought that was a really good speech.";https://twitter.com/xReneeYx/status/795385370611478529
42e46bc3663a4b5f;browntroutfish;2016-11-06 22:50;"@FoxNews @HillaryClinton WHAT A BUNCH OF COMPLETE AND UTTER BULLSHIT, AND HAVE A BLESSED DAY";https://twitter.com/browntroutfish/status/795382879232606212
42e46bc3663a4b5f;browntroutfish;2016-11-06 22:49;"@FoxNews @HillaryClinton i want so much to believe your words but i dont and unless you pay me directly i never will lol";https://twitter.com/browntroutfish/status/795382734847938560
42e46bc3663a4b5f;browntroutfish;2016-11-06 22:43;"@FoxNews @HillaryClinton for donald trump i vote on tuesday , god bless us all";https://twitter.com/browntroutfish/status/795381153079431168
42e46bc3663a4b5f;penne59;2016-11-06 22:03;"@Just_a_Texan God will take @HillaryClinton down and I hope I live to see it! She is a lot older than me so I'm pretty sure I will!";https://twitter.com/penne59/status/795371091850129412
42e46bc3663a4b5f;penne59;2016-11-06 21:49;"Coincidence? #FBI ag working #clintonemails found dead w wife,house ablaze Sat,suicide? @JamesComeyFBI flips again 4 @HillaryClinton today!";https://twitter.com/penne59/status/795367485549768708
42e46bc3663a4b5f;penne59;2016-11-06 21:40;"@MSNBC Please,there are no morals left in the Democratic Party! Stop acting like @HillaryClinton is the pillar of integrity and honesty!";https://twitter.com/penne59/status/795365176556089344
42e46bc3663a4b5f;Fefi428;2016-11-06 20:30;"Dear World, I've voted for @HillaryClinton , but so worried #DonaldTrump is going win I can't sleep. Signed, Me #WeThePeople #VoteHillary";https://twitter.com/Fefi428/status/795347619723755524
42e46bc3663a4b5f;Fefi428;2016-11-06 20:22;"@chucktodd Watching repeat of @MeetThePress . Sad #NewtGingrich questions @HillaryClinton when he was ousted as Speaker for illicit deals.";https://twitter.com/Fefi428/status/795345678771912705
42e46bc3663a4b5f;pms777law;2016-11-06 17:40;"#Election2016 @realDonaldTrump @HillaryClinton pic.twitter.com/WnxxQ0GNq5";https://twitter.com/pms777law/status/795304981024874496
42e46bc3663a4b5f;txgoodoldboy;2016-11-06 17:37;"What lassie ??? @HillaryClinton fell in the well ? Here boy have a treat !!!";https://twitter.com/txgoodoldboy/status/795304170526035969
42e46bc3663a4b5f;adgrad;2016-11-06 16:42;"@BLMehaffey @WDFx2EU8 @Mathiasian @wikileaks @HillaryClinton meet a new and improved Teflon Don Clinton";https://twitter.com/adgrad/status/795290322288934912
42e46bc3663a4b5f;JCobbTCU;2016-11-06 07:29;"there's a @HillaryClinton special on @CNN and im DEADDDDDDDD #ImWithHer pic.twitter.com/AMjrlntuUs";https://twitter.com/JCobbTCU/status/795151118485569536
42e46bc3663a4b5f;penne59;2016-11-06 03:17;"@WhoopiGoldberg @JoyVBehar #RobertDeNiro #JayZ #beyonceknowles @MMFlint @POTUS @HillaryClinton @Msnbc @Cnn are u all happy now? #Trump2016";https://twitter.com/penne59/status/795087638546018304
42e46bc3663a4b5f;penne59;2016-11-06 03:12;"@HillaryClinton @DNC It is you who are the new Hate Party! When you orchestrate violence sometimes a sheep will go rogue! #Trump2016";https://twitter.com/penne59/status/795086299229253632
42e46bc3663a4b5f;Jflo918;2016-11-06 00:03;"@ColMorrisDavis @HillaryClinton @RWTQuotes "Um Trump is like the real ppl" Granny u're a bigot,u couldn't say Obama's a great family man";https://twitter.com/Jflo918/status/795038886296715268
42e46bc3663a4b5f;penne59;2016-11-05 23:26;"@HillaryClinton Why were people in your "Foundation" even in contact with DOS or Russian! Not their job! #LIAR #PaytoPlay #NeverHillary";https://twitter.com/penne59/status/795029521426739200
42e46bc3663a4b5f;TxsleuthUSA;2016-11-05 22:59;"@rtchixpolitix @markknoller @HillaryClinton @marcorubio I've been hearing there is a lot of ticket splitting in FL. Voting for HRC and Rubio";https://twitter.com/TxsleuthUSA/status/795022636325736452
42e46bc3663a4b5f;samuelwashingt2;2016-11-05 18:23;"@HillaryClinton @Beyonce Awesome";https://twitter.com/samuelwashingt2/status/794953170891997184
42e46bc3663a4b5f;penne59;2016-11-05 16:13;"@jmpalmieri @realDonaldTrump We hear u clearly too! U should be in jail with all your friends of @HillaryClinton We can read! #podestaemail";https://twitter.com/penne59/status/794920600850591744
42e46bc3663a4b5f;ksaff23;2016-11-05 03:43;"Alright @HillaryClinton you better say that...Rosa Parks, MLK, Obama https:// twitter.com/cnn/status/794 730690705326085 …";https://twitter.com/ksaff23/status/794731788375642114
42e46bc3663a4b5f;finogaga;2016-11-05 03:37;"@heltonslens Yes... we have a great candidate @HillaryClinton";https://twitter.com/finogaga/status/794730290786799616
42e46bc3663a4b5f;rinocb1;2016-11-05 03:14;"#RememberWhenTrump TOLD us that @BarackObama @HillaryClinton CREATED ISIS??? #NeverHillary #HillarysAccomplishments #draintheswamp https:// twitter.com/wikileaks/stat us/794722847776272384 …";https://twitter.com/rinocb1/status/794724652329369600
42e46bc3663a4b5f;penne59;2016-11-05 02:40;"@THR @Beyonce @chancetherapper @BigSean All @HillaryClinton and the Democrats plantation workers! Work,work,work,work,work for yo master!";https://twitter.com/penne59/status/794715882756968448
42e46bc3663a4b5f;DavidWesson;2016-11-05 02:33;"#RememberWhenTrump was @POTUS when @HillaryClinton was arrested.";https://twitter.com/DavidWesson/status/794714299147190272
42e46bc3663a4b5f;DavidWesson;2016-11-05 02:19;"#RememberWhenTrump visited @HillaryClinton in prison?";https://twitter.com/DavidWesson/status/794710688736444418
