place;username;date;text;permalink
42e46bc3663a4b5f;PotPolitics;2016-11-15 00:18;"@Jazzy0717 @Garage_Floor @JoyAnnReid @jheil @nytimes @washingtonpost @chucktodd @juliannagoldman @realDonaldTrump @WhiteHouse #NoShame";https://twitter.com/PotPolitics/status/798304082754670592
42e46bc3663a4b5f;txgoodoldboy;2016-11-15 00:15;"@realDonaldTrump please please consider Briggite Gabriel as UN ambassador";https://twitter.com/txgoodoldboy/status/798303376685563904
42e46bc3663a4b5f;tracyrepchuk;2016-11-14 19:30;"@realDonaldTrump Make those who need health care pay for health care. No fines for those who don't use or want the system. Simple";https://twitter.com/tracyrepchuk/status/798231764057620480
42e46bc3663a4b5f;penne59;2016-11-14 18:55;"@MMFlint You're lucky @realDonaldTrump is proving more diplomatic than thought,if I were him ur fat ass would've been arrested 4 trespassing";https://twitter.com/penne59/status/798222813630988291
42e46bc3663a4b5f;PotPolitics;2016-11-14 16:34;"@ilipsee @Getitrite1 @MSNBC @Reince @realDonaldTrump @YouTube Why does your admin consist of Washington insiders, WS types, & racists";https://twitter.com/PotPolitics/status/798187266472411136
42e46bc3663a4b5f;PotPolitics;2016-11-14 16:28;"@ilipsee @Getitrite1 @MSNBC @Reince @Morning_Joe @realDonaldTrump @YouTube Not going to stop us from taking our country back";https://twitter.com/PotPolitics/status/798185844179959809
42e46bc3663a4b5f;PotPolitics;2016-11-14 15:34;"@nitroxnut @Getitrite1 @MSNBC @Reince @Morning_Joe @realDonaldTrump The other half is Fed up w/ only conservative elites belong in America";https://twitter.com/PotPolitics/status/798172378823958528
42e46bc3663a4b5f;PotPolitics;2016-11-14 15:29;"@nitroxnut @Getitrite1 @MSNBC @Reince @Morning_Joe @realDonaldTrump Nah, just fed up w/ these im better than everybody else #RedneckElitist";https://twitter.com/PotPolitics/status/798170961405218816
42e46bc3663a4b5f;PotPolitics;2016-11-14 15:11;"@Getitrite1 @MSNBC @Reince @Morning_Joe @realDonaldTrump He wants the #RedneckElitist to feel like they're the only ppl in US that matters";https://twitter.com/PotPolitics/status/798166347825946625
42e46bc3663a4b5f;browntroutfish;2016-11-14 09:39;"@drummergod1980 @FoxNews @realDonaldTrump @MMFlint lol ok thx";https://twitter.com/browntroutfish/status/798082794866012160
42e46bc3663a4b5f;sdv92;2016-11-14 05:56;"@We_R_Trump @realDonaldTrump What's up with that. I didn't think he would get sucked in. Every time they get to DC they go corrupt.";https://twitter.com/sdv92/status/798026819626639360
42e46bc3663a4b5f;texm98;2016-11-14 05:19;"@havivrettiggur @realDonaldTrump @KellyannePolls @CNN the Jewish Trump supporters stand with Bannon and we are glad about his new position https:// twitter.com/JewsChooseTrum p/status/798016475080445952 …";https://twitter.com/texm98/status/798017370057048064
42e46bc3663a4b5f;scottbagg;2016-11-14 04:41;"@realDonaldTrump @KellyannePolls @Reince https:// twitter.com/fhunscripted/s tatus/798007210009731072 …";https://twitter.com/scottbagg/status/798007966741987328
42e46bc3663a4b5f;Oh_Jenks;2016-11-14 04:27;"@realDonaldTrump Thank u. Now say it louder, say it more. Say it to specific people & do it now! Be the leader u said u were going to be! https:// twitter.com/60minutes/stat us/797983079490985985 …";https://twitter.com/Oh_Jenks/status/798004495275855872
42e46bc3663a4b5f;PotPolitics;2016-11-14 03:14;"@papaouch @Rocketmissile @RealStrategyFan @realDonaldTrump #Who 'sYourDaddy";https://twitter.com/PotPolitics/status/797986056104775680
42e46bc3663a4b5f;SdawnwilsonDawn;2016-11-14 02:38;"Donald Trump slayed 60 minutes @realDonaldTrump";https://twitter.com/SdawnwilsonDawn/status/797976934110072832
42e46bc3663a4b5f;texm98;2016-11-14 02:37;"@realDonaldTrump Jewish supporters of trump. A new false narrative must be stopped. Bannon is not anti Semitic";https://twitter.com/texm98/status/797976823825125376
42e46bc3663a4b5f;ConnellConnell;2016-11-14 01:51;"Yeah, you know what's coming "HOW 'BOUT THEM COWBOYS!!! Hey @realDonaldTrump Dak Prescott for Chief of Staff! @dallascowboys #AmericasTeam";https://twitter.com/ConnellConnell/status/797965027533815808
42e46bc3663a4b5f;minnieclass;2016-11-14 01:36;"@cliffordlevy @nytimes @realDonaldTrump Ordering my subscription today! #notmypresident #Xenophobia #proudimmigrant";https://twitter.com/minnieclass/status/797961270179889152
42e46bc3663a4b5f;texasoleon;2016-11-13 21:33;"@realDonaldTrump Donald congrats great win";https://twitter.com/texasoleon/status/797900124420767744
42e46bc3663a4b5f;Autistikids;2016-11-13 20:57;". @realDonaldTrump @nytimes sir. Real leaders don't attack the press. Please be a real leader.";https://twitter.com/Autistikids/status/797891146378858501
42e46bc3663a4b5f;browntroutfish;2016-11-13 20:04;"@Jennydjld @FoxNews @realDonaldTrump @MMFlint thank you for your opinion";https://twitter.com/browntroutfish/status/797877715651219456
42e46bc3663a4b5f;browntroutfish;2016-11-13 20:03;"@prescientdba @FoxNews @realDonaldTrump actions have consequences";https://twitter.com/browntroutfish/status/797877440932515842
42e46bc3663a4b5f;browntroutfish;2016-11-13 17:46;"@FoxNews @realDonaldTrump no big deal the police would just love start using tear gas and rubber bullets , they wait a lifetime for it";https://twitter.com/browntroutfish/status/797843002563633152
42e46bc3663a4b5f;browntroutfish;2016-11-13 17:39;"@FoxNews @realDonaldTrump That fucker on the far right is the biggest Fattest Hypocrite walking the face of this rock @MMFlint";https://twitter.com/browntroutfish/status/797841359164047360
42e46bc3663a4b5f;Kiawya;2016-11-13 17:22;"@realDonaldTrump @nytimes Yes you did, I WATCHED you say it! WTF?";https://twitter.com/Kiawya/status/797836957384589312
42e46bc3663a4b5f;TheJuanGShow;2016-11-13 17:19;"Uh oh! Looks like the @realDonaldTrump got into the Twitters again... damnit, @KellyannePolls , get your mans! lol";https://twitter.com/TheJuanGShow/status/797836187998310400
