place;username;date;text;permalink
42e46bc3663a4b5f;colin_havens;2016-11-07 00:42;"@realDonaldTrump your hundred day plan gonna be like mitt Romneys. Going to Costco to buy groceries.";https://twitter.com/colin_havens/status/795411094542155777
42e46bc3663a4b5f;GabrielGuess;2016-11-06 23:25;"@KirstenPowers @ABCPolitics @realDonaldTrump @ABC yeah 20 yrs ago not yesterday";https://twitter.com/GabrielGuess/status/795391562092048388
42e46bc3663a4b5f;JWilla_;2016-11-06 22:53;"Now @realDonaldTrump can question the FBI again now that this information came out and we can get back to normal";https://twitter.com/JWilla_/status/795383610924814336
42e46bc3663a4b5f;Luke_Muckraker;2016-11-06 22:40;"@realDonaldTrump FBI antics AGAIN. Now is your chance to publicly offer amnesty to all Clinton case FBI agents after you become President";https://twitter.com/Luke_Muckraker/status/795380263085871104
42e46bc3663a4b5f;TxsleuthUSA;2016-11-06 21:47;"@PolitiBunny @realDonaldTrump He will be back to being corrupt in 3..2..1";https://twitter.com/TxsleuthUSA/status/795367108343431168
42e46bc3663a4b5f;RaymondGill_;2016-11-06 20:16;"I'm With Nasty #DumpTrump which will #DumpPutin @EricTrump @realDonaldTrump #DonaldTrump @GOP #GOP and the winner is Hillary Clinton pic.twitter.com/04GLuRSU6E";https://twitter.com/RaymondGill_/status/795344156692533250
42e46bc3663a4b5f;rickyraper2014;2016-11-06 19:21;"@realDonaldTrump @blaubok Please do not kill my children http:// anymore.You spirit of Pharoah and Herod.";https://twitter.com/rickyraper2014/status/795330359420456962
42e46bc3663a4b5f;rickyraper2014;2016-11-06 18:26;"@ZPatasin @RealJamesWoods @JaredWyand @DonaldJTrumpJr @EricTrump @mike_pence @realDonaldTrump U direct t blessings &curses upon this nation";https://twitter.com/rickyraper2014/status/795316364340772864
42e46bc3663a4b5f;rickyraper2014;2016-11-06 18:22;"@ZPatasin @realDonaldTrump @mike_pence Out of anger some Republicans refuse to vote Trump. Our Lord watches and expects greater of you";https://twitter.com/rickyraper2014/status/795315546396983301
42e46bc3663a4b5f;rickyraper2014;2016-11-06 18:18;"@VoteTrumpPics @realDonaldTrump @DonaldJTrumpJr @DanScavino @TeamTrump @KellyannePolls @DiamondandSilk @AppSame @CarmineZozzora GOD Directs";https://twitter.com/rickyraper2014/status/795314499305803776
42e46bc3663a4b5f;pms777law;2016-11-06 17:40;"#Election2016 @realDonaldTrump @HillaryClinton pic.twitter.com/WnxxQ0GNq5";https://twitter.com/pms777law/status/795304981024874496
42e46bc3663a4b5f;JWilla_;2016-11-06 17:29;"@realDonaldTrump that would mean you have to get rid of Gingrich, Giuliani, Christie (of course) .";https://twitter.com/JWilla_/status/795302190634205184
42e46bc3663a4b5f;RaymondGill_;2016-11-06 16:09;"I'm With Nasty #DumpTrump which will #DumpPutin @EricTrump @realDonaldTrump #DonaldTrump @GOP #GOP and the winner is Hillary Clinton pic.twitter.com/GtQUVWaEGO";https://twitter.com/RaymondGill_/status/795281840668110850
42e46bc3663a4b5f;RaymondGill_;2016-11-06 15:36;"I'm With Nasty #DumpTrump which will #DumpPutin @EricTrump @realDonaldTrump #DonaldTrump @GOP #GOP and the winner is Hillary Clinton pic.twitter.com/iptabjgDxo";https://twitter.com/RaymondGill_/status/795273737323114497
42e46bc3663a4b5f;RaymondGill_;2016-11-06 15:21;"I'm With Nasty #DumpTrump which will #DumpPutin @EricTrump @realDonaldTrump #DonaldTrump @GOP #GOP and the winner is Hillary Clinton pic.twitter.com/EzXanVwS2i";https://twitter.com/RaymondGill_/status/795269892803063809
42e46bc3663a4b5f;TxsleuthUSA;2016-11-06 02:30;"@HavBat22 @JudgeJeanine @realDonaldTrump @GenFlynn What "toughness" did this show?? Flynn lied first.";https://twitter.com/TxsleuthUSA/status/795075778216128512
42e46bc3663a4b5f;TxsleuthUSA;2016-11-06 02:21;"@JudgeJeanine @realDonaldTrump @GenFlynn LOLOL Bush stood there and dodged a shoe in Iraq. Donald ran. s";https://twitter.com/TxsleuthUSA/status/795073708977258496
42e46bc3663a4b5f;cvptexas;2016-11-06 02:16;"@KellyannePolls @TheFix @realDonaldTrump unless it's a guy in a hoodie.";https://twitter.com/cvptexas/status/795072444411351040
42e46bc3663a4b5f;JWilla_;2016-11-06 01:34;"@KeithOlbermann @realDonaldTrump if he wins, he'll make sure history is reported in terms that makes him look good. .No more free speech";https://twitter.com/JWilla_/status/795061706737283072
42e46bc3663a4b5f;RaymondGill_;2016-11-06 00:09;"#DumpTrump which will #DumpPutin @EricTrump @realDonaldTrump #DonaldTrump @GOP #GOP and the winner is Hillary Clinton pic.twitter.com/IHBjyDmW6n";https://twitter.com/RaymondGill_/status/795040487531016192
42e46bc3663a4b5f;TenneyNaumer;2016-11-05 17:21;"George R. R. Martin nails why @realDonaldTrump is "unfit to lead this nation" http://www. huffingtonpost.com/entry/george-r r-martin-donald-trump_us_581db698e4b0e80b02ca5298?ncid=engmodushpmg00000004 … #via @HuffPostEnt";https://twitter.com/TenneyNaumer/status/794937646380437505
42e46bc3663a4b5f;rinocb1;2016-11-05 16:47;"@CNN @FoxNews @Pontifex @KellyannePolls @realDonaldTrump @PastorDScott @DiamondandSilk #MakeAmericaGreatAgain #MakeAmericaSafeAgain https:// twitter.com/wikileaks/stat us/794906269022818304 …";https://twitter.com/rinocb1/status/794929092344877056
42e46bc3663a4b5f;penne59;2016-11-05 16:13;"@jmpalmieri @realDonaldTrump We hear u clearly too! U should be in jail with all your friends of @HillaryClinton We can read! #podestaemail";https://twitter.com/penne59/status/794920600850591744
42e46bc3663a4b5f;Stephania2;2016-11-05 15:49;"Let's make this happen! @psoko09 @realDonaldTrump pic.twitter.com/WZ8FzYR0UV";https://twitter.com/Stephania2/status/794914582938734593
42e46bc3663a4b5f;Luke_Muckraker;2016-11-05 15:28;"@realDonaldTrump Think about the Faith based medical plans as the foundation to repeal Obamacare. Wife has it. Works great. ZERO deductible";https://twitter.com/Luke_Muckraker/status/794909149024911369
42e46bc3663a4b5f;rinocb1;2016-11-05 15:22;"#CrookedHillary #draintheswamp #PodestaEmails31 #NeverHillary #LockHerUp @realDonaldTrump @DiamondandSilk @brunelldonald #PrayForAmerica https:// twitter.com/wikileaks/stat us/794906269022818304 …";https://twitter.com/rinocb1/status/794907643135586309
42e46bc3663a4b5f;Luke_Muckraker;2016-11-05 14:46;"@realDonaldTrump Hillary is talking KKK which is STILL working with democrats. They endorse you as a potential embarrassment. It's a sham.";https://twitter.com/Luke_Muckraker/status/794898776024641536
42e46bc3663a4b5f;finogaga;2016-11-05 04:38;"@stephsinclair @MotherJones He is a disgusting human being @realDonaldTrump";https://twitter.com/finogaga/status/794745721400492032
42e46bc3663a4b5f;murphmurph1;2016-11-05 00:18;"@GovMikeHuckabee @realDonaldTrump You're an idiot";https://twitter.com/murphmurph1/status/794680241474195456
42e46bc3663a4b5f;miniscus1;2016-11-04 23:47;"@dallasnews @realDonaldTrump Cuban is a fraud and phony";https://twitter.com/miniscus1/status/794672512730660864
42e46bc3663a4b5f;RaymondGill_;2016-11-04 22:32;"SHEEP #DumpTrump which will #DumpPutin @EricTrump @realDonaldTrump #DonaldTrump @GOP #GOP and the winner is Hillary Clinton pic.twitter.com/jUmDAs62DS";https://twitter.com/RaymondGill_/status/794653681333440513
