place;username;date;text;permalink
4fd63188b772fc62;956_2766;2016-11-13 01:09;"@TaylorRoi hope thru seriously vote @HillaryClinton";https://twitter.com/956_2766/status/797592106634186757
4fd63188b772fc62;956_2766;2016-11-12 20:41;"@TaylorRoi @HillaryClinton hope";https://twitter.com/956_2766/status/797524812608503812
4fd63188b772fc62;956_2766;2016-11-12 19:27;"@TaylorRoi are they going to vote @HillaryClinton";https://twitter.com/956_2766/status/797506194986401792
4fd63188b772fc62;956_2766;2016-11-11 02:19;"@HillaryClinton We Need you, America Needs you!! #Recount #ImWithHer";https://twitter.com/956_2766/status/796885113703460864
4fd63188b772fc62;956_2766;2016-11-10 09:58;"@FUCKdtrump1 there maybe a fact that he paid to win..and votes didn't matter and that @HillaryClinton was winning.. #FuckDT";https://twitter.com/956_2766/status/796638034666156032
4fd63188b772fc62;956_2766;2016-11-10 08:05;"I'm #Stillwithher all the way... @HillaryClinton we need you..don't give up..! https:// twitter.com/dorothysnarker /status/796247928025120768 …";https://twitter.com/956_2766/status/796609707041558528
4fd63188b772fc62;956_2766;2016-11-10 05:39;"@TaylorRoi dude it is revealed they gave wrong info, in PA @HillaryClinton was winning it..";https://twitter.com/956_2766/status/796573089966555136
4fd63188b772fc62;GILinRealLife;2016-11-09 10:02;"@HillaryClinton Nothing but love for you. All I can say.";https://twitter.com/GILinRealLife/status/796276719875395584
4fd63188b772fc62;Jorge_Padilla_4;2016-11-09 08:46;"I may have hated you @HillaryClinton but i would've preferred u a million times over this bigot! I really do feel for you";https://twitter.com/Jorge_Padilla_4/status/796257571724259328
4fd63188b772fc62;956_2766;2016-11-09 08:20;"@HillaryClinton Mrs. Clinton no matter what other criticize you, I am with you #CommanderInChief";https://twitter.com/956_2766/status/796251015834202112
4fd63188b772fc62;albertaradillas;2016-11-09 05:16;"Lmao trumps gonna win ahahaha suck my dick @HillaryClinton !!";https://twitter.com/albertaradillas/status/796204795782635520
4fd63188b772fc62;956_2766;2016-11-09 00:27;"@TaylorRoi I feel guilty for not voting, but if @HillaryClinton doent win I can NEVER forgive myself...";https://twitter.com/956_2766/status/796132115658186752
4fd63188b772fc62;PeteLRodriguez;2016-11-09 00:27;"@DMW_JD2014 @FLOTUS @KimmiAnne77 @elainakai @dougmillsnyt @vela_mary @HillaryClinton of course, they have to be caught first.";https://twitter.com/PeteLRodriguez/status/796131978106077189
4fd63188b772fc62;Herecam;2016-11-08 21:20;"#MyVote2016 4 @HillaryClinton I said NO to racism, misogyny, bigotry, classism. #voteforhillary #HillaryClintonForPresident #saynototrump";https://twitter.com/Herecam/status/796085065478500352
4fd63188b772fc62;scastellanos33;2016-11-08 18:47;"Remember to figure out your church's confessional schedule if you voted for @HillaryClinton !";https://twitter.com/scastellanos33/status/796046384482885632
4fd63188b772fc62;956_2766;2016-11-08 06:55;"Hillary! Hillary! Hillary!!... I am with you!! Don't let the fool make America go worse., we need you, America needs you! @HillaryClinton";https://twitter.com/956_2766/status/795867308266766336
4fd63188b772fc62;956_2766;2016-11-08 06:49;"I am with @HillaryClinton all the way #VoteBlue #drainthedrumpf @MSNBC #CommanderInChief RT this if you're with her pic.twitter.com/rnYYxiFE0O";https://twitter.com/956_2766/status/795865759390072832
4fd63188b772fc62;956_2766;2016-11-08 04:26;"@NeilTurner_ get ready to call @HillaryClinton #CommanderInChief pic.twitter.com/Hkna67HRRn";https://twitter.com/956_2766/status/795829914687705090
4fd63188b772fc62;956_2766;2016-11-08 02:29;"On Tuesday , November 8 2016 @HillaryClinton will go home than just winning, thanking God we stood with her all along since day 1#ImWitHer";https://twitter.com/956_2766/status/795800363689447424
4fd63188b772fc62;956_2766;2016-11-08 02:16;"Something things Donald Trump says is basically by @HillaryClinton says, "were a divided nation, we need to work together" make up your mind";https://twitter.com/956_2766/status/795797134297722880
4fd63188b772fc62;joakin_luna;2016-11-08 01:54;"@MAULEGARRETA @HillaryClinton @realDonaldTrump Así es amigo,solo que la mayoría de latinos no tienen toda la información,tenemos una tercer opción se llama "Gary Johnson"! pic.twitter.com/IvdFPAJ1y5";https://twitter.com/joakin_luna/status/795791471894990849
