place;username;date;text;permalink
4fd63188b772fc62;ShekharShiven;2016-11-14 20:54;"@realDonaldTrump @nytimes Media is always being unfair. U write nythng in favor of DJT and guess what? No one will like or retweet it !!";https://twitter.com/ShekharShiven/status/798252666170331137
4fd63188b772fc62;BobbbyFlores;2016-11-13 20:36;"@realDonaldTrump I believe you'll make this country great and heal the world too. pic.twitter.com/5oI0thfqln";https://twitter.com/BobbbyFlores/status/797885872825737216
4fd63188b772fc62;its_me_moreno;2016-11-12 04:19;"After tonight's match the wall just got 10ft taller - @realDonaldTrump";https://twitter.com/its_me_moreno/status/797277704760520704
4fd63188b772fc62;Jorge_Padilla_4;2016-11-12 04:00;"@realDonaldTrump te puedes meter tu muro por el culo #USAvMEX #barz";https://twitter.com/Jorge_Padilla_4/status/797272894346698752
4fd63188b772fc62;ShekharShiven;2016-11-11 04:46;"@realDonaldTrump All the very best with your future endeavour Mr. Trump";https://twitter.com/ShekharShiven/status/796922041614159872
4fd63188b772fc62;ShekharShiven;2016-11-11 04:12;"@realDonaldTrump Congratulations !!! Wish you all the very best for whatever it takes to make america the best :)";https://twitter.com/ShekharShiven/status/796913355407638528
4fd63188b772fc62;cyvillarreal;2016-11-11 03:39;"@realDonaldTrump get #Soros out of this country His mark is all over this proud of you and I know you will work hard for All Americans https:// twitter.com/realdjtrumptea m/status/796903582608064512 …";https://twitter.com/cyvillarreal/status/796905146924077057
4fd63188b772fc62;PeteLRodriguez;2016-11-11 03:38;"@MaddowBlog @realDonaldTrump once an idiot, always an idiot";https://twitter.com/PeteLRodriguez/status/796904905982230528
4fd63188b772fc62;dguajardo;2016-11-11 03:29;"@realDonaldTrump Mr. President Elect Trump.";https://twitter.com/dguajardo/status/796902757026426880
4fd63188b772fc62;956_2766;2016-11-10 20:24;"@realDonaldTrump believe they let him win hes puppet for both the GOP/Putin & more evil people controlling him behind his back @FUCKdtrump1";https://twitter.com/956_2766/status/796795670158082049
4fd63188b772fc62;956_2766;2016-11-10 10:03;"@FUCKdtrump1 everything bout @realDonaldTrump offends me as it does to others, make sure help tweet on Dec 19, 2016 Electoral college votes";https://twitter.com/956_2766/status/796639378516885505
4fd63188b772fc62;956_2766;2016-11-10 09:45;"Warning keep @realDonaldTrump out of white house..!! #FuckDonaldTrump #hesnotourpresident https:// twitter.com/FUCKdtrump1/st atus/796634204796698624 …";https://twitter.com/956_2766/status/796634942813958144
4fd63188b772fc62;956_2766;2016-11-10 09:43;"Everyone against @realDonaldTrump follow @FUCKdtrump1 !!! #FUCKDONALDTRUMP";https://twitter.com/956_2766/status/796634275084992512
4fd63188b772fc62;956_2766;2016-11-10 09:39;"@FUCKdtrump1 whks with ne all against @realDonaldTrump #HESNOTOURPRESIDNET";https://twitter.com/956_2766/status/796633404175421440
4fd63188b772fc62;956_2766;2016-11-10 09:34;"@FUCKdtrump1 read this, share this..can be our hope get dems to win and get @realDonaldTrump out!! #FuckDonaldTrump https:// twitter.com/TaylorRoi/stat us/796626878501097472 …";https://twitter.com/956_2766/status/796631995501735936
4fd63188b772fc62;956_2766;2016-11-10 09:25;"@FUCKdtrump1 @realDonaldTrump just cause you were born here everything doesn't make you a true Americans if you disrespect others, GTFOH!";https://twitter.com/956_2766/status/796629775779561472
4fd63188b772fc62;956_2766;2016-11-10 09:16;"@FUCKdtrump1 fuck @realDonaldTrump you trash bro...! pic.twitter.com/V6sfRAsGen";https://twitter.com/956_2766/status/796627624252624900
4fd63188b772fc62;Agustin72971146;2016-11-10 07:06;"@tamarafuentes90 @realDonaldTrump te doy toda la rason";https://twitter.com/Agustin72971146/status/796594817115549698
4fd63188b772fc62;therealoscarmh;2016-11-10 00:59;"@realDonaldTrump @kimsmelly";https://twitter.com/therealoscarmh/status/796502406037118976
4fd63188b772fc62;therealoscarmh;2016-11-10 00:58;"@realDonaldTrump @urcym";https://twitter.com/therealoscarmh/status/796502252357881862
4fd63188b772fc62;PeteLRodriguez;2016-11-09 21:27;"@DMW_JD2014 @mcc418 @pwalkerbooks @BarackObama @realDonaldTrump mental illnesses are just illnesses. Starts w/mindset of the patient";https://twitter.com/PeteLRodriguez/status/796449187655254017
4fd63188b772fc62;PeteLRodriguez;2016-11-09 21:11;"@DMW_JD2014 @mcc418 @pwalkerbooks @BarackObama @realDonaldTrump or an attorney who cannot help a client not worthy of harsh sentence";https://twitter.com/PeteLRodriguez/status/796445175312744461
4fd63188b772fc62;PeteLRodriguez;2016-11-09 21:10;"@DMW_JD2014 @mcc418 @pwalkerbooks @BarackObama @realDonaldTrump you build defenses, like doctors where some patients die. You can't save all";https://twitter.com/PeteLRodriguez/status/796444861943709703
4fd63188b772fc62;Kevin24865;2016-11-09 19:16;"#MakeAmericaGreatAgain @realDonaldTrump pic.twitter.com/3WrtS1EXyt";https://twitter.com/Kevin24865/status/796416065374978048
4fd63188b772fc62;PeteLRodriguez;2016-11-09 18:18;"@mcc418 @pwalkerbooks @DMW_JD2014 @BarackObama @realDonaldTrump dealing with psychos has been my profession. I can tell difference; ain't me";https://twitter.com/PeteLRodriguez/status/796401542014320640
4fd63188b772fc62;Sabdy05;2016-11-09 18:04;"@malatorre @realDonaldTrump pic.twitter.com/OWNNqh8Mpo";https://twitter.com/Sabdy05/status/796398077443735554
4fd63188b772fc62;Sabdy05;2016-11-09 17:34;"@malatorre @realDonaldTrump Que miedo";https://twitter.com/Sabdy05/status/796390462848438276
4fd63188b772fc62;PeteLRodriguez;2016-11-09 17:07;"@pwalkerbooks @DMW_JD2014 @mcc418 @BarackObama @realDonaldTrump those who blindly voted without measuring consequences will have most 2 lose";https://twitter.com/PeteLRodriguez/status/796383684173692928
4fd63188b772fc62;r_hernandez56;2016-11-09 15:08;"@realDonaldTrump God bless you and your family Mr Trump your friend Ram";https://twitter.com/r_hernandez56/status/796353726328016897
4fd63188b772fc62;PeteLRodriguez;2016-11-09 12:37;"@ezzd_1212 @DMW_JD2014 @mcc418 @BarackObama @realDonaldTrump @YouTube can't keep both sides happy";https://twitter.com/PeteLRodriguez/status/796315830346743808
4fd63188b772fc62;PeteLRodriguez;2016-11-09 12:37;"@ezzd_1212 @DMW_JD2014 @mcc418 @BarackObama @realDonaldTrump @YouTube he's devided country so much, will either do right by one or the other";https://twitter.com/PeteLRodriguez/status/796315759244967936
4fd63188b772fc62;PeteLRodriguez;2016-11-09 11:26;"@DMW_JD2014 @mcc418 @BarackObama @realDonaldTrump @YouTube not motivated to work again. Live off pension and just retire.";https://twitter.com/PeteLRodriguez/status/796297790460743680
4fd63188b772fc62;PeteLRodriguez;2016-11-09 11:12;"@DMW_JD2014 @mcc418 @BarackObama @realDonaldTrump @YouTube refused 2 Blieve1/2 of American voters were racists/misogynist/xeno. Not sure now";https://twitter.com/PeteLRodriguez/status/796294413647564800
4fd63188b772fc62;tx_ace;2016-11-09 07:28;"It's been the highest Evangelical VOTE in DECADES omg God has spoken Sorry Satan, America is still UNDER GOD @realDonaldTrump";https://twitter.com/tx_ace/status/796237927646920704
4fd63188b772fc62;ericparraa;2016-11-09 05:34;"@realDonaldTrump SUCK MY DICK NIGGA FUCK U";https://twitter.com/ericparraa/status/796209231779205121
4fd63188b772fc62;gabbyfabulousb;2016-11-09 04:09;"I think @realDonaldTrump is going to win #ElectionNight";https://twitter.com/gabbyfabulousb/status/796187860823056385
4fd63188b772fc62;therealoscarmh;2016-11-09 02:23;"Florida cmon @realDonaldTrump has a home there! #Trump";https://twitter.com/therealoscarmh/status/796161237952450560
4fd63188b772fc62;cecilong;2016-11-09 02:11;"All @realDonaldTrump has done is make a mockery of the Republican Party&what it stands for. He's turned this nation's democracy into a joke.";https://twitter.com/cecilong/status/796158314862313472
4fd63188b772fc62;Miangoll1;2016-11-08 15:24;"@sofffiaaa Hola guapa...hoy ganamos Don't worry.. @realDonaldTrump es d chihuahua";https://twitter.com/Miangoll1/status/795995396841570304
4fd63188b772fc62;956_2766;2016-11-08 06:33;"So @realDonaldTrump says he doesn't need a singer, funny we all saw one in his campaign...";https://twitter.com/956_2766/status/795861871043743744
4fd63188b772fc62;cecilong;2016-11-08 06:00;"#ImVotingBecause my passport won't be renewed on time in case @realDonaldTrump wins";https://twitter.com/cecilong/status/795853598664040448
4fd63188b772fc62;956_2766;2016-11-08 05:45;"@realDonaldTrump https:// twitter.com/TaylorRoi/stat us/795840571004821508 …";https://twitter.com/956_2766/status/795849688352194560
4fd63188b772fc62;joakin_luna;2016-11-08 01:54;"@MAULEGARRETA @HillaryClinton @realDonaldTrump Así es amigo,solo que la mayoría de latinos no tienen toda la información,tenemos una tercer opción se llama "Gary Johnson"! pic.twitter.com/IvdFPAJ1y5";https://twitter.com/joakin_luna/status/795791471894990849
4fd63188b772fc62;mariana_salido;2016-11-08 01:01;"@realDonaldTrump make a Snapchat filter please";https://twitter.com/mariana_salido/status/795778128824172544
