place;username;date;text;permalink
5a110d312052166f;sea329;2016-11-14 23:23;"@politico @HillaryClinton pic.twitter.com/U1H4bBAa5c";https://twitter.com/sea329/status/798290178196418560
5a110d312052166f;jshack;2016-11-14 18:56;"@HillaryClinton @billclinton @BernieSanders @BarackObama @MichelleObama @NancyPelosi @JerryBrownGov @GavinNewsom What do we do now? #outlet";https://twitter.com/jshack/status/798223132850954240
5a110d312052166f;AttyJ;2016-11-14 18:40;"Libtard atty: Bannon is an anti-Semite Me: like @HillaryClinton ? Her: she isn't! Me: calling someone 'Jew bastard' kind of is....";https://twitter.com/AttyJ/status/798219110144348161
5a110d312052166f;Joaquin3101;2016-11-14 16:30;"@seanhannity @CNN @HillaryClinton Hell Yes. CNN is not even pretending to be unbiased.";https://twitter.com/Joaquin3101/status/798186377082900481
5a110d312052166f;Andilyn_OC;2016-11-14 15:45;"@HillaryClinton !!!! #imstillwithher https:// twitter.com/rheabutcher/st atus/798047606073008128 …";https://twitter.com/Andilyn_OC/status/798175039132602368
5a110d312052166f;DeDeTillman;2016-11-14 06:32;"Won Popular Vote @HillaryClinton @WhoopiGoldberg @SamuelLJackson @MagicJohnson https://www. change.org/p/electoral-co llege-electors-electoral-college-make-hillary-clinton-president-on-december-19 … Please Sign and Retweet Thanks";https://twitter.com/DeDeTillman/status/798035822096183296
5a110d312052166f;DeDeTillman;2016-11-14 06:29;"Support @HillaryClinton @sunny @JoyVBehar @60Minutes Please sign this Petition, Retweet and add to Facebook Thank https://www. change.org/p/electoral-co llege-electors-electoral-college-make-hillary-clinton-president-on-december-19 …";https://twitter.com/DeDeTillman/status/798035145940824064
5a110d312052166f;mrp;2016-11-14 06:24;"@PeteFleck @60Minutes @HillaryClinton @thinker Per @snopes this is false: http://www. snopes.com/protesters-bea t-homeless-veteran/ …";https://twitter.com/mrp/status/798033882255802368
5a110d312052166f;burchillin;2016-11-14 05:18;"@HillaryClinton said half of @realDonaldTrump supporters are baskets of deplorables. She underestimated.";https://twitter.com/burchillin/status/798017187185246209
5a110d312052166f;HomelessSanFran;2016-11-14 03:07;"Hey @sfgov ! Still wondering how @HillaryClinton lost? It's because Dems like you fail the city and people you work for day after day.";https://twitter.com/HomelessSanFran/status/797984186959208448
5a110d312052166f;DeDeTillman;2016-11-14 01:29;"@La_Tray @HillaryClinton Beautiful. It's not over, #Trump is in for a BIG SHOCK. Hillary will be in office. Can't wait to see his face";https://twitter.com/DeDeTillman/status/797959590163791872
5a110d312052166f;mrp;2016-11-13 21:31;"@StacieJames @realDonaldTrump @nytimes Twitter isn't the problem. @BarackObama & @HillaryClinton use the platform yet maintain decorum.";https://twitter.com/mrp/status/797899653735849984
5a110d312052166f;alexmackenziesf;2016-11-13 19:15;"@numero__6 @Kieran_1981 @Nigel_Farage @NicolaSturgeon @HillaryClinton blocked";https://twitter.com/alexmackenziesf/status/797865571412942848
5a110d312052166f;bsteinbe;2016-11-13 19:00;"Now, this is leadership. @HillaryClinton now and in 1969. Decades of working to help others. https://www. brainpickings.org/2016/11/07/hil lary-clinton-wellesley-speech/ … #StillWithHer";https://twitter.com/bsteinbe/status/797861696702287872
5a110d312052166f;alexmackenziesf;2016-11-13 17:55;"@numero__6 @Nigel_Farage @NicolaSturgeon @ffweekend @HillaryClinton have a lovely day pal";https://twitter.com/alexmackenziesf/status/797845360689283072
5a110d312052166f;alexmackenziesf;2016-11-13 17:35;"@numero__6 @Nigel_Farage @NicolaSturgeon @ffweekend time will tell. #imstillwithher as i was with @HillaryClinton";https://twitter.com/alexmackenziesf/status/797840416733204480
5a110d312052166f;calasich;2016-11-13 09:24;"@hurricanedeezy @deeshaw @HillaryClinton us too. She is America's bae.";https://twitter.com/calasich/status/797716805854732288
5a110d312052166f;Rich_893;2016-11-13 09:21;"@Redpainter1 @HillaryClinton -Trump isn't about to waste his time in an old house, white, or not, where he can't look down on his supporters.";https://twitter.com/Rich_893/status/797715959272218625
