place;username;date;text;permalink
5a110d312052166f;lauriekeith;2016-11-07 00:55;"I just voted for our first woman president @HillaryClinton !! #hillyes #proudtobeanamerican #HillaryClinton #clintonkane2016 pic.twitter.com/K23oTtPOfN";https://twitter.com/lauriekeith/status/795414249560363008
5a110d312052166f;aunder;2016-11-07 00:37;"My hero and yours, who spent most of his weekend dialing for #gotv and @HillaryClinton pic.twitter.com/vK0pCSqZIH";https://twitter.com/aunder/status/795409836720590848
5a110d312052166f;Tturedraider123;2016-11-07 00:37;"@clearception @HillaryClinton @wikileaks Please delete the fake news story tweet my friends.";https://twitter.com/Tturedraider123/status/795409728402665472
5a110d312052166f;Tturedraider123;2016-11-07 00:34;"@clearception @HillaryClinton @wikileaks Please delete this fake news tweet, my friend.";https://twitter.com/Tturedraider123/status/795409134006857729
5a110d312052166f;moon;2016-11-07 00:30;"In America you are innocent until proven guilty, FBI Director Comey couldn't find any evidence of a crime @HillaryClinton was never charged";https://twitter.com/moon/status/795408045350080514
5a110d312052166f;beeepoh;2016-11-07 00:28;"@danrolle @LVMPD @HillaryClinton Vote trump, it's the ultimate middle finger.";https://twitter.com/beeepoh/status/795407648623468544
5a110d312052166f;gabimoskowitz;2016-11-07 00:15;"The wonderful @zoeinthecities on why she's with @HillaryClinton https:// m.mic.com/articles/15851 5/zoe-kazan-explains-why-she-s-with-her-and-why-she-thinks-you-should-be-too …";https://twitter.com/gabimoskowitz/status/795404284028325889
5a110d312052166f;moon;2016-11-07 00:10;"Has anyone seen @realDonaldTrump today? @FBI can't find anything to indicate @HillaryClinton with after the biggest smear campaign ever!";https://twitter.com/moon/status/795403056049328128
5a110d312052166f;moon;2016-11-06 23:54;"FBI Director Comey a Republican, only began an investigation into @HillaryClinton 's emails at the insistence of the #RNC";https://twitter.com/moon/status/795398928447336449
5a110d312052166f;sfluvr007;2016-11-06 23:35;"Like we already knew, no evidence of any wrongdoing again X1000! Now off to victory! @HillaryClinton the next POTUS! https:// twitter.com/msnbc/status/7 95369400232767489 …";https://twitter.com/sfluvr007/status/795394144902336513
5a110d312052166f;sgrady85;2016-11-06 22:49;"@seanspicer @GOP @HillaryClinton Sad!";https://twitter.com/sgrady85/status/795382567167889409
5a110d312052166f;Nombe;2016-11-06 22:49;"Hey @cavs fans- #Warriors fans like me might not like @KingJames all the time, but hail to LeBron 4 supporting @HillaryClinton . #VOTEHILLARY";https://twitter.com/Nombe/status/795382546003439617
5a110d312052166f;moon;2016-11-06 22:43;"At last @HillaryClinton has been cleared by the @FBI , there were no top secret US government emails in the latest batch.";https://twitter.com/moon/status/795381136356577280
5a110d312052166f;bsteinbe;2016-11-06 22:27;"Emails Warrant No New Action Against @HillaryClinton , F.B.I. Director Says http:// nyti.ms/2esQ0uj";https://twitter.com/bsteinbe/status/795377030309154816
5a110d312052166f;bsteinbe;2016-11-06 22:23;"@springsteen to Perform at @HillaryClinton Final Rally http:// pitchfork.com/news/69616-bru ce-springsteen-to-perform-at-hillary-clintons-final-rally/ … via @pitchfork";https://twitter.com/bsteinbe/status/795376109198065664
5a110d312052166f;niket;2016-11-06 22:22;"@anshublog @realDonaldTrump Donated too. Also voted for @hillaryclinton and will be getting on the to swing some ppl today. Let's do this!";https://twitter.com/niket/status/795375856591872000
5a110d312052166f;bsteinbe;2016-11-06 21:43;"yep. much to do about nothing, still with her and always with her! @HillaryClinton #imwithher #StrongerTogether pic.twitter.com/ZJVG7A6NCY";https://twitter.com/bsteinbe/status/795366114976903168
5a110d312052166f;Huth;2016-11-06 21:41;"Sitting in my living room making calls for @HillaryClinton . There is absolutely nothing else I would rather be doing right now. #ImWithHer";https://twitter.com/Huth/status/795365489526476801
5a110d312052166f;matt_slotnick;2016-11-06 21:25;"@ashleymayer @anthonyunplug @HillaryClinton nice try tony!";https://twitter.com/matt_slotnick/status/795361469948948481
5a110d312052166f;lauriekeith;2016-11-06 21:08;"When #facebook advertising works. I just bought this. #hillyes #HillaryClinton @HillaryClinton #letsdothis #clintonkane2016 pic.twitter.com/CHznpxlIvK";https://twitter.com/lauriekeith/status/795357237942185984
5a110d312052166f;KarstenW;2016-11-06 20:52;"@FBeauchard @brunelldonald @ffweekend @FoxNews @HillaryClinton nobody likes ALL-CAPPERS either, left or right )";https://twitter.com/KarstenW/status/795353229131296768
5a110d312052166f;CatherineGorml2;2016-11-06 20:51;"@Richard_Schiff @WhitfordBradley @HillaryClinton @HillaryforNC LOVE THIS PIC!!!! Don't miss the bus this time.";https://twitter.com/CatherineGorml2/status/795352895470256128
5a110d312052166f;KarstenW;2016-11-06 20:46;"@FoxNews @ffweekend @HillaryClinton @brunelldonald - to translate: think you have a grievance? Fair enough. Happy to listen. Don't rant.";https://twitter.com/KarstenW/status/795351568069509120
5a110d312052166f;annielee415;2016-11-06 19:30;"@ConstanceWu @HillaryClinton I cried too! So incredibly proud to vote for Hillary. #ImWithHer";https://twitter.com/annielee415/status/795332636025581568
5a110d312052166f;budluv26;2016-11-06 18:37;"@FoxNews @HillaryClinton what's up with that voice and flinging her hands like she is a mad woman all the time.";https://twitter.com/budluv26/status/795319187442925568
5a110d312052166f;Dividist;2016-11-06 18:16;"#MTP - @HardballChris nails it. @HillaryClinton will win, but #Democrats "didn't win the argument." Any other than Trump & it's #GOP sweep. https:// twitter.com/semil/status/7 95309565029945344 …";https://twitter.com/Dividist/status/795313813419479040
5a110d312052166f;KarstenW;2016-11-06 17:51;"@FoxNews @ffweekend @HillaryClinton - @brunelldonald is a ranter, and nobody likes a ranter, left or right.";https://twitter.com/KarstenW/status/795307613655138304
5a110d312052166f;KalAbehra;2016-11-06 17:47;"@KellyannePolls @HillaryClinton @nypost you are going to have a great career as a #brathandler after your #babyman loses";https://twitter.com/KalAbehra/status/795306654837272576
5a110d312052166f;colbay;2016-11-06 16:44;""Look, I know @HillaryClinton and she is a very nice person" – @realDonaldTrump https:// twitter.com/parker9_/statu s/790323912290684930 …";https://twitter.com/colbay/status/795290672563556352
5a110d312052166f;sea329;2016-11-06 16:05;"@politico @HillaryClinton 4 years of Hillary is open invitation for Islam terror groups around the world that America is open season.";https://twitter.com/sea329/status/795280873952190465
5a110d312052166f;sea329;2016-11-06 16:01;"@politico @HillaryClinton PURE EVIL";https://twitter.com/sea329/status/795279867918958594
5a110d312052166f;shariajohnston;2016-11-06 15:57;"Who to vote for @realDonaldTrump @HillaryClinton when they both have issues? https:// twitter.com/sethmeyers/sta tus/794196180586663936 …";https://twitter.com/shariajohnston/status/795278926729707521
5a110d312052166f;Poopoonagen;2016-11-06 08:35;"Wth? Voting is for American Citizens! Illegal Aliens cannot vote @POTUS !?! Come on! @realDonaldTrump @GOP @TheDemocrats @HillaryClinton https:// twitter.com/Buckyworks/sta tus/795161947670876160 …";https://twitter.com/Poopoonagen/status/795167594592354304
5a110d312052166f;Andilyn_OC;2016-11-06 08:26;"@launchbrand @HillaryClinton @facebook one million strong and counting. #OHHillYes #WereWithHer";https://twitter.com/Andilyn_OC/status/795165388392673280
5a110d312052166f;Andilyn_OC;2016-11-06 08:23;"@HillaryClinton I hope you've seen all the posts in the super secret FB group!!! #WereWithHer #OHHillYes #pantsuitnation";https://twitter.com/Andilyn_OC/status/795164768206143488
5a110d312052166f;SisterRoma;2016-11-06 07:00;"This makes me so happy. So mote it be. @HillaryClinton #imwithher pic.twitter.com/tzzmWJKZne";https://twitter.com/SisterRoma/status/795143844144611328
5a110d312052166f;CBarlerin;2016-11-06 06:50;"When they go low, we #VOTE @HillaryClinton #imwithher https:// twitter.com/hillaryclinton /status/794894074037866496 …";https://twitter.com/CBarlerin/status/795141211975622656
