place;username;date;text;permalink
5a110d312052166f;ARLammers;2016-11-07 00:43;"Little @realDonaldTrump has his little Twitter hands tied up. HAHAHA!";https://twitter.com/ARLammers/status/795411229229522944
5a110d312052166f;sfluvr007;2016-11-07 00:19;"If somebody can't handle a Twitter account, they can't handle the nuclear codes. Says President Obama of @realDonaldTrump #ImWithHer";https://twitter.com/sfluvr007/status/795405299297288192
5a110d312052166f;sfdawg2009;2016-11-07 00:15;"awesome, kudos to creator maybe @nbcsnl will include in a @SNLUpdate segment maybe @realDonaldTrump will feel a similar impact on #Nov8th https:// twitter.com/globe_pics/sta tus/795393943252926464 …";https://twitter.com/sfdawg2009/status/795404152067145728
5a110d312052166f;moon;2016-11-07 00:14;"Maybe @realDonaldTrump can become President of Russia";https://twitter.com/moon/status/795404035507425280
5a110d312052166f;moon;2016-11-07 00:10;"Has anyone seen @realDonaldTrump today? @FBI can't find anything to indicate @HillaryClinton with after the biggest smear campaign ever!";https://twitter.com/moon/status/795403056049328128
5a110d312052166f;KalAbehra;2016-11-06 23:44;"@businessinsider many people are saying that @realDonaldTrump and @KellyannePolls no longer know what the terms "truth" or "true" refers to";https://twitter.com/KalAbehra/status/795396561505173504
5a110d312052166f;Johhny4play;2016-11-06 23:39;"@realDonaldTrump You ready to taste me fist tonight punk? No Joke, you wanna be Head Honcho, you gotta step in the ring with me tonight.";https://twitter.com/Johhny4play/status/795395315129950208
5a110d312052166f;warendh;2016-11-06 23:27;"Look forward to seeing @realDonaldTrump 's post-loss Twitter meltdown after he gets his account back on Wednesday. https:// twitter.com/danpfeiffer/st atus/795387774287364096 …";https://twitter.com/warendh/status/795392097641578496
5a110d312052166f;moon;2016-11-06 22:53;"If @FBI spent a week investigating @realDonaldTrump I'm sure they would get an indictment and then a conviction in court as in #BridgeGate";https://twitter.com/moon/status/795383594411667456
5a110d312052166f;cali94612;2016-11-06 22:50;"@Biloximeemaw @GenFlynn @realDonaldTrump @EricTrump @LindaSuhler @DanScavino it's over pic.twitter.com/AQCat1y5mh";https://twitter.com/cali94612/status/795382800278949888
5a110d312052166f;KalAbehra;2016-11-06 22:34;"@brianstelter @ByronTau @realDonaldTrump @nytimes I guess that's what they'll need to do if he is president : hide the "football"";https://twitter.com/KalAbehra/status/795378916160454656
5a110d312052166f;KalAbehra;2016-11-06 22:32;"@goldngater @ABCPolitics @realDonaldTrump @ABC believe me folks, it's all rigged again it was Unrigged for a few days but it's rigged again";https://twitter.com/KalAbehra/status/795378314869231616
5a110d312052166f;niket;2016-11-06 22:22;"@anshublog @realDonaldTrump Donated too. Also voted for @hillaryclinton and will be getting on the to swing some ppl today. Let's do this!";https://twitter.com/niket/status/795375856591872000
5a110d312052166f;Rich_893;2016-11-06 22:17;"@KarenRylander @realDonaldTrump @nytimes -Several Republicans are bound to jump off and back on the train as it slows again.";https://twitter.com/Rich_893/status/795374584207769600
5a110d312052166f;Rich_893;2016-11-06 22:16;"@KarenRylander @realDonaldTrump @nytimes -He won't shut up for long! After the FBI announcement he is back to saying everything is rigged.";https://twitter.com/Rich_893/status/795374323703779328
5a110d312052166f;john_ellengard;2016-11-06 22:13;"@IngrahamAngle @realDonaldTrump Low blow Laura even for you";https://twitter.com/john_ellengard/status/795373585925705728
5a110d312052166f;remilash;2016-11-06 22:05;"@KellyannePolls @brianefallon &why did you & @realDonaldTrump & ur campaign also attacked him in July and turned around 2 praise him in Oct?";https://twitter.com/remilash/status/795371488274575361
5a110d312052166f;jackhutton;2016-11-06 21:57;"@realDonaldTrump screengrab — little feminine hands & the truth about trumps lies - VOTE FOR HILLARY pic.twitter.com/msbPvrqLcY";https://twitter.com/jackhutton/status/795369440695095296
5a110d312052166f;djstrano;2016-11-06 21:56;"This election is about workers' rights. @realDonaldTrump will strip all away by appointing Pro Corporate judges to Supreme Court.";https://twitter.com/djstrano/status/795369244472938496
5a110d312052166f;Tturedraider123;2016-11-06 21:02;"@BreitbartNews @realDonaldTrump @seanhannity Breaking News: @MMFlint is freaking out! #desperation #Demexit #FlintSellout pic.twitter.com/vo1RGnTbUj";https://twitter.com/Tturedraider123/status/795355665300492288
5a110d312052166f;fpnicolas;2016-11-06 19:46;"Another failed venture from @realDonaldTrump with Toronto Trump Tower. Make sure he doesn't bring his record of failures as a President... pic.twitter.com/kQnYOoDYKq";https://twitter.com/fpnicolas/status/795336564519948288
5a110d312052166f;ChettyMamandur;2016-11-06 19:45;"BREAKING : Hillary Clinton Had her MAID Print CLASSIFIED INFORMATION http:// truthfeed.com/breaking-hilla ry-clinton-had-her-maid-print-classified-information/34230/ … @realDonaldTrump @KellyannePolls @EricTrump";https://twitter.com/ChettyMamandur/status/795336241503870976
5a110d312052166f;CoolAssPuppy;2016-11-06 19:30;"Awwww...why can't @realDonaldTrump come out to play? Let Donald be Donald! http:// mobile.nytimes.com/2016/11/07/us/ politics/donald-trump-presidential-race.html …";https://twitter.com/CoolAssPuppy/status/795332436666118144
5a110d312052166f;MarkESackett;2016-11-06 19:07;"Pay attention #America @realdonaldtrump is not who he appears to be! While we may not like… https://www. instagram.com/p/BMemi5ahMlh/";https://twitter.com/MarkESackett/status/795326649034153984
5a110d312052166f;ChettyMamandur;2016-11-06 18:44;"@realDonaldTrump committed to #MAGA unlike @MittRomney who disappointed millions of Americans";https://twitter.com/ChettyMamandur/status/795320975680159744
5a110d312052166f;yipe;2016-11-06 17:03;"@joshgremillion @realDonaldTrump @TeamTrump @EricTrump @DanScavino @mitchellvii @heytana @LaraLeaTrump @KatrinaPierson @DonaldJTrumpJr @KellyannePolls That's not how prayer works";https://twitter.com/yipe/status/795295425838215169
5a110d312052166f;colbay;2016-11-06 16:44;""Look, I know @HillaryClinton and she is a very nice person" – @realDonaldTrump https:// twitter.com/parker9_/statu s/790323912290684930 …";https://twitter.com/colbay/status/795290672563556352
5a110d312052166f;GarySoup;2016-11-06 15:57;"It IS a binary choice, folks. Either we flush @realDonaldTrump down the toilet on Tuesday, or we flush American democracy down the toilet.";https://twitter.com/GarySoup/status/795279012280954880
5a110d312052166f;shariajohnston;2016-11-06 15:57;"Who to vote for @realDonaldTrump @HillaryClinton when they both have issues? https:// twitter.com/sethmeyers/sta tus/794196180586663936 …";https://twitter.com/shariajohnston/status/795278926729707521
5a110d312052166f;themartinharo;2016-11-06 10:57;"@realDonaldTrump , what are you actually optimistic about in #America in 2016? Be mindful in your response. #hasanyoneasked";https://twitter.com/themartinharo/status/795203508534247424
5a110d312052166f;Poopoonagen;2016-11-06 08:35;"Wth? Voting is for American Citizens! Illegal Aliens cannot vote @POTUS !?! Come on! @realDonaldTrump @GOP @TheDemocrats @HillaryClinton https:// twitter.com/Buckyworks/sta tus/795161947670876160 …";https://twitter.com/Poopoonagen/status/795167594592354304
5a110d312052166f;Tturedraider123;2016-11-06 07:38;"@0hour @ben_watching @Rambobiggs @realDonaldTrump @RealAlexJones @RealJamesWoods @FBIRecordsVault @FBI @TGowdySC @jasoninthehouse";https://twitter.com/Tturedraider123/status/795153461939609600
5a110d312052166f;Tturedraider123;2016-11-06 07:31;"@wikileaks @PrisonPlanet @WLTaskForce @realDonaldTrump @RealAlexJones @zerohedge @DrJillStein @Snowden @xychelsea @YourAnonNews https:// twitter.com/arpitsizzle/st atus/795150439893172224 …";https://twitter.com/Tturedraider123/status/795151608036216832
5a110d312052166f;antvr8;2016-11-06 06:55;"@musclecar112 @samsteinhp @chrislhayes @realDonaldTrump Critical thinking means weighing all available info 2 develop a position, not just 1";https://twitter.com/antvr8/status/795142455867805696
5a110d312052166f;antvr8;2016-11-06 06:53;"@musclecar112 @samsteinhp @chrislhayes @realDonaldTrump No, you are grossly misinformed.";https://twitter.com/antvr8/status/795142072852312065
5a110d312052166f;antvr8;2016-11-06 06:53;"@musclecar112 @samsteinhp @chrislhayes @realDonaldTrump Please, again, read the Economist. Better yet gets subscription.";https://twitter.com/antvr8/status/795141931189694466
