place;username;date;text;permalink
6a0a3474d8c5113c;KellyAnneKFOX14;2016-11-14 14:20;"Richard Nixon gave a complete pardon to Gerald R. Ford. Could @POTUS excuse @HillaryClinton before he leaves office? More next @KFOX14 pic.twitter.com/QR0Oh4Hnde";https://twitter.com/KellyAnneKFOX14/status/798153750963752960
6a0a3474d8c5113c;BobBarnesdesk;2016-11-14 06:07;"@YouTube @P0TUS @HillaryClinton @CNN @MSNBC @CBS @ABC & laughed @seanhannity @JudgeJeanine @realDonaldTrump @TheFive @oreillyfactor also";https://twitter.com/BobBarnesdesk/status/798029578497388544
6a0a3474d8c5113c;BobBarnesdesk;2016-11-14 06:05;"https://www. youtube.com/watch?v=zT0Rjc 6jKCg&sns=tw … via @youtube @P0TUS @HillaryClinton @CNN @MSNBC @CBS @ABC & they laughed @realDonaldTrump @TheFive @oreillyfactor";https://twitter.com/BobBarnesdesk/status/798029105308413956
6a0a3474d8c5113c;Mimau;2016-11-14 01:55;"Or @POTUS @HillaryClinton should go to jail for inciting riot, or better yet, impeached. @Mimau @realDonaldTrump @OANN @AnnCoulter https:// twitter.com/LindaSuhler/st atus/797957876115390464 …";https://twitter.com/Mimau/status/797966143290011648
6a0a3474d8c5113c;KellyAnneKFOX14;2016-11-13 00:17;". @HillaryClinton to @nytimes "“our analysis is that Comey’s letter raising doubts that were groundless, baseless ...stopped our momentum.” pic.twitter.com/vvNm2oRKrS";https://twitter.com/KellyAnneKFOX14/status/797579166308855808
6a0a3474d8c5113c;rodolfof1623;2016-11-12 20:47;"@FoxNews @realDonaldTrump @HillaryClinton One poll showed Trump leading Hillary? Men of little faith! The Red Sea, battle at Lepanto!";https://twitter.com/rodolfof1623/status/797526317461884928
6a0a3474d8c5113c;rodolfof1623;2016-11-12 19:35;"@FoxNews @brunelldonald @HillaryClinton Trump said Hillary made bad judgements, change for agents of evil is impossible but w/God is not!";https://twitter.com/rodolfof1623/status/797508145442594816
6a0a3474d8c5113c;therealmeminski;2016-11-12 13:40;"@TheDemocrats @HillaryClinton @DWStweets @donnabrazile I found a great article for you. Pray you learn https://www. psychologytoday.com/blog/what-woul d-aristotle-do/201207/stop-playing-the-blame-game … #Election2016";https://twitter.com/therealmeminski/status/797418807312662528
6a0a3474d8c5113c;lxgrc987;2016-11-12 04:33;"Only washed whites today. No colored or dark clothing. Don't tell @Tip or @HillaryClinton supporters. Don't want 2 b called #racist #USA";https://twitter.com/lxgrc987/status/797281082584551424
6a0a3474d8c5113c;xurcroh;2016-11-09 20:56;"@HillaryClinton Thank you for your courage, your passion, your strength and your will.";https://twitter.com/xurcroh/status/796441263113322496
6a0a3474d8c5113c;xurcroh;2016-11-09 20:55;"@HillaryClinton you are my hero, a hero to so many.";https://twitter.com/xurcroh/status/796441065821650944
6a0a3474d8c5113c;rmtz64;2016-11-09 20:39;"@HillaryClinton Be proud Madam Secretary! We know you did your best and that you wanted to give your best to our country. God bless you!";https://twitter.com/rmtz64/status/796437168864378880
6a0a3474d8c5113c;rodolfof1623;2016-11-09 20:09;"@MonicaCrowley @BretBaier @HillaryClinton Hillary in public, I don't have to tell what she already said to Obama and her husband, get it?";https://twitter.com/rodolfof1623/status/796429502868025345
6a0a3474d8c5113c;gotdaved;2016-11-09 17:33;"@HillaryClinton Whatever you need. What ever I can do. Just ask. I'm ready to get to work.";https://twitter.com/gotdaved/status/796390323387826176
6a0a3474d8c5113c;Buh_ryan;2016-11-09 15:35;"@HillaryClinton girl how dare you not win ! pic.twitter.com/VWkGYVd1O6";https://twitter.com/Buh_ryan/status/796360521276604417
6a0a3474d8c5113c;ZoroRivera;2016-11-09 14:33;"@HillaryClinton ...";https://twitter.com/ZoroRivera/status/796344951206506496
6a0a3474d8c5113c;gotdaved;2016-11-09 12:42;". @HillaryClinton Thank you for your hard work. It matters. Still in this together.";https://twitter.com/gotdaved/status/796316990235410432
6a0a3474d8c5113c;BobBarnesdesk;2016-11-09 08:53;"Wow @realDonaldTrump He is truly a real President, how graciously he speaks of his opponent @HillaryClinton @cnnbrk @FoxNews He unites USA!";https://twitter.com/BobBarnesdesk/status/796259277539340288
6a0a3474d8c5113c;BobBarnesdesk;2016-11-09 08:50;"Congratulations @realDonaldTrump !!! USA USA USA! @cnnbrk @HillaryClinton @FoxNews Trump is our new President Praise G-d!";https://twitter.com/BobBarnesdesk/status/796258714902818816
6a0a3474d8c5113c;BobBarnesdesk;2016-11-09 08:42;"@chuckwoolery @realDonaldTrump @cnnbrk @HillaryClinton Everybody is thinking this....Dems are printing votes now!!!";https://twitter.com/BobBarnesdesk/status/796256608787582976
6a0a3474d8c5113c;BobBarnesdesk;2016-11-09 08:31;"HRC, such low energy, she can't get out of her coffin & concede? @realDonaldTrump won't let @HillaryClinton dictate who is POTUS! @FoxNews";https://twitter.com/BobBarnesdesk/status/796253811090354176
6a0a3474d8c5113c;Mimau;2016-11-09 08:26;"@POTUS , put all @HillaryClinton and staffers on no fly list. Yourself as well. @Mimau @realDonaldTrump @DanScavino @OANN @AnnCoulter";https://twitter.com/Mimau/status/796252635347222530
6a0a3474d8c5113c;BobBarnesdesk;2016-11-09 08:18;"Clinton campaign refuses to concede? Oh oh we could be in a flat out civil war.... @realDonaldTrump @HillaryClinton @CNN @FoxNews";https://twitter.com/BobBarnesdesk/status/796250476333428737
6a0a3474d8c5113c;maggs157;2016-11-09 08:16;"@edhenry @SebGorka @HillaryClinton @CarlNyberg312 hahahahahaha";https://twitter.com/maggs157/status/796250101647900672
6a0a3474d8c5113c;Will_Veee;2016-11-09 07:08;"@HillaryClinton You weren't my first choice (Bernie), but I voted for you because you were the best option. I'm sorry this country sucks.";https://twitter.com/Will_Veee/status/796233097557708801
