place;username;date;text;permalink
6a0a3474d8c5113c;ktheintz;2016-11-07 00:59;"@MarilynKaplan1 @joanwalsh @swalsh2u @springsteen @HillaryClinton pic.twitter.com/4ORwFwTeu6";https://twitter.com/ktheintz/status/795415376750329860
6a0a3474d8c5113c;ktheintz;2016-11-07 00:56;"@MarilynKaplan1 @joanwalsh @swalsh2u @springsteen @HillaryClinton going back to 1980 No Nukes benefit, Springsteen has always been a liberal";https://twitter.com/ktheintz/status/795414592067432448
6a0a3474d8c5113c;rodolfof1623;2016-11-07 00:00;"@elpasotimes @FBI @HillaryClinton Comey: beware! Your Creator and Judge is watching; He will set things straight on Tuesday Nov 8, 2016!";https://twitter.com/rodolfof1623/status/795400567816355840
6a0a3474d8c5113c;sojoelpaso;2016-11-06 03:07;"Thinking abt all the years of Clinton public service, Hillary's tenacity and my grandparents, listening from the front row. @HillaryClinton pic.twitter.com/hbke7VefAj";https://twitter.com/sojoelpaso/status/795085101721911296
6a0a3474d8c5113c;BobBarnesdesk;2016-11-05 23:06;"@HajiHuntingGirl @seanhannity @megynkelly @oreillyfactor @HillaryClinton @realDonaldTrump @cnnbrk @FoxNews the Muslim brotherhood";https://twitter.com/BobBarnesdesk/status/795024474890502144
6a0a3474d8c5113c;alejandroyu86;2016-11-05 22:41;"@jonfavs @jonlovett @danpfeiffer @TVietor08 instead of bed wetting I went out to vote for @HillaryClinton #ImWithHer #VotoLatino pic.twitter.com/KgVmxNW9C2";https://twitter.com/alejandroyu86/status/795018130531684352
6a0a3474d8c5113c;sojoelpaso;2016-11-05 20:41;"It was a great feeling to #GOTV this morning for @HillaryClinton , making calls to folks in my city. #imwithher2016 #ImWithHer";https://twitter.com/sojoelpaso/status/794988096244817922
6a0a3474d8c5113c;silverback915;2016-11-05 19:04;"@HillaryClinton What we want is for our country is 4u to be prosecuted for the murder of the service members who died in #Benghazi !!";https://twitter.com/silverback915/status/794963501865402369
6a0a3474d8c5113c;vnedit_;2016-11-05 09:24;"Is it just me or is @realDonaldTrump 's hair more yellow? @POTUS @HillaryClinton – Makes you wonder what else abt him is yellow @billmaher https:// twitter.com/cnn/status/794 701717258596352 …";https://twitter.com/vnedit_/status/794817538827816960
6a0a3474d8c5113c;BobMooreNews;2016-11-05 07:10;"Early voting spike in large TX border counties would add, conservatively, about 50,000 votes to @HillaryClinton margin in those counties. https:// twitter.com/bobmoorenews/s tatus/794782044093939712 …";https://twitter.com/BobMooreNews/status/794784033456521216
6a0a3474d8c5113c;BobMooreNews;2016-11-05 05:53;"@HillaryClinton pumping additional money into GOTV efforts in El Paso. Targeting infrequent voters in Hispanic county w/ huge turnout spike.";https://twitter.com/BobMooreNews/status/794764564134928384
6a0a3474d8c5113c;rodolfof1623;2016-11-05 00:52;"@LindaSuhler @HillaryClinton Yes, Linda, Hillary's hands have lots of blood calling for justice!";https://twitter.com/rodolfof1623/status/794688876820529152
6a0a3474d8c5113c;amyespinoza13;2016-11-04 23:34;"@anamariecox @RealAlexJones @HillaryClinton Like no other...";https://twitter.com/amyespinoza13/status/794669135238144000
6a0a3474d8c5113c;carjack68;2016-11-04 22:25;"@KellyannePolls @ShareThis @FreeBeacon @HillaryClinton didn't go give everyone rules pay though! And wont give retributive pay either! Lame";https://twitter.com/carjack68/status/794651824699674624
6a0a3474d8c5113c;carjack68;2016-11-04 19:18;"@FoxNews @HillaryClinton @realDonaldTrump every owner on the block did!";https://twitter.com/carjack68/status/794604724381093889
6a0a3474d8c5113c;carjack68;2016-11-04 19:18;"@FoxNews @HillaryClinton and getting our soldiers and intelligence officers killed";https://twitter.com/carjack68/status/794604636808224768
6a0a3474d8c5113c;BobMooreNews;2016-11-04 12:29;"Obama won El Paso County, TX, by 56,000 in 2012. Hispanic voter surge likely to put @HillaryClinton margin closer to 100,000.";https://twitter.com/BobMooreNews/status/794501721493934080
6a0a3474d8c5113c;matthewfecteau;2016-11-04 07:03;"Proud to support @HillaryClinton @VeteransforHill @realDonaldTrump #imwithher";https://twitter.com/matthewfecteau/status/794419706241220608
6a0a3474d8c5113c;buba42;2016-11-03 21:11;"@Sisteridw @RoccoSteeleNYC @HillaryClinton what do you like more?? To cum inside or pull out";https://twitter.com/buba42/status/794270804296929281
6a0a3474d8c5113c;Lukkylin;2016-11-03 18:52;"@HillaryClinton @MrDanZak It is Bigly Beautiful....";https://twitter.com/Lukkylin/status/794235884291825664
6a0a3474d8c5113c;rodolfof1623;2016-11-03 18:04;"@HillaryClinton And Hillary in telling lies and deceiving your supporters, shame on you...didn't ur mom tell u lying is a sin?";https://twitter.com/rodolfof1623/status/794223702040678400
