place;username;date;text;permalink
6a0a3474d8c5113c;Mimau;2016-11-15 00:50;"Why @POTUS are u talking combating climate, when there are rioters in the streets? Follow the $$. @Mimau @realDonaldTrump @AnnCoulter https:// twitter.com/WhiteHouse/sta tus/798291168010215425 …";https://twitter.com/Mimau/status/798312206500851712
6a0a3474d8c5113c;DJ_D1g1T;2016-11-15 00:10;"@juliannagoldman @AdamsFlaFan @realDonaldTrump @WhiteHouse @CBSEveningNews and that's a very big if (they lets us)";https://twitter.com/DJ_D1g1T/status/798302063608274945
6a0a3474d8c5113c;rodolfof1623;2016-11-14 20:00;"@AmeliaO28929509 @pucciolinda1 @realDonaldTrump Trump gave up a whole lot for his Country and was put to a horrific test by his enemies!";https://twitter.com/rodolfof1623/status/798239320767393792
6a0a3474d8c5113c;DJ_D1g1T;2016-11-14 18:28;"@ChrisJZullo @togetherthrive @realDonaldTrump do you really think he gives at least one fuck about us I think not";https://twitter.com/DJ_D1g1T/status/798216010180349952
6a0a3474d8c5113c;BobBarnesdesk;2016-11-14 06:07;"@YouTube @P0TUS @HillaryClinton @CNN @MSNBC @CBS @ABC & laughed @seanhannity @JudgeJeanine @realDonaldTrump @TheFive @oreillyfactor also";https://twitter.com/BobBarnesdesk/status/798029578497388544
6a0a3474d8c5113c;BobBarnesdesk;2016-11-14 06:05;"https://www. youtube.com/watch?v=zT0Rjc 6jKCg&sns=tw … via @youtube @P0TUS @HillaryClinton @CNN @MSNBC @CBS @ABC & they laughed @realDonaldTrump @TheFive @oreillyfactor";https://twitter.com/BobBarnesdesk/status/798029105308413956
6a0a3474d8c5113c;Mimau;2016-11-14 01:55;"Or @POTUS @HillaryClinton should go to jail for inciting riot, or better yet, impeached. @Mimau @realDonaldTrump @OANN @AnnCoulter https:// twitter.com/LindaSuhler/st atus/797957876115390464 …";https://twitter.com/Mimau/status/797966143290011648
6a0a3474d8c5113c;ceciolivas;2016-11-13 21:08;"As always I respect @RonPaul & @wikileaks ,but when it comes to @realDonaldTrump I don't expect anything good @dianapop https:// twitter.com/the_indicter/s tatus/797817385617072128 …";https://twitter.com/ceciolivas/status/797893849565708288
6a0a3474d8c5113c;MariaGCarlin1;2016-11-13 20:23;"@xmlwx75 @realDonaldTrump God bless and protect you dear Melissa! Have a blessed and Beautiful Sunday on Trump Train!";https://twitter.com/MariaGCarlin1/status/797882608658976771
6a0a3474d8c5113c;MariaGCarlin1;2016-11-13 20:22;"@JimAllenLive @realDonaldTrump God bless and protect you Dr. Jim Allen! Have a blessed and Beautiful Sunday on Trump Train!";https://twitter.com/MariaGCarlin1/status/797882414127202304
6a0a3474d8c5113c;MariaGCarlin1;2016-11-13 20:20;"@ChristineMMoran @realDonaldTrump God bless and protect you dear Deplorable Chrissy! Have a blessed and Beautiful Sunday on Trump Train!";https://twitter.com/MariaGCarlin1/status/797881937993969669
6a0a3474d8c5113c;MariaGCarlin1;2016-11-13 20:18;"@zaurav @realDonaldTrump God bless and protect you Saurav! Have a blessed and Beautiful Sunday on Trump Train! MAGA";https://twitter.com/MariaGCarlin1/status/797881414918152192
6a0a3474d8c5113c;MariaGCarlin1;2016-11-13 20:16;"@kupajo322 @DiamondandSilk @realDonaldTrump Have a blessed and Beautiful Sunday on Trump Train! God bless you all dear friends";https://twitter.com/MariaGCarlin1/status/797880730688724992
6a0a3474d8c5113c;Mimau;2016-11-13 19:28;"He thinks it's a game. Rmber game LIFE. He's laughing at us ÷ #MAGA #HillaryClinton #POTUS = pons, LET GO&LET GOD @Mimau @realDonaldTrump https:// twitter.com/neuro7plastic/ status/797859385695301632 …";https://twitter.com/Mimau/status/797868693057310721
6a0a3474d8c5113c;rodolfof1623;2016-11-13 17:55;"@vivelafra @LindaSuhler @DanScavino @realDonaldTrump Wow, even the enemy tells it like it is!";https://twitter.com/rodolfof1623/status/797845320814170112
6a0a3474d8c5113c;b2three;2016-11-13 17:49;"Check out this miniature utility knife. Perfect gift for @realDonaldTrump or the toddler in your life #xmas pic.twitter.com/XA82fOAbTY";https://twitter.com/b2three/status/797843852698800129
6a0a3474d8c5113c;KellyAnneKFOX14;2016-11-13 16:43;"Should @realDonaldTrump have a Twitter account? Newt Gingrich "My advice is to always have an editor." Via @FaceTheNation pic.twitter.com/GUYCwr4c72";https://twitter.com/KellyAnneKFOX14/status/797827316764344324
6a0a3474d8c5113c;b2three;2016-11-13 06:10;"LOL! That means laugh out loud @realDonaldTrump https:// twitter.com/joshgerstein/s tatus/797661187202760704 …";https://twitter.com/b2three/status/797667878665326592
6a0a3474d8c5113c;pmrash;2016-11-13 05:28;"@tamaraholder @realDonaldTrump @danawhite @ufc You're wrong on this one, and more to come! Get the facts straight! Or better yet go protest!";https://twitter.com/pmrash/status/797657374194601984
6a0a3474d8c5113c;rodolfof1623;2016-11-13 04:56;"@corrigan_ryan @GSDDogLover @realDonaldTrump corrigan..how cute, but on the point!";https://twitter.com/rodolfof1623/status/797649251643834368
6a0a3474d8c5113c;BobTheCaptainn;2016-11-13 01:25;"WE GOT OUR GUY @realDonaldTrump";https://twitter.com/BobTheCaptainn/status/797596185305313281
6a0a3474d8c5113c;rodolfof1623;2016-11-12 20:52;"@foxnation @realDonaldTrump By their fruits ye shall know them, forgive them Father for they know not what they do (Jesus, Our Lord)";https://twitter.com/rodolfof1623/status/797527610452537344
6a0a3474d8c5113c;rodolfof1623;2016-11-12 20:47;"@FoxNews @realDonaldTrump @HillaryClinton One poll showed Trump leading Hillary? Men of little faith! The Red Sea, battle at Lepanto!";https://twitter.com/rodolfof1623/status/797526317461884928
6a0a3474d8c5113c;ceciolivas;2016-11-12 16:12;"@johncusack @DrDoreenD @cenkuygur @etara44 @realDonaldTrump http:// mobile.nytimes.com/2016/11/12/us/ politics/trump-campaigned-against-lobbyists-now-theyre-on-his-transition-team.html?referer= …";https://twitter.com/ceciolivas/status/797457081859194880
6a0a3474d8c5113c;rodolfof1623;2016-11-12 04:45;"@VoteTrumpPics @speedprayers @realDonaldTrump I hope the cities experiencing this disasters will see the far left for what it is, losers!";https://twitter.com/rodolfof1623/status/797284185035702272
6a0a3474d8c5113c;alessandrahhh;2016-11-12 04:05;"@DemoGakidis @yokoono @realDonaldTrump <3 <3 <3 <3 <3";https://twitter.com/alessandrahhh/status/797274129879748608
6a0a3474d8c5113c;pmrash;2016-11-11 23:14;"@tamaraholder @realDonaldTrump @seanhannity @MayorRGiuliani @RealBenCarson @Reince @SheriffClarke @IngrahamAngle @JudgeJeanine Oh poor baby";https://twitter.com/pmrash/status/797200818038513665
6a0a3474d8c5113c;b2three;2016-11-11 20:40;"How's that legislation for term limits and ending crooked campaign finance coming along? @realDonaldTrump @SpeakerRyan @JohnCornyn @GOP";https://twitter.com/b2three/status/797162026690822145
6a0a3474d8c5113c;silverback915;2016-11-11 19:59;"@realDonaldTrump Thank You sir! Looking forward to seeing you work & I really wish I could've served under your term! Best wishes!!";https://twitter.com/silverback915/status/797151751182938112
6a0a3474d8c5113c;MariaGCarlin1;2016-11-11 19:29;"@zaurav @realDonaldTrump Everything and Everyone matters to God Our Great USA Our President Trump! God bless Us protect Our Brave Veterans!";https://twitter.com/MariaGCarlin1/status/797144212613410816
6a0a3474d8c5113c;JoeMart26199875;2016-11-11 15:18;"@realDonaldTrump Oorah mr. Future Comander and chief";https://twitter.com/JoeMart26199875/status/797081174518726656
6a0a3474d8c5113c;FCUNDICI;2016-11-11 15:07;"@realDonaldTrump #notmypresident https:// twitter.com/aaronmsanchez/ status/797050424436158464 …";https://twitter.com/FCUNDICI/status/797078214401265664
6a0a3474d8c5113c;FCUNDICI;2016-11-11 15:05;"@realDonaldTrump #notmypresident https:// twitter.com/record_mexico/ status/797065090230956032 …";https://twitter.com/FCUNDICI/status/797077756324540416
6a0a3474d8c5113c;bestmomonbord;2016-11-11 14:21;"@realDonaldTrump Thank the beastly media!";https://twitter.com/bestmomonbord/status/797066625107296261
6a0a3474d8c5113c;Hollister1218;2016-11-11 08:37;"@realDonaldTrump It would be cool to know a nobody like me can actually be heard from my next president , not by a reply but by action , thx";https://twitter.com/Hollister1218/status/796980205105664000
6a0a3474d8c5113c;Hollister1218;2016-11-11 08:24;"@realDonaldTrump by a thread , but feel hopeful you can turn things around . Proud american citizen . God Bless You Sir.";https://twitter.com/Hollister1218/status/796976946437652480
6a0a3474d8c5113c;Hollister1218;2016-11-11 08:23;"@realDonaldTrump This from a guy who has worked very hard his whole life , very , and now after irs stole 60,000.00 from me is hangin on";https://twitter.com/Hollister1218/status/796976663200415744
