place;username;date;text;permalink
6a0a3474d8c5113c;freddyortega10;2016-11-07 00:31;"@realDonaldTrump come get your mans https:// twitter.com/fmx_yt/status/ 795407260134608897 …";https://twitter.com/freddyortega10/status/795408200157818884
6a0a3474d8c5113c;ktheintz;2016-11-07 00:12;"@gravelmans1 @BizzyMarcus @JamilSmith @POTUS @realDonaldTrump yes, really. It is spelled 'emperor'; he's right and you're an idiot";https://twitter.com/ktheintz/status/795403618732085248
6a0a3474d8c5113c;bestmomonbord;2016-11-06 22:14;"@EricTrump @LaraLeaTrump @TrishIntel Eric, you should be proud. I think she did a great job stepping up for the family. @realDonaldTrump";https://twitter.com/bestmomonbord/status/795373892923781121
6a0a3474d8c5113c;jorayneethooo;2016-11-06 11:01;"Where @realDonaldTrump at tho pic.twitter.com/yFgfLSrys7";https://twitter.com/jorayneethooo/status/795204329850421248
6a0a3474d8c5113c;rodolfof1623;2016-11-06 02:59;"@ChristiChat @LindaSuhler @realDonaldTrump Yes, let's pray to Saint Michael to protect him as he surges onward to the White House!";https://twitter.com/rodolfof1623/status/795083150556860421
6a0a3474d8c5113c;BobBarnesdesk;2016-11-05 23:06;"@HajiHuntingGirl @seanhannity @megynkelly @oreillyfactor @HillaryClinton @realDonaldTrump @cnnbrk @FoxNews the Muslim brotherhood";https://twitter.com/BobBarnesdesk/status/795024474890502144
6a0a3474d8c5113c;bestmomonbord;2016-11-05 22:57;"@FoxNews @jmeacham @jebbush Trying to catch God & his angles will not give the bush's eternal life. @realDonaldTrump";https://twitter.com/bestmomonbord/status/795022193176494081
6a0a3474d8c5113c;carjack68;2016-11-05 15:31;"@realDonaldTrump @DonaldJTrumpJr @EricTrump @IvankaTrump @KellyannePolls I AM SO PROUD OF YOU GUYS! Make America great again! Yay! Praying!";https://twitter.com/carjack68/status/794910107851255809
6a0a3474d8c5113c;vnedit_;2016-11-05 09:24;"Is it just me or is @realDonaldTrump 's hair more yellow? @POTUS @HillaryClinton – Makes you wonder what else abt him is yellow @billmaher https:// twitter.com/cnn/status/794 701717258596352 …";https://twitter.com/vnedit_/status/794817538827816960
6a0a3474d8c5113c;BobMooreNews;2016-11-05 07:03;"Early voting in TX 3 largest border counties ( @realDonaldTrump "wall country") will be up at least 45% over 2012.";https://twitter.com/BobMooreNews/status/794782044093939712
