place;username;date;text;permalink
6e315e1f96e0450a;ManxMimzy;2016-11-14 16:43;"@HillaryClinton Please retire.";https://twitter.com/ManxMimzy/status/798189511729496064
6e315e1f96e0450a;Texaswritergirl;2016-11-14 00:11;"I still do love @HillaryClinton Thank you SNL https:// twitter.com/lawrence/statu s/797869150790107136 …";https://twitter.com/Texaswritergirl/status/797939879724224512
6e315e1f96e0450a;Phophia44;2016-11-13 22:01;"I guess @HillaryClinton and @POTUS both advocate violence or they would say something about the stupidity going on!";https://twitter.com/Phophia44/status/797907253688934400
6e315e1f96e0450a;Texican24;2016-11-12 17:51;"Hey #MSM Back in 2008, @HillaryClinton beat #Obama in #PopularVote ! Where were the protesters?! Outcry?! @CNN @ABC @MSNBC @CBSNews pic.twitter.com/zmE3a8A44D";https://twitter.com/Texican24/status/797482041415700480
6e315e1f96e0450a;exquisitepearl5;2016-11-12 03:31;"I'm going black on my profile until Dec.19th! I don't care, I want @HillaryClinton to be president I supported her in 2008 and 2016! ️";https://twitter.com/exquisitepearl5/status/797265585465921537
6e315e1f96e0450a;txgoodoldboy;2016-11-11 20:49;"Ok im done ! Hey @realDonaldTrump will appoint @HillaryClinton to ambassador to Libya ???";https://twitter.com/txgoodoldboy/status/797164370023378944
6e315e1f96e0450a;SpawnOfKimye_;2016-11-11 19:42;"@HillaryClinton we will no stop until you president! When we said #imwithher we meant it!";https://twitter.com/SpawnOfKimye_/status/797147478550257664
6e315e1f96e0450a;djhealy60;2016-11-11 17:12;"@HillaryClinton @mcuban we love you & it is so painful & scary. So confused. STUNNED. Now he consider Cruz for Justice: help us";https://twitter.com/djhealy60/status/797109763846840320
6e315e1f96e0450a;exquisitepearl5;2016-11-11 07:09;"@ArevaMartin & @LisaBloom is this the only hope anyway we can get @HillaryClinton to President! I can't take a Trump Presidency! pic.twitter.com/Hk5cvxludT";https://twitter.com/exquisitepearl5/status/796958087823454208
6e315e1f96e0450a;bicuriouslybi;2016-11-11 00:19;"RT please! #imwithher @HillaryClinton #notmypresident @realDonaldTrump #signthepetiction @RickyRoman91 @willwikle pic.twitter.com/Th9mdFTrLk";https://twitter.com/bicuriouslybi/status/796854797529923584
6e315e1f96e0450a;bicuriouslybi;2016-11-10 20:43;"RT please! #imwithher @HillaryClinton #notmypresident @realDonaldTrump #signthepetiction @RickyRoman91 @willwikle pic.twitter.com/USSKGNg6Am";https://twitter.com/bicuriouslybi/status/796800349206118400
