place;username;date;text;permalink
6e315e1f96e0450a;RDTexan;2016-11-06 23:41;"@HillaryClinton @repjohnlewis And you won't change a thing, criminal.";https://twitter.com/RDTexan/status/795395597020893184
6e315e1f96e0450a;exquisitepearl5;2016-11-06 22:05;"Now if @HillaryClinton don't win, it's going to be rigged for REAL! https:// twitter.com/teddydaviscnn/ status/795371193218060288 …";https://twitter.com/exquisitepearl5/status/795371677051977728
6e315e1f96e0450a;Paleoturkey;2016-11-06 16:11;"@CarmineZozzora @realDonaldTrump @HillaryClinton Looks like she wants to go to hell for lying and stealing.";https://twitter.com/Paleoturkey/status/795282526092853248
6e315e1f96e0450a;exquisitepearl5;2016-11-06 05:33;"@MMFlint thank you so much for TrumpLand, I loved @HillaryClinton for a long time but I got really emotional, she is everything! #ImWithHer";https://twitter.com/exquisitepearl5/status/795121954583932928
6e315e1f96e0450a;Paleoturkey;2016-11-05 21:51;"@tamaraleighllc @LeahR77 @realDonaldTrump @HillaryClinton @CodeAud How much did this cost the Clinton Campaign to make?";https://twitter.com/Paleoturkey/status/795005735184830465
6e315e1f96e0450a;txgoodoldboy;2016-11-05 20:57;"@HillaryClinton even better than my stretch Armstrong. Damn I jest dated myself";https://twitter.com/txgoodoldboy/status/794992100601397248
6e315e1f96e0450a;txgoodoldboy;2016-11-05 20:55;"@HillaryClinton in Handcuffs would be the best present for Christmas ever !!!";https://twitter.com/txgoodoldboy/status/794991617929281536
6e315e1f96e0450a;Paleoturkey;2016-11-05 20:00;"@Cernovich @JackPosobiec @FoxNews @HillaryClinton She was shit faced on 9/11 that's why she couldn't walk.";https://twitter.com/Paleoturkey/status/794977708832866304
6e315e1f96e0450a;Paleoturkey;2016-11-05 19:40;"@Janetlarose1 @realDonaldTrump @mcuban @HillaryClinton We know what kind of Man Marc Cuban is he even uses a fake name.";https://twitter.com/Paleoturkey/status/794972593870766081
6e315e1f96e0450a;Paleoturkey;2016-11-05 19:19;"@JackPosobiec @FoxNews @HillaryClinton God cut her off. But I changed channels first.";https://twitter.com/Paleoturkey/status/794967319642603521
6e315e1f96e0450a;CandiceQuarles;2016-11-05 17:36;"8 yrs ago @friendshipwest watch party electing @BarackObama ! Can't wait to make @HillaryClinton our Prez on Tues,my 35th Bday! @fhunscripted pic.twitter.com/uaXJZ9J90k";https://twitter.com/CandiceQuarles/status/794941542259707909
6e315e1f96e0450a;HopeRipple1;2016-11-05 17:02;"He "sorta" does it on purpose. @realDonaldTrump @HillaryClinton @now7grandkids";https://twitter.com/HopeRipple1/status/794933024689360896
6e315e1f96e0450a;Paleoturkey;2016-11-05 15:40;"@WDFx2EU8 @lightlady @davidbrockdc @CorrectRecord @HillaryClinton Welcome Back";https://twitter.com/Paleoturkey/status/794912348687441920
6e315e1f96e0450a;txgoodoldboy;2016-11-05 10:56;"#RememberWhenTrump won the 2016 election and put @HillaryClinton in jail where she belongs !!! Oh that's Tuesday!!!!";https://twitter.com/txgoodoldboy/status/794840803990507520
6e315e1f96e0450a;txgoodoldboy;2016-11-05 10:53;"Will always be smarter than @HillaryClinton and none of his #'s didnt backfire #RememberWhenTrump";https://twitter.com/txgoodoldboy/status/794839994020102144
6e315e1f96e0450a;txgoodoldboy;2016-11-05 10:50;"Had nothing to do with child sex trafficking or #SpriteCooking like @HillaryClinton and @johnpodesta #RememberWhenTrump";https://twitter.com/txgoodoldboy/status/794839198171877376
6e315e1f96e0450a;MSGHR2010;2016-11-05 03:44;"@BeauLaVergne @cainfam22 @RiggedDebate @HillaryClinton Haha no he doesn't. No case.";https://twitter.com/MSGHR2010/status/794732180735979520
6e315e1f96e0450a;77IceDog;2016-11-04 22:30;"How's the comedy routine going @POTUS , @HillaryClinton @timkaine , @billclinton , @JoeBiden and RIP Robert KKK Byrd. Trump racist, HRC?";https://twitter.com/77IceDog/status/794652951751049216
6e315e1f96e0450a;TamaraK62060218;2016-11-04 20:17;"Yes we did! @HillaryClinton all the way! #ImWithHer #Hillary2016 pic.twitter.com/1jppJ1BTTA";https://twitter.com/TamaraK62060218/status/794619533831053313
6e315e1f96e0450a;MarkALiberto;2016-11-04 13:54;"@John_Connor2050 @sioxielegend @FoxNews @HillaryClinton @BarackObama you must be a child molester too.";https://twitter.com/MarkALiberto/status/794523261774106624
6e315e1f96e0450a;MarkALiberto;2016-11-04 13:53;"@seanmichael2007 @sioxielegend @John_Connor2050 @FoxNews @HillaryClinton @BarackObama U need to get your facts straight.";https://twitter.com/MarkALiberto/status/794522940419100672
6e315e1f96e0450a;MarkALiberto;2016-11-04 13:51;"@AndrewMinDC @FoxNews @HillaryClinton @BarackObama you are unhinged if you vote for lying cheating Short Circuit psycho Hillary.";https://twitter.com/MarkALiberto/status/794522456610328576
6e315e1f96e0450a;MarkALiberto;2016-11-04 13:50;"@conservatismtlk @FoxNews @HillaryClinton But you think lying Hillary has that temperament you are a dumbass.";https://twitter.com/MarkALiberto/status/794522253572456449
6e315e1f96e0450a;MarkALiberto;2016-11-04 13:48;"@John_Connor2050 @FoxNews @HillaryClinton @BarackObama We have a winner of the dumbass award anyone that would vote for lying hillary.";https://twitter.com/MarkALiberto/status/794521750398566400
6e315e1f96e0450a;rhonda0859;2016-11-04 05:13;"To all you @realDonaldTrump supporters. Imagine waking up next Wed. With this numb nuts our Pres. @HillaryClinton https:// twitter.com/votehillary201 6/status/794390703530917889 …";https://twitter.com/rhonda0859/status/794392148422467584
6e315e1f96e0450a;kylerbry;2016-11-04 04:30;"@TeamTrump @HillaryClinton this kid should have known better apparently they found reason to prosecute -";https://twitter.com/kylerbry/status/794381353676455936
6e315e1f96e0450a;mahboobehkhosh;2016-11-04 02:22;"@attackerman @MaddowBlog @maddow @FBI @HillaryClinton @guardian wow! Great reporting!";https://twitter.com/mahboobehkhosh/status/794349089492176896
6e315e1f96e0450a;Texican24;2016-11-04 01:55;"NEWS : @HillaryClinton 's campaign bus has been overturned by the #Weiner mobile. Everyone is safe...only the tip was hurt! #DikiLeaks pic.twitter.com/EaPeuqFnTR";https://twitter.com/Texican24/status/794342207901663232
6e315e1f96e0450a;Bill1812;2016-11-04 00:34;"@HillaryClinton @Cubs More history will be made on Nov. 8, 2016!!";https://twitter.com/Bill1812/status/794321929129734144
6e315e1f96e0450a;jofoxy;2016-11-03 23:22;"Will never vote for @HillaryClinton #iamnotwithher";https://twitter.com/jofoxy/status/794303738382991361
6e315e1f96e0450a;Texican24;2016-11-03 20:21;"Remember when @HillaryClinton denied @FBI investigation abt her foundation...Oops! Security inquiry really?! https:// youtu.be/3xP162Bqnlg";https://twitter.com/Texican24/status/794258116204314624
6e315e1f96e0450a;MSGHR2010;2016-11-03 18:53;"@youngdeplorable @HillaryClinton Will she use her health as an excuse for lenient treatment? Will her doctor lose her medical license for lying if she does try it?";https://twitter.com/MSGHR2010/status/794236019373535232
6e315e1f96e0450a;exquisitepearl5;2016-11-03 18:02;"@HillaryClinton was right congrats to the Cubs! pic.twitter.com/vtMcBeW3rd";https://twitter.com/exquisitepearl5/status/794223189672853504
6e315e1f96e0450a;Paleoturkey;2016-11-03 15:22;"@Thinker7721 @FBI @NewYorkFBI @HillaryClinton Smoking gun stuff.";https://twitter.com/Paleoturkey/status/794182901008973826
6e315e1f96e0450a;Texican24;2016-11-03 14:26;"Why is the @TheJusticeDept blocking the @FBI investigation of @HillaryClinton ? What is AG #LorettaLynch trying to hide? @CNN @MSNBC #Corrupt";https://twitter.com/Texican24/status/794168783766073344
6e315e1f96e0450a;Texican24;2016-11-03 13:21;". @HillaryClinton is goin down!!! #WikiLeaks docs challenges her in court SWORN statement! Who's to blame? #HilLIARy ! http:// circa.com/politics/elect ion-2016/wikileaks-document-challenges-hillary-clintons-veracity-in-sworn-court-statement …";https://twitter.com/Texican24/status/794152633942450176
6e315e1f96e0450a;Texican24;2016-11-03 12:57;"Flipped to @CNN & @MSNBC to see their election coverage. They are @PANIC mode that @HillaryClinton is crashing! Full Anti-Trump stories! pic.twitter.com/jdv5fpWZgM";https://twitter.com/Texican24/status/794146487923970048
6e315e1f96e0450a;Texican24;2016-11-03 12:41;"NEWS : @FBI Sources Tell @FoxNews An "Indictment Is Likely" In #ClintonFoundation Case @HillaryClinton @billclinton http://www. realclearpolitics.com/video/2016/11/ 02/fbi_sources_tell_fox_news_indictment_likely_in_clinton_foundation_case.html …";https://twitter.com/Texican24/status/794142420287963136
6e315e1f96e0450a;MSGHR2010;2016-11-03 00:41;"@Jonesie1967 @HillaryClinton NO! Save your money.";https://twitter.com/MSGHR2010/status/793961268864393216
6e315e1f96e0450a;77IceDog;2016-11-03 00:31;"@EricBoehlert Busted & I love it. If Comey had done his job in the first place & actually gone with real decision @HillaryClinton would have burned by now";https://twitter.com/77IceDog/status/793958794778681345
6e315e1f96e0450a;77IceDog;2016-11-03 00:09;"@ehalliday07 @MeetThePress @KellyannePolls @HillaryClinton You get you lies from a few people & you think it's the truth. From Hillary. Hope not. Wikileaks just crosses the T's & dots the I's. FOIA";https://twitter.com/77IceDog/status/793953218715734016
6e315e1f96e0450a;Texican24;2016-11-02 22:47;"Fmr @FBI Asst Director compares the #Clintons to a "crime family"! WOW! #KellyFile @HillaryClinton @billclinton #DNC https:// youtu.be/lDsvnQg3n1Q";https://twitter.com/Texican24/status/793932640457887745
6e315e1f96e0450a;92LSC;2016-11-02 22:26;"@ScottNC24 @TheBoxThatRoxx @FadedMemories2 I'd trust Al Capone more than I'd trust @HillaryClinton .";https://twitter.com/92LSC/status/793927176584167424
6e315e1f96e0450a;jofoxy;2016-11-02 21:53;"How do you sleep at night? @HillaryClinton #hillaryisthedevil";https://twitter.com/jofoxy/status/793918976820510720
6e315e1f96e0450a;jofoxy;2016-11-02 21:03;"HRC says I need an intervention. I am a middle age, white, female with a college education and I am not voting for you @HillaryClinton";https://twitter.com/jofoxy/status/793906401294721024
6e315e1f96e0450a;txgoodoldboy;2016-11-02 20:50;"@RAMrants @LisaBloom check my last post about #weiners computer and @HillaryClinton child sex ring and what the @NYPD is threatening!!!!";https://twitter.com/txgoodoldboy/status/793903042118623232
6e315e1f96e0450a;txgoodoldboy;2016-11-02 20:41;"Wow this is got really ugly for @HillaryClinton You have to see this its only 7mins https:// youtu.be/WLAe3UeddUI";https://twitter.com/txgoodoldboy/status/793900747297464320
6e315e1f96e0450a;RDTexan;2016-11-02 19:51;"@HillaryClinton she might kill me if I'm not.";https://twitter.com/RDTexan/status/793888355196948480
6e315e1f96e0450a;thriftymaven;2016-11-02 19:00;"@hillaryclinton being the first lady is an ACHIEVEMENT???? I think you are a very accomplished gangster #CrookedHillary";https://twitter.com/thriftymaven/status/793875318285053952
6e315e1f96e0450a;77IceDog;2016-11-02 18:42;"Election Officials predict multiple OH precincts won't yield a single vote for @realDonaldTrump . Rigged with prediction for @HillaryClinton ?";https://twitter.com/77IceDog/status/793871036924125184
6e315e1f96e0450a;77IceDog;2016-11-02 18:38;"@HillaryClinton has people like JayZ concert & endorses her. The x-crack dealer's lyrics promote all the things she blames Trump for. Sad.";https://twitter.com/77IceDog/status/793869979720429569
6e315e1f96e0450a;thriftymaven;2016-11-02 17:23;"Will @hillaryclinton denounce this #RACIST Democratic Donor Blacks Are “Seriously F***ed in The Head” http:// projectveritasaction.com/Ross";https://twitter.com/thriftymaven/status/793851029850763264
6e315e1f96e0450a;Texican24;2016-11-02 15:05;"Birds of a feather, flock together! That's @HillaryClinton & @billclinton ...and he lost his law license too. BOOM! #Impeached #Millennials pic.twitter.com/Lc30KpVAjV";https://twitter.com/Texican24/status/793816251646693376
6e315e1f96e0450a;RDTexan;2016-11-02 13:00;"@HillaryClinton Now you resort to "against" attacks, because you yourself are so deplorable! You have lost @HillaryClinton ! @realDonaldTrump has owned you";https://twitter.com/RDTexan/status/793784912998305792
6e315e1f96e0450a;77IceDog;2016-11-02 06:55;"@BernieSanders @denverpost She may have baited you once in order to Win but you think you'd get any say so IF @HillaryClinton wins Pennsylvania Ave?";https://twitter.com/77IceDog/status/793692971052826624
6e315e1f96e0450a;77IceDog;2016-11-02 06:12;"@tbonier are you kidding me? You are perpetuating a lie like 28% of Republicans are defecting from @realDonaldTrump in FL to @HillaryClinton";https://twitter.com/77IceDog/status/793682061072539648
6e315e1f96e0450a;quickdrawshirts;2016-11-02 05:31;"@seanhannity You know @HillaryClinton dad was a small business owner specializing in drapes... Apparently, LARGE COVERUPS runs in the fam. pic.twitter.com/mGXppQh1rR";https://twitter.com/quickdrawshirts/status/793671791294029825
6e315e1f96e0450a;TamaraK62060218;2016-11-02 03:30;"@HillaryClinton good news! Keep strong #StrongerTogether #imwithher2016 #LoveTrumpsHate https:// twitter.com/kylegriffin1/s tatus/793639834652901380 …";https://twitter.com/TamaraK62060218/status/793641506963791872
6e315e1f96e0450a;7609Kimmie;2016-11-02 02:38;"@Lawrence @HillaryClinton @TheLastWord Cannot wait!";https://twitter.com/7609Kimmie/status/793628420747907073
6e315e1f96e0450a;TamaraK62060218;2016-11-01 22:22;"@POTUS @HillaryClinton when will you do something to stop this!!?? https:// twitter.com/CNN/status/793 536781924888576 …";https://twitter.com/TamaraK62060218/status/793563928894636033
6e315e1f96e0450a;77IceDog;2016-11-01 22:14;"@POTUS @HillaryClinton Joke! Did she get help from Donna Brazile?";https://twitter.com/77IceDog/status/793561806421626880
6e315e1f96e0450a;MSGHR2010;2016-11-01 21:58;"@mitchellvii @HillaryClinton Crazy Lizzy Warren did the same.";https://twitter.com/MSGHR2010/status/793557748474519552
6e315e1f96e0450a;txgoodoldboy;2016-11-01 21:04;"@HillaryClinton I think you miss spoke (for all the power)";https://twitter.com/txgoodoldboy/status/793544375464628227
