place;username;date;text;permalink
6e315e1f96e0450a;thriftymaven;2016-11-14 22:42;"@realDonaldTrump You're not even in office and Americans are already winning.";https://twitter.com/thriftymaven/status/798279956610617344
6e315e1f96e0450a;TamaraK62060218;2016-11-14 18:17;"@realDonaldTrump you did this!!! https:// twitter.com/YosefRapaport/ status/798185033144078336 …";https://twitter.com/TamaraK62060218/status/798213174621335552
6e315e1f96e0450a;TamaraK62060218;2016-11-14 18:15;"Disgusting, Deplorable @realDonaldTrump you did this!!! https:// twitter.com/SubodhChandra/ status/798190007668248577 …";https://twitter.com/TamaraK62060218/status/798212820160696327
6e315e1f96e0450a;ManxMimzy;2016-11-14 16:40;"@realDonaldTrump As promised, after you are in office you have to have Hillary investigated. You donot need to put in jail but investigated.";https://twitter.com/ManxMimzy/status/798188907586142208
6e315e1f96e0450a;TamaraK62060218;2016-11-14 15:15;"You may want to replay your own interviews @realDonaldTrump . https:// twitter.com/realDonaldTrum p/status/797832229800050688 …";https://twitter.com/TamaraK62060218/status/798167476815228928
6e315e1f96e0450a;ABothmann;2016-11-14 14:28;"@realDonaldTrump says he will not take a salary as President. if he actually does this. #creditwheredue";https://twitter.com/ABothmann/status/798155757661384704
6e315e1f96e0450a;Debbie31593462;2016-11-14 02:44;"@CBSNews @LesleyRStahl @realDonaldTrump He's scared shitless! And he should b. The protests r nothing compared 2 what his supporters will do";https://twitter.com/Debbie31593462/status/797978540650221568
6e315e1f96e0450a;Debbie31593462;2016-11-13 22:40;"@realDonaldTrump U lost all the debates. U won because u spewed hatred and lies 2 #lowinformationvoters U r demented & DEPLORABLE!";https://twitter.com/Debbie31593462/status/797917036819058689
6e315e1f96e0450a;mmcwsinc;2016-11-13 21:37;"@TexDolly @RealKidPoker @brianchastings @realDonaldTrump my tweet for the 1st Sunday after. GOD BLESS AMERICA. "I think he just did."";https://twitter.com/mmcwsinc/status/797901301510082561
6e315e1f96e0450a;Paleoturkey;2016-11-13 20:46;"@Jesse_sDad @realDonaldTrump @CNN @CNNPolitics Paul Ryan needs to shut his pie hole.";https://twitter.com/Paleoturkey/status/797888263814053889
6e315e1f96e0450a;TamaraK62060218;2016-11-13 20:31;"@realDonaldTrump where you on Veterans Day?My father and brothers fought and died in defense of the country you now "run". Shame on you";https://twitter.com/TamaraK62060218/status/797884587250696192
6e315e1f96e0450a;pastordevin;2016-11-13 19:45;"SIGN: Stand in solidarity against @realDonaldTrump 's agenda of fascism, racism, sexism & xenophobia. http:// bit.ly/2fDYP5w #ElectionDay";https://twitter.com/pastordevin/status/797873010094968833
6e315e1f96e0450a;Debbie31593462;2016-11-13 18:29;"@realDonaldTrump @nytimes Times was spot on in there coverage & shouldn't have written the letter. DJT is everything they said. DEPLORABLE";https://twitter.com/Debbie31593462/status/797853970559549440
6e315e1f96e0450a;Debbie31593462;2016-11-13 18:18;"@realDonaldTrump @nytimes Only in your demented dreams, Donald. You will soon be impeached...fraud...racketeering. #NotMyPresident";https://twitter.com/Debbie31593462/status/797851085415313408
6e315e1f96e0450a;Debbie31593462;2016-11-13 18:16;"@nytimes Yes, he did! I wonder if @realDonaldTrump has dementia? Med letter he showed us was from scam Dr. Donald is #NotMyPresident CONMAN";https://twitter.com/Debbie31593462/status/797850559948718085
6e315e1f96e0450a;Paleoturkey;2016-11-13 17:37;"@realDonaldTrump @WDFx2EU8 https:// twitter.com/webfaceofficia l/status/797838666353803264 …";https://twitter.com/Paleoturkey/status/797840701761396736
6e315e1f96e0450a;omniscientsan;2016-11-13 17:10;"@SwiftsKing @apfugle @realDonaldTrump @nytimes #ROASTED";https://twitter.com/omniscientsan/status/797833970826223616
6e315e1f96e0450a;omniscientsan;2016-11-13 17:04;"@SwiftsKing @realDonaldTrump @nytimes deport yourself insecure thotic hoe";https://twitter.com/omniscientsan/status/797832494037008389
6e315e1f96e0450a;omniscientsan;2016-11-13 17:03;"@realDonaldTrump @nytimes just buy @nytimes";https://twitter.com/omniscientsan/status/797832376571269120
6e315e1f96e0450a;omniscientsan;2016-11-13 16:53;"@Snowden @realDonaldTrump will make Mexico pay for it.";https://twitter.com/omniscientsan/status/797829731131465728
6e315e1f96e0450a;phenhamm;2016-11-13 15:01;"President-elect @realDonaldTrump & VP-elect @mike_pence , please know I'm praying for you both to walk humbly w God, love mercy & act justly.";https://twitter.com/phenhamm/status/797801457517002752
6e315e1f96e0450a;MeiRoyalPanda;2016-11-13 12:00;"@realDonaldTrump @MikePenceVP I would like to see @Franklin_Graham obtain a role in the Trump Administration. pic.twitter.com/ykLZEgn0jI";https://twitter.com/MeiRoyalPanda/status/797756008995188736
6e315e1f96e0450a;MBowden23;2016-11-13 05:55;"@Evan_McMullin @realDonaldTrump @WSJ you mean the fake resistance that is armed by American /Saudi funds and weapons?";https://twitter.com/MBowden23/status/797664056928849920
6e315e1f96e0450a;omniscientsan;2016-11-13 05:31;"@Dory @realDonaldTrump pic.twitter.com/18wuHiF4FZ";https://twitter.com/omniscientsan/status/797658108940210176
6e315e1f96e0450a;henrydbradford1;2016-11-13 05:19;"@CoachSumlin "you're fired" - @realDonaldTrump";https://twitter.com/henrydbradford1/status/797654982958972928
6e315e1f96e0450a;jonathan3674;2016-11-13 00:05;"@realDonaldTrump R U goin to have camps set up in parts of america where people who dont look like U will go to work and not get paid?";https://twitter.com/jonathan3674/status/797575991749132288
6e315e1f96e0450a;jonathan3674;2016-11-13 00:01;"@realDonaldTrump are you fucking moron? You brought these protests upon Yourself. Fascism/Racism Is not going to win AMERICA OVER";https://twitter.com/jonathan3674/status/797574978707345408
6e315e1f96e0450a;rwhitenight0648;2016-11-12 23:08;"@pmbasse @FoxNews @realDonaldTrump Did you notice that he didn't say Donald J Trump's name?";https://twitter.com/rwhitenight0648/status/797561830440914945
6e315e1f96e0450a;Debbie31593462;2016-11-12 22:28;"@davidfrum @JoyAnnReid NO, they don't. @realDonaldTrump is the sexist, racist, bigoted, xenophobic, lying conman he has shown.";https://twitter.com/Debbie31593462/status/797551564995100674
6e315e1f96e0450a;LadyofWolves;2016-11-12 21:13;"@RogerJStoneJr @DavidRomeiPHD @Reince @realDonaldTrump First intelligent thing this idiot has said in 18 months";https://twitter.com/LadyofWolves/status/797532783132418049
