place;username;date;text;permalink
6e315e1f96e0450a;MSGHR2010;2016-11-06 21:52;"@Peaveygrl @FoxNews @0hour @WLTaskForce @wikileaks @TGowdySC @jasoninthehouse @realDonaldTrump @StevePieczenik Going to have to lock him up2";https://twitter.com/MSGHR2010/status/795368167002542080
6e315e1f96e0450a;Paleoturkey;2016-11-06 16:11;"@CarmineZozzora @realDonaldTrump @HillaryClinton Looks like she wants to go to hell for lying and stealing.";https://twitter.com/Paleoturkey/status/795282526092853248
6e315e1f96e0450a;jonathan3674;2016-11-06 04:26;"Great nostradamus Predicted the 3rd Antichrist is madbus which is actually meaning MADBOSS @realDonaldTrump ... FUCK WE ARE SCREWED!!!";https://twitter.com/jonathan3674/status/795105122351194112
6e315e1f96e0450a;HopeRipple1;2016-11-06 04:00;"haha @ColMorrisDavis @LollyVerbana @realDonaldTrump";https://twitter.com/HopeRipple1/status/795098456994041859
6e315e1f96e0450a;MSGHR2010;2016-11-06 03:27;"@KaitlynCarney_ @AngPiazza @realDonaldTrump @KellyannePolls @megynkelly @seanhannity @rushlimbaugh @FoxNews @HumaAbedin Sounds fake.";https://twitter.com/MSGHR2010/status/795090096420753408
6e315e1f96e0450a;HopeRipple1;2016-11-06 03:05;"Not surprising. Trump is a bully and a thug and a mafioso. @peterdaou @realDonaldTrump";https://twitter.com/HopeRipple1/status/795084665262641156
6e315e1f96e0450a;Paleoturkey;2016-11-05 21:51;"@tamaraleighllc @LeahR77 @realDonaldTrump @HillaryClinton @CodeAud How much did this cost the Clinton Campaign to make?";https://twitter.com/Paleoturkey/status/795005735184830465
6e315e1f96e0450a;Paleoturkey;2016-11-05 19:40;"@Janetlarose1 @realDonaldTrump @mcuban @HillaryClinton We know what kind of Man Marc Cuban is he even uses a fake name.";https://twitter.com/Paleoturkey/status/794972593870766081
6e315e1f96e0450a;Powered_Face;2016-11-05 19:09;"@Trump_Nation16 @HorseShort @MrEdTrain @mark_markac60 @realDonaldTrump @mike_pence @Nitegammer_ @gordon_delima @Italians4Trump pic.twitter.com/TpnGYE3rhI";https://twitter.com/Powered_Face/status/794964809175404544
6e315e1f96e0450a;HopeRipple1;2016-11-05 17:07;"I chuckled yesterday to hear that @realDonaldTrump was having a rally at... a NASCAR event! Oh Lordy!";https://twitter.com/HopeRipple1/status/794934224948264964
6e315e1f96e0450a;HopeRipple1;2016-11-05 17:02;"He "sorta" does it on purpose. @realDonaldTrump @HillaryClinton @now7grandkids";https://twitter.com/HopeRipple1/status/794933024689360896
6e315e1f96e0450a;HopeRipple1;2016-11-05 16:41;"Like it was yesterday! @realDonaldTrump @wikileaks @FBI @VABVOX @tobyjack";https://twitter.com/HopeRipple1/status/794927622794973184
6e315e1f96e0450a;ivaancortez_;2016-11-05 05:46;"@BernieSanders @realDonaldTrump please remind him";https://twitter.com/ivaancortez_/status/794762876305231872
6e315e1f96e0450a;txgoodoldboy;2016-11-04 21:04;"@TGowdySC I really think you need to be the new AG of the USA. When @realDonaldTrump wins !";https://twitter.com/txgoodoldboy/status/794631503468777473
6e315e1f96e0450a;TamaraK62060218;2016-11-04 20:00;"Good Lord @realDonaldTrump all you can do is lie to stir up fear. Its ALL YOU GOT!! https:// twitter.com/realDonaldTrum p/status/794614251709169664 …";https://twitter.com/TamaraK62060218/status/794615385987411970
6e315e1f96e0450a;MSGHR2010;2016-11-04 19:50;"@jackbgoode1 @DonaldTrumpVote @USFreedomArmy @karennola719 @Jnbarke @realDonaldTrump And we dip our bullets in pigs blood!!";https://twitter.com/MSGHR2010/status/794612774202535936
6e315e1f96e0450a;MSGHR2010;2016-11-04 14:11;"@starknightz @wikileaks @realDonaldTrump @DanScavino It was released yesterday at 4. #PodestaEmails28 Sick pedophile sex ring stuff.";https://twitter.com/MSGHR2010/status/794527588379148288
6e315e1f96e0450a;PaulERainwater;2016-11-04 05:56;"@realDonaldTrump stay on point Donald don't grab Pussy";https://twitter.com/PaulERainwater/status/794402831264452608
6e315e1f96e0450a;rhonda0859;2016-11-04 05:13;"To all you @realDonaldTrump supporters. Imagine waking up next Wed. With this numb nuts our Pres. @HillaryClinton https:// twitter.com/votehillary201 6/status/794390703530917889 …";https://twitter.com/rhonda0859/status/794392148422467584
6e315e1f96e0450a;77IceDog;2016-11-04 02:37;"@megynkelly @GovMikeHuckabee Gov Mike, you make sense of all that is crazy & crazy it isn't, I voted @realDonaldTrump & not the prisoner, Grump.";https://twitter.com/77IceDog/status/794352731599343617
6e315e1f96e0450a;who_lee_uh;2016-11-03 19:50;"Can't wait for @realDonaldTrump to kick me out of the country";https://twitter.com/who_lee_uh/status/794250294024540164
6e315e1f96e0450a;Miss_JaneDoe1;2016-11-03 18:23;"@Blob_Fish @realDonaldTrump coming from a dude who got scared and blocked me. #crybaby";https://twitter.com/Miss_JaneDoe1/status/794228468443557888
6e315e1f96e0450a;Miss_JaneDoe1;2016-11-03 17:53;"@Blob_Fish @realDonaldTrump Seth Meyers from SNL?...HAHAHAHA #PLEASE";https://twitter.com/Miss_JaneDoe1/status/794220903529725952
6e315e1f96e0450a;Miss_JaneDoe1;2016-11-03 17:49;"@krsmith_84 @realDonaldTrump delete yours.";https://twitter.com/Miss_JaneDoe1/status/794219911526518784
6e315e1f96e0450a;Miss_JaneDoe1;2016-11-03 17:48;"@nathanTbernard @realDonaldTrump so you follow him just to make comments?";https://twitter.com/Miss_JaneDoe1/status/794219639081345024
6e315e1f96e0450a;Paleoturkey;2016-11-03 17:17;"@realDonaldTrump https:// twitter.com/jasonmillerind c/status/794165583176679424 …";https://twitter.com/Paleoturkey/status/794211836660830208
6e315e1f96e0450a;Paleoturkey;2016-11-03 16:42;"@Justified_Not @SandyHermannJ @realDonaldTrump @TheZullinator My mother is dead, sadly, if she votes it will be for Hillary.";https://twitter.com/Paleoturkey/status/794203157312045056
6e315e1f96e0450a;Paleoturkey;2016-11-03 14:26;"@KellyannePolls @USAHipster @MajorCBS @CBSEveningNews @realDonaldTrump Trying to explain the coming landslide victory of Donald Trump?";https://twitter.com/Paleoturkey/status/794168943128625152
6e315e1f96e0450a;TamaraK62060218;2016-11-03 06:02;"@realDonaldTrump you got the KKK on your side. I dont know how any true American can vote for you. I guess you dont dislike all Jews?";https://twitter.com/TamaraK62060218/status/794042032457011200
6e315e1f96e0450a;brandy_lawless;2016-11-03 05:06;"@realDonaldTrump pic.twitter.com/obgyx7Dkjg";https://twitter.com/brandy_lawless/status/794028012433850369
6e315e1f96e0450a;Safayi;2016-11-02 22:16;"What do y'all say? For shits and giggles? @realDonaldTrump #vote #VotingPlan #VoteYourPower pic.twitter.com/nopMvx5IJA";https://twitter.com/Safayi/status/793924886116724736
6e315e1f96e0450a;77IceDog;2016-11-02 18:42;"Election Officials predict multiple OH precincts won't yield a single vote for @realDonaldTrump . Rigged with prediction for @HillaryClinton ?";https://twitter.com/77IceDog/status/793871036924125184
6e315e1f96e0450a;TamaraK62060218;2016-11-02 17:31;"@JohnCornyn maybe this is the reason you voted for @realDonaldTrump https:// twitter.com/ChrisJZullo/st atus/793831650509586433 …";https://twitter.com/TamaraK62060218/status/793853070744530945
6e315e1f96e0450a;TamaraK62060218;2016-11-02 17:30;"@JohnCornyn is this the reason you voted for @realDonaldTrump !? Need more mob $ in Texas?? https:// twitter.com/thehill/status /793852188258885637 …";https://twitter.com/TamaraK62060218/status/793852677784375300
6e315e1f96e0450a;RDTexan;2016-11-02 13:00;"@HillaryClinton Now you resort to "against" attacks, because you yourself are so deplorable! You have lost @HillaryClinton ! @realDonaldTrump has owned you";https://twitter.com/RDTexan/status/793784912998305792
6e315e1f96e0450a;77IceDog;2016-11-02 06:12;"@tbonier are you kidding me? You are perpetuating a lie like 28% of Republicans are defecting from @realDonaldTrump in FL to @HillaryClinton";https://twitter.com/77IceDog/status/793682061072539648
6e315e1f96e0450a;77IceDog;2016-11-02 02:54;"@Reince thank you so much for your hardline dedication to Our Nominee. It makes me proud and that @realDonaldTrump brought me back to voting";https://twitter.com/77IceDog/status/793632371492782080
6e315e1f96e0450a;TamaraK62060218;2016-11-02 02:19;"@realDonaldTrump horrible!!! Just listen to eveything you've said in past. Those things alone could find you guilty. https:// twitter.com/ScottNevins/st atus/793603065022517248 …";https://twitter.com/TamaraK62060218/status/793623545557295104
6e315e1f96e0450a;Bill1812;2016-11-02 02:03;"@SandaBlue @realDonaldTrump Somebody else is in for a screwing!!";https://twitter.com/Bill1812/status/793619622603874310
6e315e1f96e0450a;LadyofWolves;2016-11-01 23:38;"@chefjoseandres @dailykos @realDonaldTrump Makkke Amerikkka White Again";https://twitter.com/LadyofWolves/status/793582904781647872
6e315e1f96e0450a;TamaraK62060218;2016-11-01 23:21;"@GregAbbott_TX why do you have a problem with this but no problem with @realDonaldTrump ??!! Hypocrite!! #TURNTEXASBLUE https:// twitter.com/PatrickSvitek/ status/793570555689447424 …";https://twitter.com/TamaraK62060218/status/793578791624773637
6e315e1f96e0450a;txgoodoldboy;2016-11-01 22:13;"@realDonaldTrump @TXChiks4Trump Who cares your going to beat her so bad it will never matter !! PRESIDENT TRUMP . Has a great ring to it !!!!";https://twitter.com/txgoodoldboy/status/793561711550705664
6e315e1f96e0450a;77IceDog;2016-11-01 22:04;"I have re-Republicanized energized by @realDonaldTrump . Debunked stories about the women & his vision brought me back. No more of status quo";https://twitter.com/77IceDog/status/793559432244310016
