place;username;date;text;permalink
7d62cffe6f98f349;terracotta05;2016-11-12 19:42;"@Txwench @DFSSweets @HillaryClinton @georgesoros @jasoninthehouse @MayorRGiuliani Seriously these2thugs can share a prison cell.WHERE's ? pic.twitter.com/QlhFLMTbxO";https://twitter.com/terracotta05/status/797509995285745664
7d62cffe6f98f349;SFBayAreaGirl;2016-11-12 03:57;"@just_jenna @HillaryClinton And #DearHillary , You deserved to win. U also deserved those thous roses. xoxo, Huge @HillaryClinton Supporter.";https://twitter.com/SFBayAreaGirl/status/797272100709011456
7d62cffe6f98f349;NightFloyd;2016-11-11 11:50;"@HillaryClinton @GiGiHadid People lost to electoral votes! not to nation's vote dear GIGI!";https://twitter.com/NightFloyd/status/797028603489873920
7d62cffe6f98f349;Pinkhatrunner1;2016-11-10 19:00;"@HillaryClinton I'm so sorry. We have failed you. #indecision2016";https://twitter.com/Pinkhatrunner1/status/796774488020922368
7d62cffe6f98f349;Olmsteadio;2016-11-10 18:53;"@HillaryClinton I've been thinking about all the "thank you's" I want to say to you and there are too many to count.";https://twitter.com/Olmsteadio/status/796772789415874560
7d62cffe6f98f349;SpincitySD;2016-11-10 18:43;"@HillaryClinton Not on my watch. Not now, not ever. #NotMyPresident";https://twitter.com/SpincitySD/status/796770304102043648
7d62cffe6f98f349;Darrell_____;2016-11-10 17:54;"The message to little girls was just for browny points during @HillaryClinton concession speech. Why wait 'til you lost to say that?";https://twitter.com/Darrell_____/status/796757880590385152
7d62cffe6f98f349;argentinaleyva;2016-11-10 05:53;"Never doubt your worth. Thank you @HillaryClinton #selfworth #beautiful #women #realpower https:// twitter.com/TakeBackBeauty /status/796553474624233472 …";https://twitter.com/argentinaleyva/status/796576434462408704
7d62cffe6f98f349;Ion_Simsinator;2016-11-10 01:42;"My #wcw is @HillaryClinton . She can use all the support she can after yesterday. I'm with her!";https://twitter.com/Ion_Simsinator/status/796513244043182080
7d62cffe6f98f349;mhmtkcn;2016-11-09 21:11;"@HillaryClinton Delete your account.";https://twitter.com/mhmtkcn/status/796445002683412480
