place;username;date;text;permalink
7d62cffe6f98f349;GreenEyeReality;2016-11-06 22:12;"#Clump @realDonaldTrump @HillaryClinton now that's funny pic.twitter.com/ucFgCNxXMJ";https://twitter.com/GreenEyeReality/status/795373203891752960
7d62cffe6f98f349;_princemads;2016-11-06 21:43;"@iAmMrScott @BBCBreaking @HillaryClinton I fucking knew it";https://twitter.com/_princemads/status/795366098216419328
7d62cffe6f98f349;DarshanaN;2016-11-06 20:32;"Clearly vote against p&^^%$ grabber #donaldtrump but #women mainly PLEASE VOTE FOR @HillaryClinton Let's #StandTogether & make history.";https://twitter.com/DarshanaN/status/795348105247920128
7d62cffe6f98f349;BadgerPundit;2016-11-06 19:27;"@JohnTrumpGuy @HillaryClinton -- I doubt Hillary had to do anything to induce Sanford Levison to say this. It's wired into his liberal DNA.";https://twitter.com/BadgerPundit/status/795331709034037248
7d62cffe6f98f349;DarshanaN;2016-11-06 18:18;"I am a die hard @HillaryClinton supporter. AND YET - IF she loses then on Wednesday we've to #AcceptElectionResults & protect our #democracy";https://twitter.com/DarshanaN/status/795314308787769344
7d62cffe6f98f349;mrfphd;2016-11-06 17:19;"#nevadavoters and #SEIUforHillary going to make sure @HillaryClinton gets elected https:// twitter.com/ezraklein/stat us/795290534973685760 …";https://twitter.com/mrfphd/status/795299599950880769
7d62cffe6f98f349;Sharkluvr;2016-11-06 11:15;"@LisaTomaino @mysteeeeee555 @HillaryClinton she will have plenty of time to write crap rap songs in prison! https:// twitter.com/terrymendozer/ status/795125245334069248 …";https://twitter.com/Sharkluvr/status/795208095534153728
7d62cffe6f98f349;kdusc;2016-11-06 00:51;"@politico @realDonaldTrump @HillaryClinton Now that is the real Donald. Scum.";https://twitter.com/kdusc/status/795051027347058688
7d62cffe6f98f349;DarshanaN;2016-11-05 17:19;"#undecidedvoter third party @BillWeld has come out & said they have little chance of winning & spoke of @HillaryClinton in the highest terms";https://twitter.com/DarshanaN/status/794937313188921344
7d62cffe6f98f349;Sharkluvr;2016-11-05 16:34;"@tfpoor @ImmoralReport that filthy JZ language only bothers @HillaryClinton if @realDonaldTrump says it. Hypocrite!@LisaTomaino";https://twitter.com/Sharkluvr/status/794925749375373312
7d62cffe6f98f349;huladawn;2016-11-05 16:16;"@POTUS @FLOTUS @VP @HillaryClinton @realDonaldTrump @GovGaryJohnson @timkaine #HonorTheTreaties #TheWorldIsWatching pic.twitter.com/VLEJreoa24";https://twitter.com/huladawn/status/794921303719301121
7d62cffe6f98f349;edrescherphd;2016-11-05 04:03;"No one rocks a pant suit like #Beyonce ...except @HillaryClinton ! #RockingWithHer #StrongerTogether";https://twitter.com/edrescherphd/status/794736857867173888
7d62cffe6f98f349;NickSiconolfi;2016-11-05 02:31;"@Beyonce @HillaryClinton pic.twitter.com/tQitDFt818";https://twitter.com/NickSiconolfi/status/794713720274358272
