place;username;date;text;permalink
7d62cffe6f98f349;GarthLuke;2016-11-14 20:08;"@realDonaldTrump @nytimes you did kind of say that! https:// youtu.be/EEsBoRVlWXU";https://twitter.com/GarthLuke/status/798241099114377216
7d62cffe6f98f349;rahul3n;2016-11-14 08:39;"@realDonaldTrump Donald Trump to deport 3 million undocumented immigrants ‘immediately’ http:// indianexpress.com/article/world/ world-news/us-president-elect-donald-trump-to-deport-3-million-undocumented-immigrants-immediately-4373553/ …";https://twitter.com/rahul3n/status/798067896484122624
7d62cffe6f98f349;lamesauce82;2016-11-14 08:06;"@realDonaldTrump Good evening, Mr. Trump. It would be nice to have an open-minded discussion with you at Santana Row in San Jose, CA.";https://twitter.com/lamesauce82/status/798059638964920320
7d62cffe6f98f349;mattieuhO;2016-11-14 08:00;"I'll elect @realDonaldTrump to be the first astronaut #OneGiantLeapForMankind https:// twitter.com/unreveaisecret s/status/797275244151140352 …";https://twitter.com/mattieuhO/status/798058065257861120
7d62cffe6f98f349;SamPSpengler;2016-11-14 05:59;"@realDonaldTrump @60Minutes Outstanding interview Thank you.";https://twitter.com/SamPSpengler/status/798027458326867968
7d62cffe6f98f349;jorgevalencia50;2016-11-14 05:30;"@paliplax @RMZ094 @realDonaldTrump Si no nos tendermos que incar con una sola rodilla como el jugador de futbol Americano kaepernick";https://twitter.com/jorgevalencia50/status/798020160577671168
7d62cffe6f98f349;timwillette2007;2016-11-14 05:26;"@nytimes @realDonaldTrump #notmypresident #lyingtrump #FightThePower pic.twitter.com/DId6IzdGyu";https://twitter.com/timwillette2007/status/798019143228223488
7d62cffe6f98f349;jorgevalencia50;2016-11-14 05:24;"@paliplax @RMZ094 @realDonaldTrump Chichagoolll Organizando el abrazo del encuentro para que no exista mas el racismo aver si le cae la cora a el proximo Presidente de USA.";https://twitter.com/jorgevalencia50/status/798018754097446912
7d62cffe6f98f349;timwillette2007;2016-11-14 05:24;"Just started new @nytimes subscription #lyingtrump #notmypresident #NYTimes @realDonaldTrump";https://twitter.com/timwillette2007/status/798018699915448320
7d62cffe6f98f349;dilipkumar130;2016-11-14 05:06;"@realDonaldTrump @60Minutes I watched this on CBS. Nice interview. Mr. Trump has a great personality and a strong leader. Great family #MAGA pic.twitter.com/BQW7qL5nlz";https://twitter.com/dilipkumar130/status/798014256323043328
7d62cffe6f98f349;BlondeAmbtn;2016-11-14 04:47;"@DavidCornDC @MrJoshCharles @realDonaldTrump @baseballcrank He knows the person he has chosen. If he doesn't that is just as serious";https://twitter.com/BlondeAmbtn/status/798009374803247104
7d62cffe6f98f349;BlondeAmbtn;2016-11-14 04:31;"@realDonaldTrump has been crying about a #rigged system for months. Can you imagine if he won the pop vote, lost the EC?";https://twitter.com/BlondeAmbtn/status/798005330298826752
7d62cffe6f98f349;SMasters00;2016-11-14 03:57;"@realDonaldTrump My family and I voted for you President Trump. We're so glad hildabeast and obummer are out. Lead the way to greatness sir";https://twitter.com/SMasters00/status/797996870156959744
7d62cffe6f98f349;terracotta05;2016-11-14 02:36;"@joeyyeo13 @POTUS @FLOTUS @WorkingIdiots @pearman_margie @perossmeisl @nuzombie4 @19PHIL51 @killercantseeit @Pudingtane @realDonaldTrump ️ pic.twitter.com/hWiaA13d52";https://twitter.com/terracotta05/status/797976577929678848
7d62cffe6f98f349;BlondeAmbtn;2016-11-14 00:56;"@realDonaldTrump #Resistance #ResistTrump";https://twitter.com/BlondeAmbtn/status/797951370196226048
7d62cffe6f98f349;BlondeAmbtn;2016-11-14 00:52;"@realDonaldTrump is the " Wizard" in OZ. A #conman . He can not give a brain to the brainless. #notmypresident";https://twitter.com/BlondeAmbtn/status/797950197443620864
7d62cffe6f98f349;BlondeAmbtn;2016-11-14 00:43;"@realDonaldTrump #littledonald";https://twitter.com/BlondeAmbtn/status/797948005697490944
7d62cffe6f98f349;BlondeAmbtn;2016-11-14 00:41;"@realDonaldTrump you do NOT represent me or the country I know. Your actions have shown what a LITTLE insecure man you are #ResistTrump";https://twitter.com/BlondeAmbtn/status/797947487323451393
