place;username;date;text;permalink
944c03c1d85ef480;JerryKarenNeff;2016-11-14 02:41;"@tomllamas @abc @HillaryClinton has been asked to talk to the violent protesters and SHE didn't.";https://twitter.com/JerryKarenNeff/status/797977722307821569
944c03c1d85ef480;tomison61;2016-11-14 01:24;"@Rickmcclintock @mcoop @realDonaldTrump woulda been a landslide if @HillaryClinton hadn't stuffed the ballot boxes! #HillaryForPrison2016";https://twitter.com/tomison61/status/797958320745156609
944c03c1d85ef480;Squirtle559;2016-11-13 21:44;"@warriors @cavs @Indians @Cubs @StephenCurry30 @HillaryClinton @realDonaldTrump pic.twitter.com/WsWPm4sx4B";https://twitter.com/Squirtle559/status/797902859824025601
944c03c1d85ef480;JerryKarenNeff;2016-11-13 20:38;"The criminal @HillaryClinton and her political thugs Blumenthal, Brock, Podesta, Huma and Mills screwed Americans. Investigate them all https:// twitter.com/os4185/status/ 797767305476374529 …";https://twitter.com/JerryKarenNeff/status/797886314448158720
944c03c1d85ef480;PoulsenEmily;2016-11-13 19:25;"@EllenBWriter @maddow @HillaryClinton @cajunsmiley They basically all were complicit in msm...HRC at best condemned w faint praise.";https://twitter.com/PoulsenEmily/status/797867943396720640
944c03c1d85ef480;troycpope;2016-11-13 08:04;"The #SNL cold open wasn't this somber after 9/11... #Election2016 @HillaryClinton https:// twitter.com/nbcsnl/status/ 797673802805018625 …";https://twitter.com/troycpope/status/797696501304565760
944c03c1d85ef480;JerryKarenNeff;2016-11-13 01:35;"@FresnoBee LOL. @HillaryClinton never takes responsibility. I'm proud to be American and a . @realDonaldTrump supporter";https://twitter.com/JerryKarenNeff/status/797598613111074816
944c03c1d85ef480;jesserueckert;2016-11-12 23:40;"We were with her then and we're with her now. Thank you, @HillaryClinton . Bonnie, Rachel & Jesse. pic.twitter.com/gGFXCVGOQx";https://twitter.com/jesserueckert/status/797569691099107328
944c03c1d85ef480;marybc28;2016-11-12 16:15;"@HillaryClinton @POTUS My heart is broken. So SORRY!! Thank You for always being the voice of reason and class.";https://twitter.com/marybc28/status/797457882488807424
944c03c1d85ef480;JerryKarenNeff;2016-11-12 03:03;"#wethepeople have no confidence in @HillaryClinton and her thugs Blumenthal, Brock, Podesta, Huma or Mills https:// twitter.com/LindaSuhler/st atus/797250720902676484 …";https://twitter.com/JerryKarenNeff/status/797258367223808001
944c03c1d85ef480;lakerfanrita;2016-11-10 01:25;"@HillaryClinton thank you so much, I love and respect you. I am devastated and can't stop crying. Please don't ever give up, we need you!!";https://twitter.com/lakerfanrita/status/796509126708772864
944c03c1d85ef480;msprad2;2016-11-10 01:10;"@FoxNews @HillaryClinton @realDonaldTrump Tell Juan Williams that. He needs to be fired! So negative. Your team lost, get over it.";https://twitter.com/msprad2/status/796505256469245952
944c03c1d85ef480;RudeRuben87;2016-11-09 21:33;"@DirtyDMantell @GamblingExpert2 @HillaryClinton @CNN she was fake sting";https://twitter.com/RudeRuben87/status/796450557288292352
944c03c1d85ef480;notgoing2stop;2016-11-09 18:08;"@HillaryClinton thank you very much for all of your service. Thank you for stepping up";https://twitter.com/notgoing2stop/status/796399116720816129
944c03c1d85ef480;EugeneKandarian;2016-11-09 17:52;"@FoxNews @HillaryClinton did Hollywood elitists @JuddApatow and @ChrisEvans read or hear this? So sad for them and their lemmings";https://twitter.com/EugeneKandarian/status/796395113299656704
944c03c1d85ef480;six2guy;2016-11-09 17:50;"@HillaryClinton I love you and thank you for this healing speech";https://twitter.com/six2guy/status/796394616475893760
944c03c1d85ef480;TheCollegian;2016-11-09 17:44;"“Donald Trump is going to be our president. We owe him an open mind and the chance to lead.” - @HillaryClinton";https://twitter.com/TheCollegian/status/796393083868823552
944c03c1d85ef480;JerryKarenNeff;2016-11-09 17:13;"@abc @GMA tell your children the radicalized socialist criminal @HillaryClinton won't be president. Hooray";https://twitter.com/JerryKarenNeff/status/796385213542604801
944c03c1d85ef480;_lettyramos_;2016-11-09 14:56;"@HillaryClinton why couldn't you have rigged the general like you rigged the fucking primaries";https://twitter.com/_lettyramos_/status/796350777551765504
944c03c1d85ef480;JPorter_News;2016-11-09 14:47;"@HillaryClinton will speak at 6:30 this morning to address her loss to Donald Trump.";https://twitter.com/JPorter_News/status/796348399423393792
944c03c1d85ef480;BrandonShow9;2016-11-09 12:40;"@DanielLBBH @HillaryClinton pic.twitter.com/4UW5ic31ng";https://twitter.com/BrandonShow9/status/796316465515216896
944c03c1d85ef480;Latina1949;2016-11-09 11:37;"@HillaryClinton I want to Thank You for all your hard work in helping children& families all these years! You're Our Hillary We Love You !";https://twitter.com/Latina1949/status/796300732991295489
944c03c1d85ef480;GKScott86;2016-11-09 09:41;"@HillaryClinton Thank you so much. You worked your but off.";https://twitter.com/GKScott86/status/796271570511462401
944c03c1d85ef480;jprieto1997;2016-11-09 09:12;"@HillaryClinton how are you feeling right now?";https://twitter.com/jprieto1997/status/796264234686418944
944c03c1d85ef480;marybc28;2016-11-09 08:57;"I've never said this about anything but this is the WORST DAY in all of my 50 yrs. @HillaryClinton @AC360 @POTUS SUCH A DISGRACE!!";https://twitter.com/marybc28/status/796260428854611968
944c03c1d85ef480;goldwyn4ever;2016-11-09 08:35;"@HillaryClinton I'm in shock. My heart breaks for you and all your hard work. Love";https://twitter.com/goldwyn4ever/status/796254827399421952
944c03c1d85ef480;JerryKarenNeff;2016-11-09 06:10;"@KMPHFOX26 CA voting for the radicalized socialist @HillaryClinton is sad, but believable";https://twitter.com/JerryKarenNeff/status/796218370827816960
944c03c1d85ef480;JerryKarenNeff;2016-11-09 05:44;"Hey @MarthaRaddatz & @abc #wethepeople support . @realDonaldTrump directly in opposition to your extreme @HillaryClinton bias";https://twitter.com/JerryKarenNeff/status/796211770368999424
944c03c1d85ef480;pj30824;2016-11-09 05:43;"Biggest mistake by @HillaryClinton was selecting Tim Kaine as VP should've been Warren or Bernie";https://twitter.com/pj30824/status/796211491590455297
944c03c1d85ef480;kelseyheater;2016-11-09 04:23;"@kristenschaaled @HillaryClinton will she though WILL SHE???";https://twitter.com/kelseyheater/status/796191515882045441
944c03c1d85ef480;AGreenwoodNews;2016-11-09 02:02;"@HillaryClinton projected winner in MA, NJ, RI, ME and Washington D.C.";https://twitter.com/AGreenwoodNews/status/796155866202312705
944c03c1d85ef480;RKO_WILLIE;2016-11-09 01:12;"Fuck @realDonaldTrump Fuck @HillaryClinton #America you failed. Fuck Your Next American President. #HateOnItSheep";https://twitter.com/RKO_WILLIE/status/796143421131923456
944c03c1d85ef480;AGreenwoodNews;2016-11-09 01:02;"@realDonaldTrump projected winner in Indiana, Kentucky @HillaryClinton projected winner in Vermont";https://twitter.com/AGreenwoodNews/status/796140797586354176
944c03c1d85ef480;trinnnnnyyy;2016-11-09 00:50;"You too @HillaryClinton fight me";https://twitter.com/trinnnnnyyy/status/796137786180915200
944c03c1d85ef480;marybc28;2016-11-08 23:50;"@HillaryClinton GOOOOOO!!! WINNNNNN!!! Save us from the Orange Trumpinator. GOOD LUCK TONIGHT.";https://twitter.com/marybc28/status/796122862637621248
944c03c1d85ef480;lovemarissa143;2016-11-08 22:08;"@HillaryClinton If women are drafted like men, who's going to be here to raise our kids? Make sure our men have something to come home to?";https://twitter.com/lovemarissa143/status/796097045748543488
944c03c1d85ef480;Agent_Carter40;2016-11-08 22:03;"A childhood dream came true today: I got to vote for a woman for president. I never thought I'd see this day. #ImWithHer @HillaryClinton";https://twitter.com/Agent_Carter40/status/796095948443111424
944c03c1d85ef480;lileeann;2016-11-08 21:09;"Yes @HillaryClinton will win https:// twitter.com/Oldschooljamme r/status/796000794181042176 …";https://twitter.com/lileeann/status/796082121680916480
944c03c1d85ef480;pj30824;2016-11-08 18:03;"The stakes R 2 high this time so I'm asking all my fellow Latino's 2 go VOTE 4 @HillaryClinton together we can give Trump a big fu*k U";https://twitter.com/pj30824/status/796035332009398272
