place;username;date;text;permalink
960993b9cfdffda9;mcjpizzle;2016-11-14 22:59;"@HillaryClinton @BernieSanders @BarackObama supporters https:// twitter.com/mcjpizzle/stat us/798283791475187712 …";https://twitter.com/mcjpizzle/status/798284304170106880
960993b9cfdffda9;mcjpizzle;2016-11-14 16:07;"@BarackObama @HillaryClinton Denounce these RIOTS NOW!! What is wrong with you two? RT #followthemoney";https://twitter.com/mcjpizzle/status/798180463340699648
960993b9cfdffda9;mcjpizzle;2016-11-14 16:02;"Hey @georgesoros how do you sleep causing pain and fear Shame on you and @HillaryClinton @BarackObama your GOONS RIOT DESTROY you silent pic.twitter.com/dKA2jlxBrb";https://twitter.com/mcjpizzle/status/798179357214679040
960993b9cfdffda9;mcjpizzle;2016-11-14 15:53;"@georgesoros @HillaryClinton @JerryBrownGov @BarackObama All Support communist back riots nationwide Follow money Prosecute guilty";https://twitter.com/mcjpizzle/status/798177060191551489
960993b9cfdffda9;mcjpizzle;2016-11-13 04:15;"@HillaryClinton supporters @BernieSanders supporters PEACE & LOVE? George Soros HATES AMERICA Expose the TRUTH Riots r not Protests https:// twitter.com/mcjpizzle/stat us/797638134062166016 …";https://twitter.com/mcjpizzle/status/797639104552837120
960993b9cfdffda9;mcjpizzle;2016-11-13 02:55;"The Democratic Party @HillaryClinton is on the WRONG side of HISTORY with these riots. How LOW will the DNC go? Shame on Hillary and Obama";https://twitter.com/mcjpizzle/status/797618815584477184
960993b9cfdffda9;mcjpizzle;2016-11-13 02:48;"Riots are not protests! @HillaryClinton Do the right thing and call these SOROS backed thugs off. Democrats want civil unrest? Obama?";https://twitter.com/mcjpizzle/status/797617200743870464
960993b9cfdffda9;ahernandez2bak;2016-11-12 23:16;"@supertaschablue @politico @repjohnlewis @alfranken @JoyAnnReid @TheRevAl @elizabethforma @nbcnews @maddow @HillaryClinton @Lawrence";https://twitter.com/ahernandez2bak/status/797563835754291200
960993b9cfdffda9;mcjpizzle;2016-11-12 17:17;"@HillaryClinton diehards read and weep! RT https:// twitter.com/mcjpizzle/stat us/797473192495321088 …";https://twitter.com/mcjpizzle/status/797473474398666752
960993b9cfdffda9;suzgbug_suzie;2016-11-11 21:17;"@Varneyco @HillaryClinton @HeyTammyBruce pic.twitter.com/jqzKmppypL";https://twitter.com/suzgbug_suzie/status/797171536121630720
960993b9cfdffda9;ahernandez2bak;2016-11-11 19:06;"@jupiter896 @BarackObama @HillaryClinton @elizabethforma @timkaine @mcuban @MikeBloomberg @CharlesMBlow @MariaTCardona @ananavarro @Oprah";https://twitter.com/ahernandez2bak/status/797138539834019840
960993b9cfdffda9;Dmsnow800;2016-11-11 08:09;"People #protest because they didn't like the outcome of the election? @BarackObama @HillaryClinton should tell them to quit their behavior!";https://twitter.com/Dmsnow800/status/796973065909334016
960993b9cfdffda9;Wanttaknow;2016-11-11 00:47;"@HillaryClinton You're inspiring. #strongertogether";https://twitter.com/Wanttaknow/status/796861881679888384
960993b9cfdffda9;ArmidaO;2016-11-10 21:15;"@HillaryClinton , come on people of these United States let's demand a recount. What can we do as the People of this state to get a recount";https://twitter.com/ArmidaO/status/796808507987083264
960993b9cfdffda9;ArmidaO;2016-11-10 21:14;"@HillaryClinton , please ask for a recount I smell a fixed voting, Geany and Wikileaks was probably behind it. Please a recount.";https://twitter.com/ArmidaO/status/796808264860123136
960993b9cfdffda9;jab661;2016-11-10 21:00;"@TheDemocrats @HouseDemocrats @HillaryClinton @DWStweets still waiting for an apology from you people.";https://twitter.com/jab661/status/796804654910750720
960993b9cfdffda9;hnicoleanderson;2016-11-10 02:48;"@HillaryClinton @TheLastWord March on Washington 1-20-17 #marchonwashington12017";https://twitter.com/hnicoleanderson/status/796529918733647878
960993b9cfdffda9;1oldtrucker;2016-11-10 01:01;"@Silly2sue2 @HillaryClinton or don't get caught";https://twitter.com/1oldtrucker/status/796502983248748544
960993b9cfdffda9;Hoosierchip;2016-11-09 23:56;"@MileyCyrus @HillaryClinton well she didnt win... now did she...";https://twitter.com/Hoosierchip/status/796486618332864512
960993b9cfdffda9;rootbeerphoto;2016-11-09 21:46;"@VictoriaECM @HillaryClinton - I hope she sees this and how hard you honestly worked. #respect";https://twitter.com/rootbeerphoto/status/796453938300010496
