place;username;date;text;permalink
960993b9cfdffda9;SiSunkist58;2016-11-07 00:49;"@BethBehrs @HillaryClinton #never Hilary. Only a qualified female.";https://twitter.com/SiSunkist58/status/795412743360679936
960993b9cfdffda9;mcjpizzle;2016-11-06 22:55;"CROOKED @HillaryClinton CLINTON giving a speech stealing Trump lines, disregarding who's been running the country. Points out problems FAKE";https://twitter.com/mcjpizzle/status/795384053880922112
960993b9cfdffda9;mcjpizzle;2016-11-06 22:50;"Hello @HillaryClinton we do not want, respect, or believe you! pic.twitter.com/7ouQQOhyfd";https://twitter.com/mcjpizzle/status/795382914502361088
960993b9cfdffda9;mcjpizzle;2016-11-06 22:45;"@HillaryClinton Please go away Far far away You never helped the economy because you have no idea how honest money Is made. HRC= FOOL";https://twitter.com/mcjpizzle/status/795381657100369920
960993b9cfdffda9;nancy_surgener;2016-11-06 06:14;"@voguemagazine @HillaryClinton 5 more lies #hillaryclinton tells";https://twitter.com/nancy_surgener/status/795132157563846656
960993b9cfdffda9;mcjpizzle;2016-11-06 01:26;"@BernieSanders Went rouge today @HillaryClinton rally! HRC robbed Bernie She will rob us all VOTE TRUMP NOV.8TH RT 2 DEFEAT";https://twitter.com/mcjpizzle/status/795059648697024512
960993b9cfdffda9;mcjpizzle;2016-11-06 00:58;"@HillaryClinton 4 more years of Him through Her?? NOOOOOOOOOO VOTE TRUMP NOV.8TH https:// twitter.com/mcjpizzle/stat us/795050709909577728 …";https://twitter.com/mcjpizzle/status/795052648596525056
960993b9cfdffda9;ahernandez2bak;2016-11-05 18:59;"@HillaryClinton @latinorebels @votolatino @LatPoliticalAve @LatinoDecisions @LatinosMatter @LatinaLista @nbcnews @BuzzFeedLGBT @MileyCyrus";https://twitter.com/ahernandez2bak/status/794962458267959296
960993b9cfdffda9;ahernandez2bak;2016-11-05 18:44;"@stylistkavin @HillaryClinton @CatherineForNV @Miller4AD5 @RosenforNevada hell yea good job Kavin #HillaryVictoryTrain @JoyAnnReid @abc";https://twitter.com/ahernandez2bak/status/794958461758947328
960993b9cfdffda9;ahernandez2bak;2016-11-05 18:03;"@ydc226 @smallblack_girl @JoyAnnReid @maddow @Lawrence @chrislhayes @Oprah @ladygaga @JLo @MileyCyrus @Rosie @latinorebels @HillaryClinton";https://twitter.com/ahernandez2bak/status/794948275518328832
960993b9cfdffda9;ahernandez2bak;2016-11-05 17:26;"@bsnot3 @repjohnlewis @HillaryClinton @maddow @JoyAnnReid @Lawrence @Oprah @JLo @HillaryClinton Hispanics with #HillaryVictoryTrain @abc pic.twitter.com/2qUwnbFXj3";https://twitter.com/ahernandez2bak/status/794938980596748288
960993b9cfdffda9;mcjpizzle;2016-11-05 04:29;"@HillaryClinton Democrats are hypocrites losers stupid moronic tools used by Soros' puppets Hillary n Obama! Jay-Z my nigger pussy !";https://twitter.com/mcjpizzle/status/794743528324677632
960993b9cfdffda9;ahernandez2bak;2016-11-05 03:26;"@CNN @seanhannity u should watch @HillaryClinton sean nobody is watching your your show because there watch her and Jay z lol @nbcnews @abc";https://twitter.com/ahernandez2bak/status/794727482414858240
960993b9cfdffda9;mcjpizzle;2016-11-05 01:45;"@HillaryClinton supporters Can't see the forest for the trees? It's simple Hillary's sever was illegal, a felony. GOT IT? Wake up! !!!!";https://twitter.com/mcjpizzle/status/794702230997733376
960993b9cfdffda9;mcjpizzle;2016-11-04 19:11;"@HillaryClinton spews race card on Trump. HRC is a embarrassment and lower than scum. @HillaryClinton supporters when Is it enough Disgrace";https://twitter.com/mcjpizzle/status/794602998055899138
960993b9cfdffda9;mcjpizzle;2016-11-04 05:40;"@HillaryClinton supporters are you all paying attention or just watching the MSM? VOTE TRUMP NOV.8TH RT https:// twitter.com/wikileaks/stat us/793874855162707970 …";https://twitter.com/mcjpizzle/status/794399004721197056
