place;username;date;text;permalink
960993b9cfdffda9;kernnotary;2016-11-15 00:43;"@AmyMek @MissD4Trump That's exactly why @realDonaldTrump needs to disband the WH Press Corp. @Cernovich @ScottAdamsSays @RealAlexJones";https://twitter.com/kernnotary/status/798310454552498177
960993b9cfdffda9;israeltooreal;2016-11-15 00:15;"Well played Mr. President @realDonaldTrump #SouthernStrategy";https://twitter.com/israeltooreal/status/798303477466136577
960993b9cfdffda9;TexaRicanRacing;2016-11-14 17:04;". @JerryBrownGov , you and @realDonaldTrump already have something in common ... If memory serves, you refused a salary your 1st term too! https:// twitter.com/CBSNews/status /798193529642217472 …";https://twitter.com/TexaRicanRacing/status/798194923568709632
960993b9cfdffda9;socalspud;2016-11-14 16:10;"@JoeNBC Dems need to be VERY careful here ... if they go left & @realDonaldTrump succeeds esp w/AA the Dems will lose even more in 2018/20";https://twitter.com/socalspud/status/798181246669115392
960993b9cfdffda9;stonemirror;2016-11-14 15:49;". @realDonaldTrump didn't earn the trust of more than half of America. He's squandering his chances with appointments like Steve Bannon.";https://twitter.com/stonemirror/status/798175918086701056
960993b9cfdffda9;socalspud;2016-11-14 05:21;"@realDonaldTrump is the most socially liberal GOP POTUS since Teddy Roosevelt !!! Get used to it !!! https:// twitter.com/CNNPolitics/st atus/798005789445062656 …";https://twitter.com/socalspud/status/798017940771586050
960993b9cfdffda9;1oldtrucker;2016-11-14 04:12;"@Cernovich @realDonaldTrump @RSCGOP funny how they line up with hat in hand - $$$$$";https://twitter.com/1oldtrucker/status/798000605352472577
960993b9cfdffda9;kernnotary;2016-11-14 03:09;"@AnonInMo2 @YouTube Please, I live in a red county in Central Cali...we DON'T want these idiots as well. Common Core grad? @realDonaldTrump";https://twitter.com/kernnotary/status/797984682096791553
960993b9cfdffda9;catdestroyer_;2016-11-13 21:43;"Aye lmao , @realDonaldTrump might be coo after all ! pic.twitter.com/lhVlB30Aup";https://twitter.com/catdestroyer_/status/797902767247355904
960993b9cfdffda9;TomEdmonds2;2016-11-13 17:40;"@DineshDSouza @realDonaldTrump @FortuneMagazine fire her no more Pepsi she is stupid spread this all over America!";https://twitter.com/TomEdmonds2/status/797841520627892225
960993b9cfdffda9;trumpstenergy;2016-11-13 08:13;"@Veteran4Trump @realDonaldTrump @trumpstenergy #VeteransDay #TransitionTeam #victory #republicanenergyshot #MAGA @RealBenCarson #USA";https://twitter.com/trumpstenergy/status/797698999671078912
960993b9cfdffda9;trumpstenergy;2016-11-13 08:10;"@Nigel_Farage @SoCal4Trump @realDonaldTrump @trumpstenergy @RealJTP #Republicanenergyshot #victory #MAGA #TransitionTeam #wewon";https://twitter.com/trumpstenergy/status/797698051875868673
960993b9cfdffda9;Dmsnow800;2016-11-13 05:46;"@halfadams why do you think the USA is ruined because @realDonaldTrump won? Last 8 years has been an embarrassment thanks to #LiberalObama";https://twitter.com/Dmsnow800/status/797661994006429697
960993b9cfdffda9;kernnotary;2016-11-13 05:04;"@IngrahamAngle @chillinginLV Absolutely Not. She disavowed @realDonaldTrump & lost. Get it? "Loser"";https://twitter.com/kernnotary/status/797651413153161216
960993b9cfdffda9;kernnotary;2016-11-13 04:04;"@SpartanBusiBee @alllibertynews @mohamed_fazaal @UKIP @Nigel_Farage @realDonaldTrump Try a 20#bullet proof vest & suit. Entire campaign";https://twitter.com/kernnotary/status/797636321594392578
960993b9cfdffda9;TomEdmonds2;2016-11-13 02:58;"@RockyZach @realDonaldTrump not liberals traitors";https://twitter.com/TomEdmonds2/status/797619708077883392
960993b9cfdffda9;mcjpizzle;2016-11-13 02:50;"@realDonaldTrump @Harlan @LouDobbs @NubianAwakening @USAneedsTRUMP @MissLizzyNJ @dcexaminer https:// twitter.com/mcjpizzle/stat us/797617200743870464 …";https://twitter.com/mcjpizzle/status/797617566474604544
960993b9cfdffda9;JaySonTafari;2016-11-12 23:41;"@SherwoodStrauss @AminESPN @kateberlant @realDonaldTrump That or Calexit.";https://twitter.com/JaySonTafari/status/797570149242970112
960993b9cfdffda9;ahernandez2bak;2016-11-12 22:49;"@wvjoe911 @newcivilrights @realDonaldTrump wow racist is filling the swamp lol @JoyAnnReid @EricTrump @DonaldJTrumpJr @maddow @nbcnews @abc";https://twitter.com/ahernandez2bak/status/797556998770343936
960993b9cfdffda9;suzgbug_suzie;2016-11-12 20:44;"@ScottPresler @realDonaldTrump a nice looking family u have Scott!";https://twitter.com/suzgbug_suzie/status/797525470665289728
960993b9cfdffda9;ahernandez2bak;2016-11-12 20:06;"@nytimes @realDonaldTrump America look lol @EricTrump @DonaldJTrumpJr @mike_pence @JoyAnnReid @maddow @alfranken @repjohnlewis @latinorebels";https://twitter.com/ahernandez2bak/status/797515959632154624
960993b9cfdffda9;andres89_g;2016-11-12 19:38;"totally forgot about this episode my man @realDonaldTrump nailed that part https:// twitter.com/reaidonaldtrun p/status/797148111772811264 …";https://twitter.com/andres89_g/status/797508853797507072
960993b9cfdffda9;mcjpizzle;2016-11-12 19:17;"@realDonaldTrump https:// twitter.com/mitchellvii/st atus/797493672854032384 …";https://twitter.com/mcjpizzle/status/797503543850606592
960993b9cfdffda9;socalspud;2016-11-12 19:10;"@CNNPolitics you guys are SO disingenuous !!!! @realDonaldTrump clearly said in campaign parts of ACA would remain !!!";https://twitter.com/socalspud/status/797501891475189760
960993b9cfdffda9;scarborough_ls;2016-11-12 18:45;"@SpeakerRyan @realDonaldTrump @mike_pence will see how it turns out.";https://twitter.com/scarborough_ls/status/797495666586963968
960993b9cfdffda9;ahernandez2bak;2016-11-12 18:02;"@MailOnline @realDonaldTrump Neo-Nazi #racisttrump family @GOP @StephenBannon @latinorebels @votolatino @blackvoices @JoyAnnReid @maddow";https://twitter.com/ahernandez2bak/status/797484677841858560
960993b9cfdffda9;mcjpizzle;2016-11-12 17:16;"@realDonaldTrump @realjpbook @KellyannePolls @Harlan I know Donald J. Trump will be a great President because the left hates him that much!";https://twitter.com/mcjpizzle/status/797473192495321088
960993b9cfdffda9;kernnotary;2016-11-12 07:37;"@JoshNoneYaBiz @jacman6222 Funny...CNN final tally. @realDonaldTrump wins popular vote as well by 200K+ #POTUSTrump";https://twitter.com/kernnotary/status/797327337406611456
960993b9cfdffda9;Feldur;2016-11-12 07:06;"@realDonaldTrump should be prepping Ivanka for presidency";https://twitter.com/Feldur/status/797319599926542340
960993b9cfdffda9;biganthony81;2016-11-12 06:48;"So @MileyCyrus is another celebrity that was full of crap about leaving the U.S. if @realDonaldTrump won.";https://twitter.com/biganthony81/status/797315044346241025
960993b9cfdffda9;Dmsnow800;2016-11-12 04:58;"@realDonaldTrump this world is so dumb! These liberals actually think protesting the election results will change the outcome #dumbLiberals";https://twitter.com/Dmsnow800/status/797287489027178497
960993b9cfdffda9;kernnotary;2016-11-12 04:28;"Personally @KellyannePolls is one of the smartest PEOPLE, not male or female, PEOPLE I have ever listened to! @realDonaldTrump is sexist? pic.twitter.com/F9DEiq6Aq8";https://twitter.com/kernnotary/status/797279806597410816
960993b9cfdffda9;socalspud;2016-11-12 03:34;"@realDonaldTrump @MittRomney for Secretary of State ????? Yes sir !!!";https://twitter.com/socalspud/status/797266380156342273
960993b9cfdffda9;socalspud;2016-11-12 00:45;"@BretBaier if @realDonaldTrump does 1/2 of what he promised Black America the cracks in blue wall in 2018/20 will look like Johnstown flood";https://twitter.com/socalspud/status/797223746863931392
960993b9cfdffda9;1oldtrucker;2016-11-12 00:23;"@Nigel_Farage @QuipMaster @realDonaldTrump @TheSun and he spends his own money there hiring folks";https://twitter.com/1oldtrucker/status/797218154552270849
960993b9cfdffda9;ahernandez2bak;2016-11-11 21:43;"@emilytgreen use your 2nd amendment on people like that, @realDonaldTrump said use it lol @JoyAnnReid @maddow @latinorebels @LatinaLista lol";https://twitter.com/ahernandez2bak/status/797177938282037248
960993b9cfdffda9;ahernandez2bak;2016-11-11 19:45;"@HinsleyCm @realDonaldTrump u racist clown look the new America, @mike_pence @GOP @LatinaLista @votolatino @LatinosMatter @maddow @nbcnews";https://twitter.com/ahernandez2bak/status/797148247433195520
960993b9cfdffda9;jnickell13;2016-11-11 17:34;"@realDonaldTrump We put a lot of faith in you, we suffered a lot of ridicule when we outwardly told the world we were on the trump train,";https://twitter.com/jnickell13/status/797115348558356480
960993b9cfdffda9;socalspud;2016-11-11 15:20;"@michellemalkin @steveODMP if @realDonaldTrump succeeds he could start 50 years of conservative government ... but he must succeed !!!";https://twitter.com/socalspud/status/797081579335974912
960993b9cfdffda9;Dmsnow800;2016-11-11 08:13;"@realDonaldTrump should ban the Media from Television. These THUG Protestors only want attention. None of them are educated. #LiberalsSUCK";https://twitter.com/Dmsnow800/status/796974227140153344
960993b9cfdffda9;scarborough_ls;2016-11-11 06:59;"@EdwinRo47796972 @realDonaldTrump Once you say something that's it. People do not for get.";https://twitter.com/scarborough_ls/status/796955491599384576
960993b9cfdffda9;jeffreydubel;2016-11-11 06:51;"@realDonaldTrump Don't even legitimise the protesters by mentioning them, they don't understand how America works,this accomplishes nothing";https://twitter.com/jeffreydubel/status/796953537699680260
960993b9cfdffda9;1oldtrucker;2016-11-11 06:47;"@Wild_Bill316 @BlueWaterDays @realDonaldTrump ditto";https://twitter.com/1oldtrucker/status/796952500855128065
960993b9cfdffda9;kernnotary;2016-11-11 04:29;"@realDonaldTrump very diplomatic considering if POTUS saw you lying in the meddle of the street he'd run over you";https://twitter.com/kernnotary/status/796917638890827776
960993b9cfdffda9;kernnotary;2016-11-11 04:27;"@megynkelly @krauthammer Hopefully, so are you. Wrong loyalties and we the people DO NOT FORGET @realDonaldTrump @Cernovich";https://twitter.com/kernnotary/status/796917207351500801
960993b9cfdffda9;ahernandez2bak;2016-11-11 04:16;"@TomthunkitsMind @realDonaldTrump @EricTrump @DonaldJTrumpJr @GOP @latinorebels @JoyAnnReid @maddow @Lawrence @Oprah @BarackObama @nbcnews";https://twitter.com/ahernandez2bak/status/796914480823185409
960993b9cfdffda9;scarborough_ls;2016-11-11 00:18;"@FoxNews @SpeakerRyan @realDonaldTrump I guess you made your choice picking Donald. Good luck to you.";https://twitter.com/scarborough_ls/status/796854687936806917
960993b9cfdffda9;socalspud;2016-11-10 23:56;"@chucktodd if @realDonaldTrump does half of what he promised Black America minorities will flock to the GOP in 2018 & 2020";https://twitter.com/socalspud/status/796849142953689093
960993b9cfdffda9;socalspud;2016-11-10 23:49;"@realDonaldTrump any infrastructure bill should fund 10 new med schools to get 2K new Drs a year - lowers health care costs via competition";https://twitter.com/socalspud/status/796847303373897732
960993b9cfdffda9;suzgbug_suzie;2016-11-10 23:07;"@ScottBaio @realDonaldTrump @RNC @MrsScottBaio thanks for helping pic.twitter.com/whDDFKJWjy";https://twitter.com/suzgbug_suzie/status/796836678182662145
960993b9cfdffda9;socalspud;2016-11-10 21:13;"@realDonaldTrump https:// twitter.com/socalspud/stat us/796805068280344576 …";https://twitter.com/socalspud/status/796808105686220800
960993b9cfdffda9;mcjpizzle;2016-11-10 20:25;"@realDonaldTrump @realjpbook @Harlan @KellyannePolls @DiamondandSilk @LouDobbs @TallahForTrump @DonaldJTrumpJr @NubianAwakening @_Makada_ https:// twitter.com/mcjpizzle/stat us/796795230527729665 …";https://twitter.com/mcjpizzle/status/796795837833560064
960993b9cfdffda9;ahernandez2bak;2016-11-10 17:46;"@NewUBIA @realDonaldTrump America be ready with kkk leading the way, @JoyAnnReid @naacp @maddow @TheRevAl @RevDrBarber @Oprah @nbcnews @abc";https://twitter.com/ahernandez2bak/status/796755967559897088
960993b9cfdffda9;kernnotary;2016-11-10 17:34;"@OMAROSA @fredgthegreat @realDonaldTrump @POTUS I despised you on The Apprentice as being divisive. I "Officially" eat my words. Thank You";https://twitter.com/kernnotary/status/796752928186826753
960993b9cfdffda9;socalspud;2016-11-10 16:31;"@realDonaldTrump when u meet with Nieto you should offer our help in defeating the cartels in return for his help at the border ...";https://twitter.com/socalspud/status/796736997465296896
960993b9cfdffda9;KasmiraJensen;2016-11-10 08:10;"@realDonaldTrump and republicans are hatemongers but democrats are burning in the streets. #imconfused";https://twitter.com/KasmiraJensen/status/796610921686650880
960993b9cfdffda9;ahernandez2bak;2016-11-10 05:56;"@JR777771 @realDonaldTrump @mike_pence @GOP @repjohnlewis @elizabethforma @JoyAnnReid @maddow @Lawrence @nbcnews @TheRevAl @msnbc @msnbc lol";https://twitter.com/ahernandez2bak/status/796577125180456960
960993b9cfdffda9;jeffreydubel;2016-11-10 04:57;"@realDonaldTrump interesting to see if the number of illegal immigrants crossing border drops knowing the immigration law will be enforced";https://twitter.com/jeffreydubel/status/796562416742133760
960993b9cfdffda9;1oldtrucker;2016-11-10 04:18;"@jenninejones @cehoskinson @BenWilhelm1230 no surprise. Said for weeks the left would riot. Wasn't going to be @realDonaldTrump supporters";https://twitter.com/1oldtrucker/status/796552658714669056
960993b9cfdffda9;1oldtrucker;2016-11-10 04:12;"@netanyahu @realDonaldTrump the Jewish state won't forget Obama's run at regime change.";https://twitter.com/1oldtrucker/status/796551032977297408
960993b9cfdffda9;ahernandez2bak;2016-11-10 03:11;"@Jaaezus @realDonaldTrump see America it's starting now racist kkk America @JoyAnnReid @naacp @TheRevAl @repjohnlewis @maddow @msnbc @msnbc";https://twitter.com/ahernandez2bak/status/796535683384885248
960993b9cfdffda9;ahernandez2bak;2016-11-10 02:43;"@eileendefreest @realDonaldTrump is going to let this killer go free because he's white power, @JoyAnnReid @maddow @GOP @nbcnews @TheRevAl";https://twitter.com/ahernandez2bak/status/796528624178372608
960993b9cfdffda9;ahernandez2bak;2016-11-10 01:45;"@sarahsside @Franklin_Graham @GovMikeHuckabee @ezlusztig @realDonaldTrump hooker in the white house";https://twitter.com/ahernandez2bak/status/796514122242215936
960993b9cfdffda9;1oldtrucker;2016-11-10 01:20;"@SurfPHX @stoneyb245 @RealBenCarson @realDonaldTrump surgeon general?";https://twitter.com/1oldtrucker/status/796507755104215040
960993b9cfdffda9;QueenNathallie;2016-11-09 23:59;"@realDonaldTrump https:// twitter.com/jussiesmollett /status/795759703099838464 …";https://twitter.com/QueenNathallie/status/796487340545871872
960993b9cfdffda9;Ooots_;2016-11-09 22:43;"@realDonaldTrump you piece of shit https:// twitter.com/_itswaldo_/sta tus/796264436369457152 …";https://twitter.com/Ooots_/status/796468369926930432
960993b9cfdffda9;socalspud;2016-11-09 22:37;"@realDonaldTrump Wanna drive health care costs down ? Build 10 new med schools in key locations to train 2000 new Dr's a year !!! #ObamaCare";https://twitter.com/socalspud/status/796466807112482816
960993b9cfdffda9;ahernandez2bak;2016-11-09 20:06;"@artist4ever @onemightyoak @realDonaldTrump @mike_pence @GOP @nbcnews @JoyAnnReid @BarackObama @HillaryClinton @elizabethforma @CNN";https://twitter.com/ahernandez2bak/status/796428724488966146
960993b9cfdffda9;ahernandez2bak;2016-11-09 20:03;"@GotaB_NastyGirl @devinsimoneee @realDonaldTrump @mike_pence @JoyAnnReid @maddow @nbcnews @msnbc @Lawrence @alfranken @repjohnlewis";https://twitter.com/ahernandez2bak/status/796428049621233664
960993b9cfdffda9;ahernandez2bak;2016-11-09 19:58;"@DrMatthew @SolUru @realDonaldTrump @GOP @mike_pence @repjohnlewis @alfranken @JoyAnnReid @maddow @Lawrence @chrislhayes @nbcnews @naacp";https://twitter.com/ahernandez2bak/status/796426770421399554
960993b9cfdffda9;suzgbug_suzie;2016-11-09 19:56;"The best election EVER. Thank you President Elect @realDonaldTrump pic.twitter.com/RWYs8VrXtp";https://twitter.com/suzgbug_suzie/status/796426254513639424
960993b9cfdffda9;socalspud;2016-11-09 19:20;"@realDonaldTrump you MUST invite the #MormonTabernacleChoir to sing at your inaugural !!! They ooze patriotism !! #Reagandidit";https://twitter.com/socalspud/status/796417190660489216
960993b9cfdffda9;socalspud;2016-11-09 18:54;"@FrankLuntz @nytimes if @realDonaldTrump delivers on his promises minorities will flock to the GOP in 2018/2020 ... without a doubt !!!";https://twitter.com/socalspud/status/796410758527467520
960993b9cfdffda9;princess_naancy;2016-11-09 18:36;"I don't hate @realDonaldTrump because I'm hispanic , I hate him because I'm a human being and I have a heart";https://twitter.com/princess_naancy/status/796406014165667841
960993b9cfdffda9;Dmsnow800;2016-11-09 17:58;"@TomiLahren I believe @realDonaldTrump should hire you in his cabinet or make you the #SecretaryOfTheState";https://twitter.com/Dmsnow800/status/796396501077409792
960993b9cfdffda9;rootbeerphoto;2016-11-09 17:19;"Ummmmmm #America ... we've had presidents who have OWNED and RAPED SLAVES. We'll survive @realDonaldTrump";https://twitter.com/rootbeerphoto/status/796386638662246400
960993b9cfdffda9;Wanttaknow;2016-11-09 16:45;"@realDonaldTrump I can't support you bc I don't trust you #NoToTrump #WTFUSA #notmypresident";https://twitter.com/Wanttaknow/status/796378305276428288
960993b9cfdffda9;samhensonCA;2016-11-09 16:19;"Please someone write a paper on how @realDonaldTrump won Florida https:// twitter.com/bryantmcgraw/s tatus/796343880568471552 …";https://twitter.com/samhensonCA/status/796371635703934976
960993b9cfdffda9;_angggela;2016-11-09 16:09;"Don't want to go to class today because all we are going to discuss is how this @realDonaldTrump head ass is president";https://twitter.com/_angggela/status/796369089706921986
960993b9cfdffda9;_angggela;2016-11-09 16:04;"Hearing that @realDonaldTrump is going to be our next president on the news makes my bones cringe";https://twitter.com/_angggela/status/796367848650047489
960993b9cfdffda9;socalspud;2016-11-09 13:36;"@realDonaldTrump @IngrahamAngle the Left spent 500M telling America you're a racist, bigot, homophobe .. many will be surprised it was a lie";https://twitter.com/socalspud/status/796330514579759104
960993b9cfdffda9;TexaRicanRacing;2016-11-09 12:43;"@realDonaldTrump , congratulations Mr. President Elect.";https://twitter.com/TexaRicanRacing/status/796317402996699140
960993b9cfdffda9;Dmsnow800;2016-11-09 10:17;"@TomiLahren I hope Rosi O'Donnell, Al Sharpton, & Michael Moore all stay true to their word and leave our country if @realDonaldTrump wins.";https://twitter.com/Dmsnow800/status/796280474448474113
960993b9cfdffda9;Dmsnow800;2016-11-09 10:14;"#Liberals #liberalActors Please pack ur bags & vacate our Country! You threatened to leave the USA if @realDonaldTrump wins. #ByeFelicia";https://twitter.com/Dmsnow800/status/796279767322329088
960993b9cfdffda9;Dmsnow800;2016-11-09 09:42;"@RealBenCarson @TomiLahren @realDonaldTrump I LOVE OUR COUNTRY & I'M PROUD OF OUR AMERICAN PEOPLE FOR STANDING UP & TAKING OUR COUNTRY BACK!";https://twitter.com/Dmsnow800/status/796271614635610112
960993b9cfdffda9;Dmsnow800;2016-11-09 09:36;"@TomiLahren I love the fact you are insanely HOT and you LOVE our Republican President @realDonaldTrump . Screw these handout liberals!";https://twitter.com/Dmsnow800/status/796270170012422144
960993b9cfdffda9;Wanttaknow;2016-11-09 09:16;"@katyperry It's time to rise up just like @realDonaldTrump suggested!!! #ElectionNight #WTFUSA";https://twitter.com/Wanttaknow/status/796265106115940353
960993b9cfdffda9;that1legmonster;2016-11-09 09:00;"@realDonaldTrump pic.twitter.com/lWf40ACbqC";https://twitter.com/that1legmonster/status/796261040967192576
960993b9cfdffda9;obfucknk;2016-11-09 08:51;"This idiot actually became president #Congrats !! @realDonaldTrump !";https://twitter.com/obfucknk/status/796258934411509760
960993b9cfdffda9;MegannShiness;2016-11-09 08:47;"He won!!!!!! @realDonaldTrump";https://twitter.com/MegannShiness/status/796257827643760641
960993b9cfdffda9;iChrisHarrison;2016-11-09 08:41;"*When America makes @realDonaldTrump president* https:// twitter.com/k_phillzz/stat us/795887318557044736 …";https://twitter.com/iChrisHarrison/status/796256457037467648
960993b9cfdffda9;Dmsnow800;2016-11-09 08:39;"It's not #TooCloseToCall . I'm not #PoliticallyCorrect . I will announce it! Congrats to our new President, @realDonaldTrump ! #dropTheMike";https://twitter.com/Dmsnow800/status/796255787731456001
960993b9cfdffda9;AlTwoTimes;2016-11-09 08:34;"@MetroBoomin do you trust @realDonaldTrump";https://twitter.com/AlTwoTimes/status/796254733312749568
960993b9cfdffda9;Dmsnow800;2016-11-09 08:23;"@halfadams today we got our Country Back! Move to Canada liberals! #WallbeingBUILT @realDonaldTrump is #POTUS2016";https://twitter.com/Dmsnow800/status/796251737086533632
960993b9cfdffda9;Drewrysaurus;2016-11-09 07:59;". @RAIDERS are in 1st, @Cubs won the Series, marijuana is legal & @realDonaldTrump is President...what's next??? #HistoryIsHappening";https://twitter.com/Drewrysaurus/status/796245827127607296
960993b9cfdffda9;iChrisHarrison;2016-11-09 07:18;"I really hope we get those taco trucks on every corner that we were promised if @realDonaldTrump becomes @POTUS .";https://twitter.com/iChrisHarrison/status/796235527808696324
960993b9cfdffda9;Obi_Juan17;2016-11-09 06:23;"I mean we can still impeach @realDonaldTrump";https://twitter.com/Obi_Juan17/status/796221615671373825
960993b9cfdffda9;BlueRibbonAuto;2016-11-09 06:20;"Thank you fellow #trump supporters I appreciate you @realDonaldTrump #Election2016 @seanhannity #FoxNews2016 #hillary he's coming for you.";https://twitter.com/BlueRibbonAuto/status/796220964740530177
960993b9cfdffda9;BlueRibbonAuto;2016-11-09 06:17;"#Hillary #Obama you called #trump a joke, clown, racist, soon you will address him as Mr President. @seanhannity @realDonaldTrump";https://twitter.com/BlueRibbonAuto/status/796220045009354752
