place;username;date;text;permalink
960993b9cfdffda9;mcjpizzle;2016-11-07 00:48;"@realDonaldTrump @KellyannePolls @Harlan @realjpbook @DiamondandSilk @TallahForTrump @USAneedsTRUMP @Darren32895836 @skinnypresident https:// twitter.com/mcjpizzle/stat us/795411951270494209 …";https://twitter.com/mcjpizzle/status/795412475361398784
960993b9cfdffda9;ahernandez2bak;2016-11-06 23:18;"@mishachfl @realDonaldTrump @MELANIATRUMP paid hooker lol @EricTrump @DonaldJTrumpJr @TiffanyATrump @IvankaTrump";https://twitter.com/ahernandez2bak/status/795389894960902145
960993b9cfdffda9;ahernandez2bak;2016-11-06 22:45;"@SocialPowerOne1 @realDonaldTrump @KellyannePolls @EricTrump @DonaldJTrumpJr @IvankaTrump @BorisEP @CLewandowski_ @David_Bossie @AJDelgado13";https://twitter.com/ahernandez2bak/status/795381576804638720
960993b9cfdffda9;ahernandez2bak;2016-11-06 22:16;"@USATODAY @realDonaldTrump hookers @KellyannePolls @AJDelgado13 @kayleighmcenany @scottienhughes @Betsy_McCaughey @KatrinaPierson";https://twitter.com/ahernandez2bak/status/795374376401006592
960993b9cfdffda9;1oldtrucker;2016-11-06 22:15;"@BlueWaterDays @MissWinMa @realDonaldTrump I agree wholeheartedly. But I do trust His plan whichever way it takes us.";https://twitter.com/1oldtrucker/status/795374083806351360
960993b9cfdffda9;ahernandez2bak;2016-11-06 22:10;"@mattyglesias @realDonaldTrump @CLewandowski_ @KellyannePolls @kayleighmcenany @DonaldJTrumpJr here u dumbass,s nothing rapist molester";https://twitter.com/ahernandez2bak/status/795372693302321152
960993b9cfdffda9;kernnotary;2016-11-06 21:41;"@mitchellvii @PatrickOHenryTX @FBI James Comey is a bought & paid for POS. POTUS @realDonaldTrump needs to replace & prosecute.";https://twitter.com/kernnotary/status/795365519796731904
960993b9cfdffda9;ahernandez2bak;2016-11-06 06:19;"@realDonaldTrump Trump campaigning w/ Jay-Z is “demeaning” to the political process. He’s set to appear with Ted Nugent tmrw @JoyAnnReid";https://twitter.com/ahernandez2bak/status/795133578854080513
960993b9cfdffda9;ahernandez2bak;2016-11-06 06:10;"https:// youtu.be/jcLahk1IO70 @realDonaldTrump @KellyannePolls @CLewandowski_ @latinorebels @votolatino @LatinosMatter @LatinaLista @LatinoUSA lol";https://twitter.com/ahernandez2bak/status/795131249677320192
960993b9cfdffda9;ahernandez2bak;2016-11-06 06:01;"@realDonaldTrump look at the fake priest cracking up when #trump says people are stuip @KellyannePolls @maddow @JoyAnnReid @nbcnews @msnbc pic.twitter.com/03aQ3sO5Ig";https://twitter.com/ahernandez2bak/status/795129027212128256
960993b9cfdffda9;ahernandez2bak;2016-11-06 05:52;"@realDonaldTrump look at racist clown with a fake priest in the back of he's rally how low can u go @JoyAnnReid @maddow @nbcnews @BorisEP";https://twitter.com/ahernandez2bak/status/795126775558737922
960993b9cfdffda9;ahernandez2bak;2016-11-06 05:11;"@riotwomennn @puppymnkey funny shit @realDonaldTrump @JackPosobiec @latinorebels @JoyAnnReid @Lawrence @nbcnews @msnbc @MileyCyrus @Rosie";https://twitter.com/ahernandez2bak/status/795116269645144064
960993b9cfdffda9;ahernandez2bak;2016-11-06 05:05;"@JackPosobiec assassination with a sign hahahahahaha @realDonaldTrump nice Spokesperson u have in dumbass jack tell the everyone this crap";https://twitter.com/ahernandez2bak/status/795114932303892480
960993b9cfdffda9;ahernandez2bak;2016-11-06 03:41;"@juleegrl @joojfan @realDonaldTrump u pussy u run and #Hillary kelp going lol, she a women and u a pervert, @JoyAnnReid @maddow @nbcnews lol";https://twitter.com/ahernandez2bak/status/795093678029094912
960993b9cfdffda9;ahernandez2bak;2016-11-06 03:24;"@GucciShade @realDonaldTrump nothing to see here just one of racist clown supporters with a sign lol dumbass @JoyAnnReid @maddow @nbcnews";https://twitter.com/ahernandez2bak/status/795089531934416896
960993b9cfdffda9;ahernandez2bak;2016-11-06 02:48;"@SFL4Hillary @NYDailyNews @realDonaldTrump racist clown @mike_pence @KellyannePolls @JoyAnnReid @maddow @Lawrence @chrislhayes @nbcnews";https://twitter.com/ahernandez2bak/status/795080383964463105
960993b9cfdffda9;Dmsnow800;2016-11-06 01:04;"Vote @realDonaldTrump .Stop these Killary supporters from ruining our Country! #MakeAmericaGreatAgain #whitehouse #TrumpPence16 #teamTrump pic.twitter.com/kzuuoR0puy";https://twitter.com/Dmsnow800/status/795054307099885569
960993b9cfdffda9;socalspud;2016-11-05 23:12;"@IngrahamAngle @realDonaldTrump #NEVERFORGET the hatchet job AP, CNN, & NBC did to Bernie the day b4 the Cali Primary !!!! #MSMLies";https://twitter.com/socalspud/status/795025934558449664
960993b9cfdffda9;SiSunkist58;2016-11-05 22:57;"@realDonaldTrump @TheIJR Our homeland security is Jeprodized because of her carelessness And Obamas hate of america.";https://twitter.com/SiSunkist58/status/795022360860426240
960993b9cfdffda9;ahernandez2bak;2016-11-05 19:57;"@kylegriffin1 @realDonaldTrump look perver everyone is getting on the #HillaryVictoryTrain @repjohnlewis @alfranken @JoyAnnReid @maddow @abc";https://twitter.com/ahernandez2bak/status/794976862338314240
960993b9cfdffda9;ahernandez2bak;2016-11-05 19:27;"@watertont @EricTrump @KellyannePolls @AJDelgado13 @realJeffreyLord @realDonaldTrump racist molester @JoyAnnReid @repjohnlewis @OfficialCBC";https://twitter.com/ahernandez2bak/status/794969474247970816
960993b9cfdffda9;ahernandez2bak;2016-11-05 19:26;"@jbarro @SpeakerRyan about time u attack #racisttrump @realDonaldTrump @KellyannePolls @StephenBannon @AJDelgado13 @JoyAnnReid @maddow @abc";https://twitter.com/ahernandez2bak/status/794969029257502720
960993b9cfdffda9;ahernandez2bak;2016-11-05 19:22;"@mishachfl @DailyNewsBin @realDonaldTrump what's new he's a pervert rapist @KellyannePolls @AJDelgado13 @JoyAnnReid @Oprah @latinorebels";https://twitter.com/ahernandez2bak/status/794968248064163840
960993b9cfdffda9;skwait;2016-11-05 18:23;"@CNBCFastMoney @MMFlint @realDonaldTrump it's not all about Wall Street. It's about the country and our security and standing #donaldtrump";https://twitter.com/skwait/status/794953183030218753
960993b9cfdffda9;ahernandez2bak;2016-11-05 18:19;"@Gregg093 @realDonaldTrump racist supports uneducated and if they only knew #trump was cutting foodstamps lol @JoyAnnReid @cnn @maddow @abc";https://twitter.com/ahernandez2bak/status/794952386779283456
