place;username;date;text;permalink
a592bd6ceb1319f7;3167SG;2016-11-14 15:58;"Just heard on @CNN that it's anticipated that @HillaryClinton will win the pop vote by over 1mil votes. Something VERY WRONG HERE";https://twitter.com/3167SG/status/798178245845786624
a592bd6ceb1319f7;contactl;2016-11-14 07:25;"@seanhannity @Scott4America @Blackdi51264299 @brianstelter @HillaryClinton Sean, u did great job esp when things were tough Big fan";https://twitter.com/contactl/status/798049108686573568
a592bd6ceb1319f7;CAAARRLL89;2016-11-14 01:38;"@sirvancelott @billclinton @HillaryClinton as...the moderate party? And get both dems and gop-ers? Or what";https://twitter.com/CAAARRLL89/status/797961838587617280
a592bd6ceb1319f7;Mike22Edwards;2016-11-14 01:26;"Why aren't @BarackObama and @HillaryClinton doing anything to stop all these riots? #draintheswamp #CrookedHillary #MAGA #Election2016";https://twitter.com/Mike22Edwards/status/797958918580236288
a592bd6ceb1319f7;jfountain2;2016-11-13 17:17;"@ekterry2 @AFGENational @AFLCIO @HillaryClinton http://www. eastcountymagazine.org/election-was-s tolen-%E2%80%93-here%E2%80%99s-how …";https://twitter.com/jfountain2/status/797835704189538305
a592bd6ceb1319f7;jfountain2;2016-11-13 17:15;"@kupajo322 @Oprah @CondoleezzaRice @IvankaTrump @LaraLeaTrump @KellyannePolls @TheView @HillaryClinton http://www. eastcountymagazine.org/election-was-s tolen-%E2%80%93-here%E2%80%99s-how …";https://twitter.com/jfountain2/status/797835261765787648
a592bd6ceb1319f7;Okeegator00;2016-11-13 06:34;"@endhomelesnes #1 = not electing @HillaryClinton . Next will be to have all those idiots make good on their promise and leave the US!";https://twitter.com/Okeegator00/status/797674086310637569
a592bd6ceb1319f7;Thefakeparisian;2016-11-13 05:55;"Omg!! Too soon i can't ... #stillwithher #iamwithher #dontgiveup @HillaryClinton https:// twitter.com/amyhatdell/sta tus/797662824478732288 …";https://twitter.com/Thefakeparisian/status/797664241645850624
a592bd6ceb1319f7;willcoxson46;2016-11-13 05:23;"@WestCoastMacero @POTUS @HillaryClinton Time to get tough on people rioting and damaging property in any protest . #timebehindbars";https://twitter.com/willcoxson46/status/797656161558200320
a592bd6ceb1319f7;MaryAJohnson;2016-11-13 02:38;"@roz233 @TheOriginalTKO @HillaryClinton So very true Roz.";https://twitter.com/MaryAJohnson/status/797614640695951360
a592bd6ceb1319f7;DreamingInCode;2016-11-12 21:42;"You sir, are unqualified for office #RealPresidential @realDonaldTrump @sergenyt @BarackObama @HillaryClinton @elizabethforma pic.twitter.com/XXyPea0Omu";https://twitter.com/DreamingInCode/status/797540187278446594
a592bd6ceb1319f7;vallgrass;2016-11-12 21:31;"@HillaryClinton YOU don't even read bible FAKE ass. Stop lying";https://twitter.com/vallgrass/status/797537241430036480
a592bd6ceb1319f7;iohhowirule;2016-11-12 19:09;"@HillaryClinton why are you not telling your voters to stop the violence, And protest peacefully, huh, huh?";https://twitter.com/iohhowirule/status/797501526260334592
a592bd6ceb1319f7;thorharris666;2016-11-12 18:57;"@HillaryClinton you won the popular vote . The American people reject this outcome . Demand it goes to Supreme Court .";https://twitter.com/thorharris666/status/797498491027136512
a592bd6ceb1319f7;jessica_ram16;2016-11-12 17:10;"Ok but if the US don't want @HillaryClinton can they give her to Mexico? They clearly need her.";https://twitter.com/jessica_ram16/status/797471729958297600
a592bd6ceb1319f7;RIMerideth;2016-11-12 16:48;"The new @SouthPark with @HillaryClinton loosing #dying #nailedit";https://twitter.com/RIMerideth/status/797465988186804224
a592bd6ceb1319f7;Haley_rkr101;2016-11-12 11:02;"@HillaryClinton you always have been, and always will be, my hero. Thanks for fighting my fight. #nevergiveup";https://twitter.com/Haley_rkr101/status/797378947793072128
a592bd6ceb1319f7;KenKommando;2016-11-12 09:24;"I'm just glad @HillaryClinton IS #NotMyPresident Thank you Jesus Joseph & Mohamed (from #90dayfiance ) #MAGA";https://twitter.com/KenKommando/status/797354402671493122
a592bd6ceb1319f7;DeannaKarter;2016-11-12 07:29;"@HillaryClinton I'm not even kidding, I want nothing to do with any of them.";https://twitter.com/DeannaKarter/status/797325379241320448
a592bd6ceb1319f7;DeannaKarter;2016-11-12 07:27;"@HillaryClinton That's ignorant. I didn't even do anything.";https://twitter.com/DeannaKarter/status/797325037074194432
a592bd6ceb1319f7;vallgrass;2016-11-12 04:16;"Worse losers @CNBC @HillaryClinton what is going on here? Are you going to tell people to stop this nonsense? Or wait for someone to die?";https://twitter.com/vallgrass/status/797276974150402048
a592bd6ceb1319f7;clickclackmoooo;2016-11-12 02:34;"Thanks for inspiring me @HillaryClinton";https://twitter.com/clickclackmoooo/status/797251307627159552
a592bd6ceb1319f7;contactl;2016-11-12 02:00;"@MikeHimsworth @HillaryClinton @YouTube I'm not as magnanimous as you. I'll wish her well when she helps to quell the demonstrations";https://twitter.com/contactl/status/797242552814403584
a592bd6ceb1319f7;OlafTheGodi;2016-11-11 22:42;"@vglitter @FrankLuntz @HillaryClinton , did what she does best, LOSE!!!";https://twitter.com/OlafTheGodi/status/797192902967324672
a592bd6ceb1319f7;thoppterman;2016-11-11 22:08;"@HillaryClinton I have to start an org to fight to protect minorities and groups that may be targeted by trump. Need funding to plan. Help.";https://twitter.com/thoppterman/status/797184292719734784
a592bd6ceb1319f7;HeyMollyB;2016-11-11 21:05;"You are my hero, @HillaryClinton .";https://twitter.com/HeyMollyB/status/797168290032291840
