place;username;date;text;permalink
a592bd6ceb1319f7;gradbhbar;2016-11-07 00:38;"@HillaryClinton They didn't come to see u. They came for the airheads Beyonce and Jay Z";https://twitter.com/gradbhbar/status/795409971160576000
a592bd6ceb1319f7;gradbhbar;2016-11-07 00:29;"@EvanHurst @Po_st @Wonkette @HillaryClinton Is still a criminal lyin douchbag. Nothing has changed except we know @jamescomey1 is stupid";https://twitter.com/gradbhbar/status/795407881327607809
a592bd6ceb1319f7;_J0RDAAAAAN;2016-11-06 23:40;"Children aren't stupid @HillaryClinton should be president. #VoteHillary #imwithher pic.twitter.com/zao1bIUcGF";https://twitter.com/_J0RDAAAAAN/status/795395528297037824
a592bd6ceb1319f7;OlafTheGodi;2016-11-06 23:27;"@marylouzamora54 @WAGNERGIRLE @FBI @HillaryClinton @BarackObama you are SAD & pitiful to take the side of a proven career criminal.";https://twitter.com/OlafTheGodi/status/795392132655648768
a592bd6ceb1319f7;RobertSchantz;2016-11-06 22:37;"Well dun. Shows that @HillaryClinton is ready to be Prez. #imwithher https:// twitter.com/cnnbrk/status/ 795363314658398209 …";https://twitter.com/RobertSchantz/status/795379580731170817
a592bd6ceb1319f7;TheFirstRanger;2016-11-06 22:24;"@FBI Director Comey has compromised his professional Integrity & sold out the agents who know @HillaryClinton should've faced a grand jury.";https://twitter.com/TheFirstRanger/status/795376252022464513
a592bd6ceb1319f7;SDPacificBeach;2016-11-06 22:19;"@HillaryClinton Comey: What a cheap trick. D's, need to vote & support down ballot candidates. We need progress, not obstruction. #hillary";https://twitter.com/SDPacificBeach/status/795374975335088128
a592bd6ceb1319f7;NancyLStagg;2016-11-06 21:35;"Some people decorate for the holidays..... not us! #vote for @HillaryClinton #GOTVforHRC pic.twitter.com/yfG5fOlEUq";https://twitter.com/NancyLStagg/status/795364011130822656
a592bd6ceb1319f7;lylahale;2016-11-06 21:17;"@Hillary_esp The #QueenOfLatinPop @paurubio supporting @HillaryClinton awesome! pic.twitter.com/17tenR0Awd";https://twitter.com/lylahale/status/795359523640741888
a592bd6ceb1319f7;aquart;2016-11-06 20:36;"@HillaryClinton I sure did.";https://twitter.com/aquart/status/795349115550846976
a592bd6ceb1319f7;TheFirstRanger;2016-11-06 19:00;"I don't care who you vote for as long as it is not @hillaryclinton #Disqualified #NationalSecurity #IndictHillary http://www. foxnews.com/politics/2016/ 11/06/clinton-directed-her-maid-to-print-out-classified-materials.html …";https://twitter.com/TheFirstRanger/status/795324911136800768
a592bd6ceb1319f7;michel_cara;2016-11-06 18:07;"In all honesty @realDonaldTrump the ultimate @AmericanGreedTV show >> Life of @HillaryClinton . Oh what a tangled web we weave.. #StopHillary";https://twitter.com/michel_cara/status/795311612164907008
a592bd6ceb1319f7;OlafTheGodi;2016-11-06 18:00;"@kupajo322 @HillaryClinton @BarackObama @georgesoros @CFR_org @SaudiEmbassyUSA @POTUS are you purposely in front of the masonic building?";https://twitter.com/OlafTheGodi/status/795309925400358913
a592bd6ceb1319f7;Rejento;2016-11-06 17:05;"(maid hands @HillaryClinton Top Secret docs) "I take classified information very seriously." http:// nypost.com/2016/11/06/cli nton-directed-her-maid-to-print-out-classified-materials/ …";https://twitter.com/Rejento/status/795296092069851136
a592bd6ceb1319f7;Kevin950;2016-11-06 16:54;"@timkaine @HillaryClinton Will not be voting for Crooked Hillary. Most corrupt incompetent racist and dishonest candidate ever. ABH! pic.twitter.com/vehfvOVkst";https://twitter.com/Kevin950/status/795293202425069569
a592bd6ceb1319f7;contactl;2016-11-06 16:36;"@HillaryClinton yeah but not a mother f****r";https://twitter.com/contactl/status/795288681443491840
a592bd6ceb1319f7;MichelleInCAL;2016-11-06 16:35;"@Amyatbeach I call bullshit that @HillaryClinton has ever done any pose other than the downward dog.";https://twitter.com/MichelleInCAL/status/795288407731601408
a592bd6ceb1319f7;MichelleInCAL;2016-11-06 16:31;"So @HillaryClinton didn't tell you the deleted emails about Chelsea's wedding were re: the Clinton charity foundation paying for it.";https://twitter.com/MichelleInCAL/status/795287489338478592
