place;username;date;text;permalink
a592bd6ceb1319f7;AnneOFarrell1;2016-11-15 00:32;"Set up a true blind trust. Honor the American people through reducing any conflict of interest @realDonaldTrump https:// twitter.com/juliannagoldma n/status/798289453940883457 …";https://twitter.com/AnneOFarrell1/status/798307529377792000
a592bd6ceb1319f7;aquart;2016-11-15 00:17;"@Evan_McMullin @realDonaldTrump @washingtonpost Why should they? They have every branch. Thanks for running,";https://twitter.com/aquart/status/798303964261335040
a592bd6ceb1319f7;stillgil1;2016-11-14 23:56;"@Joymar27 @PresidentTrump_ @realDonaldTrump @Tom_Winter surely you're having some doubts about Trump now talking to Russia that's scary";https://twitter.com/stillgil1/status/798298714699755520
a592bd6ceb1319f7;Nyxnyl;2016-11-14 23:31;"@realDonaldTrump https:// twitter.com/l__700/status/ 794134369522876417 …";https://twitter.com/Nyxnyl/status/798292389693530112
a592bd6ceb1319f7;seanlee88;2016-11-14 22:48;"Not even in the White House yet and @realDonaldTrump is already making small talk with Putin.";https://twitter.com/seanlee88/status/798281470947127298
a592bd6ceb1319f7;elverdugojusti;2016-11-14 22:06;"@OJPNIJ @NSF @realDonaldTrump";https://twitter.com/elverdugojusti/status/798270975305359360
a592bd6ceb1319f7;RevMacIntosh;2016-11-14 21:55;"@NotJoshEarnest @republikaAD 2/2 so you perpetuate violence on yourselves AND blame @realDonaldTrump orhis followers for what you did?douche";https://twitter.com/RevMacIntosh/status/798268146893221888
a592bd6ceb1319f7;314LoveMachine;2016-11-14 20:59;"@70torinoman @mannyaguilar10 U forgot No shopping BTW @realDonaldTrump is #NotMyPresident !, #TyTLive";https://twitter.com/314LoveMachine/status/798254093680525312
a592bd6ceb1319f7;RevMacIntosh;2016-11-14 20:41;"@oreillyfactor million illegals voted? so @realDonaldTrump won both popular AND electoral Votes? Will sanctuary politicians be charged?";https://twitter.com/RevMacIntosh/status/798249630567788544
a592bd6ceb1319f7;314LoveMachine;2016-11-14 20:10;"San Diego / San Ysidro #MondayMotivation Black Friday 11.25.16 @1PM @realDonaldTrump is #NotMyPresident ! #TyTLive https://www. facebook.com/events/1789114 171328883/ …";https://twitter.com/314LoveMachine/status/798241618444697600
a592bd6ceb1319f7;JojoYope;2016-11-14 18:10;"@realDonaldTrump @nytimes Can The Donald to be allowed to tweet. All those people on staff can someone say something.";https://twitter.com/JojoYope/status/798211413206450176
a592bd6ceb1319f7;Raji_Rabbit;2016-11-14 18:03;"@realDonaldTrump u won from the free media coverage . You're like an #UglyCinderella";https://twitter.com/Raji_Rabbit/status/798209787364134913
a592bd6ceb1319f7;kickiniteasy;2016-11-14 17:38;". @realDonaldTrump if "Stop it." doesn't work on a screaming toddler why do you think it's gonna work on adult Nazis? #StopIt #WeakSauce";https://twitter.com/kickiniteasy/status/798203425955581952
a592bd6ceb1319f7;kickiniteasy;2016-11-14 17:34;". @realDonaldTrump You must stop hate crimes w/ your name on them ASAP or history will slander & libel you long after you're too dead to sue.";https://twitter.com/kickiniteasy/status/798202480165146625
a592bd6ceb1319f7;3167SG;2016-11-14 17:06;"@realDonaldTrump dump your racist partner, Bannon. He does not represent all ppl.";https://twitter.com/3167SG/status/798195470833070080
a592bd6ceb1319f7;Media4LifeMin;2016-11-14 17:02;"@realDonaldTrump it's not about Hotel occupancy It's about our country #AmericaFirst #PresidentElectTrump will make things better 4 all https:// twitter.com/immigrant4trum p/status/797989955591028736 …";https://twitter.com/Media4LifeMin/status/798194420147331072
a592bd6ceb1319f7;MortgageReport;2016-11-14 16:56;"@realDonaldTrump : #MakeAmericaGreatAgain Liberals: "America was always great." Trump wins: liberals say "America has always been evil"";https://twitter.com/MortgageReport/status/798193012916400128
a592bd6ceb1319f7;alanwhite1000;2016-11-14 15:59;"@FemalesRPeople2 @Pastafarian1964 @realDonaldTrump I always agree with Pence";https://twitter.com/alanwhite1000/status/798178606966943745
a592bd6ceb1319f7;Kevin950;2016-11-14 15:56;"@ktmcfarland @realDonaldTrump We need you in the Trump Administration. A strong experienced hand in foreign affairs. The call will come soon";https://twitter.com/Kevin950/status/798177915452018688
a592bd6ceb1319f7;JSimsSD;2016-11-14 14:59;"@jujuju0791 @andersoncooper @JoyVBehar @tlrd if @realDonaldTrump had denounced hate we would not have this.";https://twitter.com/JSimsSD/status/798163367420514304
