place;username;date;text;permalink
a592bd6ceb1319f7;mashype76;2016-11-07 00:34;"Please release all of @newtgingrich emails as well just to be sure. Make sure to include @realDonaldTrump emails in that bucket to confirm.";https://twitter.com/mashype76/status/795408996639178752
a592bd6ceb1319f7;blendrealestate;2016-11-06 22:49;"Now that his campaign took away his Twitter account (true/very under reported), I am guessing it happened about 3 day ago @realDonaldTrump";https://twitter.com/blendrealestate/status/795382672256221185
a592bd6ceb1319f7;VBagate;2016-11-06 22:42;"HAPPENING NOW: @LindsayAWatts is live at @realDonaldTrump rally in #LeesburgVA . More @fox5dc at 6,10,11 pic.twitter.com/2x1hOtwmsQ";https://twitter.com/VBagate/status/795380965845729281
a592bd6ceb1319f7;JamesBrown1420;2016-11-06 22:39;"@realDonaldTrump - Sir, may I say from the bottom of my heart. Go Fuck Yourself. Thank you verrry mush";https://twitter.com/JamesBrown1420/status/795380007975587840
a592bd6ceb1319f7;riverinechop;2016-11-06 22:34;"@KirstenPowers @ABCPolitics @realDonaldTrump @ABC and their language and actions have been a lot worse-C embraces.";https://twitter.com/riverinechop/status/795378904533848065
a592bd6ceb1319f7;riverinechop;2016-11-06 22:33;"@brianstelter @BretBaier @ByronTau @realDonaldTrump @nytimes only because you are failing to cover the real story about C law breaking maid.";https://twitter.com/riverinechop/status/795378614623580161
a592bd6ceb1319f7;BaldeeLoks;2016-11-06 22:19;"@NewsThisSecond @realDonaldTrump kinda like your 'Grab 'em by the comments?? #Hypocrite";https://twitter.com/BaldeeLoks/status/795375168285642753
a592bd6ceb1319f7;CharlesFenway;2016-11-06 21:57;"@realDonaldTrump Rigged I say, rigged. Crooked Hillary controls the media and the FBI!! https:// twitter.com/AP_Politics/st atus/795361973751971841 …";https://twitter.com/CharlesFenway/status/795369440657293312
a592bd6ceb1319f7;navybluesmoke;2016-11-06 20:47;"@TeamTrump @realDonaldTrump I Pray All People WORLDWIDE ReTweet This Endlessly So You Can Show Ur Support 4 Legitimate Honorable Government";https://twitter.com/navybluesmoke/status/795351866406146048
a592bd6ceb1319f7;albertsamuel2;2016-11-06 19:37;"It all comes to an end here in America when @realDonaldTrump begins to #draintheswamp https:// twitter.com/carcarlosv/sta tus/795021567369494528 …";https://twitter.com/albertsamuel2/status/795334253743456256
a592bd6ceb1319f7;Media4LifeMin;2016-11-06 19:32;"@realDonaldTrump in 5 states 2day #CrookedHillary in 2 #LeBronJames & #JamesTaylor helping her failing campaign #Celebrities #VoteTrump";https://twitter.com/Media4LifeMin/status/795332932063797248
a592bd6ceb1319f7;Raji_Rabbit;2016-11-06 19:08;"@realDonaldTrump opens the way for NO EXPERIENCE NECESSARY government! #FuckIt I'll vote @kanyewest to rule the rubble that's left in 2020!";https://twitter.com/Raji_Rabbit/status/795327097342300161
a592bd6ceb1319f7;Raji_Rabbit;2016-11-06 19:07;"If u reward #Stupidity & support @realDonaldTrump u are opening the flood gates for ALL future campaigns to be based on Bullshit not policy";https://twitter.com/Raji_Rabbit/status/795326649881358336
a592bd6ceb1319f7;Raji_Rabbit;2016-11-06 18:51;"Poop emoji should have Donny boys haircut on it! @realDonaldTrump "You sir, are a piece of shit."";https://twitter.com/Raji_Rabbit/status/795322846826221568
a592bd6ceb1319f7;ironclaws101;2016-11-06 18:27;"@RepublicansSay1 @realDonaldTrump @boobooangel01 pic.twitter.com/Jtleu9CGEg";https://twitter.com/ironclaws101/status/795316729991659522
a592bd6ceb1319f7;ironclaws101;2016-11-06 18:25;"@realDonaldTrump @KellyannePolls @cnnbrk @ComedyCentral @FoxNews pic.twitter.com/v3kcpuGwjb";https://twitter.com/ironclaws101/status/795316160111620096
a592bd6ceb1319f7;michel_cara;2016-11-06 18:07;"In all honesty @realDonaldTrump the ultimate @AmericanGreedTV show >> Life of @HillaryClinton . Oh what a tangled web we weave.. #StopHillary";https://twitter.com/michel_cara/status/795311612164907008
a592bd6ceb1319f7;tshirtwoman19;2016-11-06 15:37;"Hillary's enormous baggage can sink a ship....FoxNews @GovMikeHuckabee @realDonaldTrump @seanhannity @HillaryClinton";https://twitter.com/tshirtwoman19/status/795273895569829888
a592bd6ceb1319f7;TurquoiseStef;2016-11-06 15:29;"@FoxNews just because dems r leading what makes u think they're all voting Clinton they could be voting @realDonaldTrump HA";https://twitter.com/TurquoiseStef/status/795271770961907712
a592bd6ceb1319f7;herrick_a;2016-11-06 08:03;"@dancingbeanbob @TheFreshBrew @realDonaldTrump Our local news took the story seriously.What a farce!Huxter wanting drama!";https://twitter.com/herrick_a/status/795159554602344448
a592bd6ceb1319f7;contactl;2016-11-06 08:01;"@realDonaldTrump https:// wikileaks.org/podesta-emails/";https://twitter.com/contactl/status/795159123734077441
a592bd6ceb1319f7;JohnDuKoolKid;2016-11-06 06:54;"@gopquay Hey man, there should be more people like you. It's amazing how you still support @realDonaldTrump ater all those death threats.";https://twitter.com/JohnDuKoolKid/status/795142334451023873
