place;username;date;text;permalink
ab2f2fac83aa388d;tomjanci;2016-11-14 23:41;"@politico @HillaryClinton Perhaps consider talking to the voters who aren't sitting in front of a computer all day?";https://twitter.com/tomjanci/status/798294862294417408
ab2f2fac83aa388d;pangorian;2016-11-14 19:48;"@seanhannity @CNN @HillaryClinton Yes, the fact of the bias is clearly evident with their admitted actions.";https://twitter.com/pangorian/status/798236108089761792
ab2f2fac83aa388d;jeantemplin;2016-11-14 01:24;"@HillaryClinton we are continuing the fight #handsaroundlakemerritt we will keep lady liberty safe pic.twitter.com/zFpz44mdZj";https://twitter.com/jeantemplin/status/797958439800426496
ab2f2fac83aa388d;alearrr;2016-11-13 06:11;"@HillaryClinton , you should just say fuck it & become a full time activist to amend for your sins. We will support you on your journey";https://twitter.com/alearrr/status/797668133926408193
ab2f2fac83aa388d;akornblatt;2016-11-13 01:56;"@EricLiptonNYT @amychozick seriously @HillaryClinton , where was the GOTV effort? How did you motivate the electorate?";https://twitter.com/akornblatt/status/797604096056270852
ab2f2fac83aa388d;DianaSpatz;2016-11-12 20:52;"More people voted for @HillaryClinton than voted for @realDonaldTrump . That makes #Trump a loser. https:// twitter.com/surf71/status/ 797523935579504640 …";https://twitter.com/DianaSpatz/status/797527398673567744
ab2f2fac83aa388d;Jason_Morrow;2016-11-12 17:53;"@jacktregim @HillaryClinton @businessinsider No, just you.";https://twitter.com/Jason_Morrow/status/797482362284032001
ab2f2fac83aa388d;SportsHackCA;2016-11-12 17:02;"@TrumpNation22 @HillaryClinton gullible gullible gullible...oh my god you actually believed retweeted??? Wow.";https://twitter.com/SportsHackCA/status/797469663609298944
ab2f2fac83aa388d;SportsHackCA;2016-11-12 17:01;"@TrumpNation22 @HillaryClinton do you see how easily you fell into that. You seriously think I get paid for Twitter tweeting??? I wish.";https://twitter.com/SportsHackCA/status/797469368141524995
ab2f2fac83aa388d;Jason_Morrow;2016-11-12 16:11;"@jacktregim @HillaryClinton @businessinsider Or just blame ignorant morons that voted for Trump.";https://twitter.com/Jason_Morrow/status/797456906637844482
ab2f2fac83aa388d;hurn_richard;2016-11-12 08:49;"@just_jenna @HillaryClinton A 1000 roses for your arrogant feckless machine that put a facist government in control of America. Dismal DNC";https://twitter.com/hurn_richard/status/797345509203578880
ab2f2fac83aa388d;hurn_richard;2016-11-12 06:31;"@just_jenna @HillaryClinton you assholes did this pic.twitter.com/BKfx5rILeZ";https://twitter.com/hurn_richard/status/797310816282251264
ab2f2fac83aa388d;makingwavs;2016-11-12 05:24;"Electoral College Electors: Make @HillaryClinton President on December 19 https:// goo.gl/2zWZex #NeverTrump #DumpTrump @Change";https://twitter.com/makingwavs/status/797294027741614080
ab2f2fac83aa388d;ReelDancing;2016-11-11 23:33;"Me neither! @HillaryClinton #imstillwithher https:// twitter.com/ronthinkblog/s tatus/796535559120388096 …";https://twitter.com/ReelDancing/status/797205739970260993
ab2f2fac83aa388d;ToniTarango;2016-11-11 22:08;"@HillaryClinton I feel sick every time I think about the Pres-Elect! This feels like deep grief, I know you understand! #notmyprsident";https://twitter.com/ToniTarango/status/797184183470673920
ab2f2fac83aa388d;DianaSpatz;2016-11-11 08:55;"@SheriffClarke The majority of voters chose @HillaryClinton . You #Trump supporters have such a hard time with facts.";https://twitter.com/DianaSpatz/status/796984735201259520
ab2f2fac83aa388d;DianaSpatz;2016-11-11 07:08;"@DarkKingZoro @jlbynum @HillaryClinton Besides that, there's the fact that a primary is not the same thing as an election. Not at all.";https://twitter.com/DianaSpatz/status/796957871913070592
ab2f2fac83aa388d;nefaeriest;2016-11-11 06:50;"@HillaryClinton supporters- peaceful marchers are trapped by cops- y'all need to stand up to this oppression";https://twitter.com/nefaeriest/status/796953287543001088
ab2f2fac83aa388d;nefaeriest;2016-11-11 04:56;"dear @HillaryClinton supporters- i get y'all upset- but yalls "communities" are under attack- & y'all aren't standing up 4 the marginalized";https://twitter.com/nefaeriest/status/796924445050818560
ab2f2fac83aa388d;sippey;2016-11-11 02:42;"@tatiana @HillaryClinton tearing up. Can you imagine?";https://twitter.com/sippey/status/796890881898909697
ab2f2fac83aa388d;ReelDancing;2016-11-11 01:02;"@paulboy thank you for sharing. I needed to see it too! Love to @HillaryClinton";https://twitter.com/ReelDancing/status/796865718926995457
ab2f2fac83aa388d;DianaSpatz;2016-11-10 22:34;"@DarkKingZoro @jlbynum @HillaryClinton Welp.";https://twitter.com/DianaSpatz/status/796828461050437632
ab2f2fac83aa388d;meredithsteele;2016-11-10 20:36;"I'm coping with a vision in my head of @HillaryClinton just letting it all go and shooting the breeze with @maddow over oysters and beer.";https://twitter.com/meredithsteele/status/796798787779858432
ab2f2fac83aa388d;pangorian;2016-11-10 17:30;"if they are serious about supporting democracy why are @HillaryClinton and @johnpodesta not denouncing the protestors. #enemiesofthepeople";https://twitter.com/pangorian/status/796751968614105089
ab2f2fac83aa388d;lylawarren;2016-11-10 05:58;"@HillaryClinton thk u so much for all you've done. You r a beacon & inspiration My heart is broken for America. All my love & thx to u";https://twitter.com/lylawarren/status/796577809246236672
ab2f2fac83aa388d;CarrieLederer;2016-11-10 05:11;"Feeling disconsolate. #wefailed #thefutureisbright #thankyou @HillaryClinton pic.twitter.com/M7U1d43Xmx";https://twitter.com/CarrieLederer/status/796565909158535168
ab2f2fac83aa388d;GillianNBC;2016-11-10 03:32;". @HillaryClinton supporter here says she won't give up. #VotesForWomen pic.twitter.com/PlHmg6usy7";https://twitter.com/GillianNBC/status/796540968522498048
ab2f2fac83aa388d;DianaSpatz;2016-11-10 03:23;"@HillaryClinton won the popular vote. Technically that makes #Trump a loser. #TrumpProtest";https://twitter.com/DianaSpatz/status/796538697755676672
ab2f2fac83aa388d;fogelnet;2016-11-10 03:17;"Hey @POTUS pardon @HillaryClinton and fire Comey. Time to play hardball.";https://twitter.com/fogelnet/status/796537218177171456
ab2f2fac83aa388d;DianaSpatz;2016-11-10 03:16;"@realDonaldTrump is not the winner. More Americans voted for @HillaryClinton than for #Trump #NotMyPresident";https://twitter.com/DianaSpatz/status/796536865004212224
ab2f2fac83aa388d;sydneylai;2016-11-10 02:47;"@HillaryClinton thank you for being a great role model, your drive, and fighting for all of us <3 I love you";https://twitter.com/sydneylai/status/796529583306719233
ab2f2fac83aa388d;ReelDancing;2016-11-10 01:35;"@HillaryClinton @HillaryIn2016 Thank You Hillary for everything!!";https://twitter.com/ReelDancing/status/796511440114827265
ab2f2fac83aa388d;aaronc_smith;2016-11-10 01:05;"I get @BarackObama & @HillaryClinton calling unity for Trump. But ppl should peacefully resist. fight for ideals & decency #notmypresident";https://twitter.com/aaronc_smith/status/796504049965142016
ab2f2fac83aa388d;ReelDancing;2016-11-10 00:55;"@HillaryClinton @HillaryIn2016 Love you Hillary!!!";https://twitter.com/ReelDancing/status/796501526076231680
ab2f2fac83aa388d;hurn_richard;2016-11-09 20:15;"@HillaryClinton @just_jenna thanku 4 showing the world how spineless useless & inept you r. U set back our republic for 30 yrs. Shame&tears pic.twitter.com/L0476jf76F";https://twitter.com/hurn_richard/status/796431144161976320
ab2f2fac83aa388d;johndoe;2016-11-09 19:03;"sad thought: i only could've celebrated a narrow win for @HillaryClinton for a very short time knowing the shitstorm congress would've been… https:// twitter.com/abc/status/796 393635667292162 …";https://twitter.com/johndoe/status/796412826113875968
ab2f2fac83aa388d;ElleSegal;2016-11-09 18:32;"@JBeantheQueen thanks. I hope Hannah can grow up with role models like @HillaryClinton .";https://twitter.com/ElleSegal/status/796405215704428544
ab2f2fac83aa388d;lisaschultz3000;2016-11-09 18:32;""Never stop believing that fighting for what's right is worth it." - @HillaryClinton";https://twitter.com/lisaschultz3000/status/796405113204019200
ab2f2fac83aa388d;klarafications;2016-11-09 18:15;""Never stop believing that fighting for what is right is worth it" - @HillaryClinton";https://twitter.com/klarafications/status/796400826864406528
ab2f2fac83aa388d;dotevan;2016-11-09 18:10;"@HillaryClinton Thank you.";https://twitter.com/dotevan/status/796399623577309186
ab2f2fac83aa388d;FaviolaLeyva;2016-11-09 17:54;"Clinton wants to remind all the young people, "fighting for what's right is worth it." - @HillaryClinton";https://twitter.com/FaviolaLeyva/status/796395593413238789
ab2f2fac83aa388d;kristinhull;2016-11-09 17:53;"To all the little girls: Never doubt you are powerful and valuable and worthy of pursuing your own dreams. @HillaryClinton";https://twitter.com/kristinhull/status/796395183575212032
ab2f2fac83aa388d;adamevers;2016-11-09 17:51;""Please never stop believing that fighting for what's right is worth it" - @HillaryClinton pic.twitter.com/H6xT3hGYTh";https://twitter.com/adamevers/status/796394678073466880
ab2f2fac83aa388d;kristinhull;2016-11-09 17:46;""The #AmericanDream is big enough for everyone." Beautiful, insightful speech by @HillaryClinton #pantsuitnation";https://twitter.com/kristinhull/status/796393412970704898
ab2f2fac83aa388d;Fritinancy;2016-11-09 17:45;"This is a beautiful, stirring speech by @HillaryClinton .";https://twitter.com/Fritinancy/status/796393357664612352
