place;username;date;text;permalink
ab2f2fac83aa388d;danielle92118;2016-11-07 00:56;"@WDFx2EU8 @POTUS @HillaryClinton Now THIS is just psychotic!. Skipping tireless again?";https://twitter.com/danielle92118/status/795414509221384193
ab2f2fac83aa388d;SovernNation;2016-11-06 22:02;"That final @HillaryClinton rally in Philly just got a lot more celebratory: Bruce @springsteen to perform, along w/ @BonJovi (Clinching NJ)";https://twitter.com/SovernNation/status/795370916695789568
ab2f2fac83aa388d;brooksjordan;2016-11-06 19:45;". @Oakland @HillaryClinton @WhiteHouse It was more satisfying, even emotional, to vote this election than any before. Let's do this. pic.twitter.com/Vm3aC4Jjws";https://twitter.com/brooksjordan/status/795336262261489664
ab2f2fac83aa388d;holtz_mish;2016-11-06 19:30;"@HillaryClinton @realDonaldTrump @JessLivMo Went to gun show talked to folks. I saw HRC kill target. Don, you think that's ok? #ImWithHer";https://twitter.com/holtz_mish/status/795332498171379712
ab2f2fac83aa388d;danielle92118;2016-11-06 16:19;"@insurancegrrl @HillaryClinton @JudgeJeanine @FoxNews Repubs could end their 30 year reign of terror against HRC after $100 mil. wasted!";https://twitter.com/danielle92118/status/795284481288519680
ab2f2fac83aa388d;ROADHUSTLA;2016-11-06 13:06;"@TeamTrump @realDonaldTrump @HillaryClinton A military member should know better than to take pictures of classified equipment.";https://twitter.com/ROADHUSTLA/status/795235829652164610
ab2f2fac83aa388d;MonkeeCharms19;2016-11-06 07:14;"Can't wait to finally call her Madam President. #ImWithHer @HillaryClinton #HillaryClinton https:// twitter.com/hillaryclinton /status/795003547968385024 …";https://twitter.com/MonkeeCharms19/status/795147423450468352
ab2f2fac83aa388d;timoreilly;2016-11-06 02:57;"@jamesabernard @HillaryClinton @davidfrum Problems with her past are mostly a GOP fiction and power play, just like with Obama";https://twitter.com/timoreilly/status/795082740487946241
ab2f2fac83aa388d;SovernNation;2016-11-05 22:21;". @HillaryClinton will close her campaign with rally in Philly, then midnight rally in Raleigh. She knows if she holds those states, she wins";https://twitter.com/SovernNation/status/795013235116109824
ab2f2fac83aa388d;chialinsimmons;2016-11-05 04:48;"@Nerdz4Hillary so close to goal. Join me on the Nerdz wall! http://www. nerdz4hillary.com/nerdz-wall/ @ImwithHer2016 @HFA @HillaryClinton";https://twitter.com/chialinsimmons/status/794748185151320064
