place;username;date;text;permalink
ab2f2fac83aa388d;fcastaldini;2016-11-06 21:56;"In @realDonaldTrump own words, "You're Fired" https:// twitter.com/karaswisher/st atus/795367228451352576 …";https://twitter.com/fcastaldini/status/795369380406099969
ab2f2fac83aa388d;holtz_mish;2016-11-06 19:30;"@HillaryClinton @realDonaldTrump @JessLivMo Went to gun show talked to folks. I saw HRC kill target. Don, you think that's ok? #ImWithHer";https://twitter.com/holtz_mish/status/795332498171379712
ab2f2fac83aa388d;DianaSpatz;2016-11-06 18:40;"@CameronCulp12 @realDonaldTrump @RynoStephens @Cubs And the state of NY sanctioned his illegally run "foundation" so";https://twitter.com/DianaSpatz/status/795319890605326336
ab2f2fac83aa388d;DianaSpatz;2016-11-06 18:39;"@CameronCulp12 @realDonaldTrump @RynoStephens @Cubs I was a nonprofit CEO for 20+ years. I know what illegal & unethical practices are.";https://twitter.com/DianaSpatz/status/795319665593434113
ab2f2fac83aa388d;DianaSpatz;2016-11-06 18:02;"@CameronCulp12 @realDonaldTrump @RynoStephens @Cubs https://www. google.com/amp/www.vox.co m/platform/amp/policy-and-politics/2016/10/31/13474280/trump-foundation-criminal-charges?client=safari …";https://twitter.com/DianaSpatz/status/795310382449496064
ab2f2fac83aa388d;ROADHUSTLA;2016-11-06 13:17;"@realDonaldTrump LOLOL TRUMP HAS NOT DONE ONE OF THOSE THINGS!";https://twitter.com/ROADHUSTLA/status/795238569166016516
ab2f2fac83aa388d;ROADHUSTLA;2016-11-06 13:15;"@realDonaldTrump @pw_cunningham Trump is a #assclown I know this because I've seen one or I didn't I could be wrong but I think I right!";https://twitter.com/ROADHUSTLA/status/795238076507299840
ab2f2fac83aa388d;ROADHUSTLA;2016-11-06 13:11;"@realDonaldTrump Based on what? The #Emperorhasnoclothing";https://twitter.com/ROADHUSTLA/status/795237185519656960
ab2f2fac83aa388d;ROADHUSTLA;2016-11-06 13:10;"@realDonaldTrump @PYNance @pdpryor1 @CissieGLynch @SaysGabrielle I will pray for them because them support Trump.";https://twitter.com/ROADHUSTLA/status/795236908808826880
ab2f2fac83aa388d;ROADHUSTLA;2016-11-06 13:09;"@T_Lineberger @realDonaldTrump @IvankaTrump More people with less notice WOW! Sounds more like a rave then A PLANNED EVENT! #AssClowns";https://twitter.com/ROADHUSTLA/status/795236571142176768
ab2f2fac83aa388d;ROADHUSTLA;2016-11-06 13:07;"@realDonaldTrump With want Trump University. #AssClown";https://twitter.com/ROADHUSTLA/status/795236097240354816
ab2f2fac83aa388d;ROADHUSTLA;2016-11-06 13:06;"@TeamTrump @realDonaldTrump @HillaryClinton A military member should know better than to take pictures of classified equipment.";https://twitter.com/ROADHUSTLA/status/795235829652164610
ab2f2fac83aa388d;ROADHUSTLA;2016-11-06 13:03;"@realDonaldTrump #Jackass";https://twitter.com/ROADHUSTLA/status/795235255015743488
ab2f2fac83aa388d;ROADHUSTLA;2016-11-06 13:01;"@NeilTurner_ @realDonaldTrump You guys are clowns!";https://twitter.com/ROADHUSTLA/status/795234768820453376
ab2f2fac83aa388d;danielle92118;2016-11-06 07:41;"@realDonaldTrump hahaha";https://twitter.com/danielle92118/status/795154154851221504
ab2f2fac83aa388d;danielle92118;2016-11-06 03:18;"@JuddLegum @ChadLivengood @TedNugent @realDonaldTrump Excuse while I vomit";https://twitter.com/danielle92118/status/795087823426621440
