place;username;date;text;permalink
b71fac2ee9792cbe;T_A_Hamilton;2016-11-06 16:50;"@Reince @realDonaldTrump Great job on #facethenation";https://twitter.com/T_A_Hamilton/status/795292326553735169
b71fac2ee9792cbe;MrToaste;2016-11-06 09:22;". @Project_Veritas @InfoWars @PrisionPlanet @RogerJStoneJr @RealDonaldTrump Voter Fraud Voter Fraud https:// twitter.com/damaninthearen a/status/795149558439243776 …";https://twitter.com/MrToaste/status/795179562782949376
b71fac2ee9792cbe;hwmnylx69;2016-11-06 04:34;"http://www. huffingtonpost.com/entry/donald-t rump-hispanic-voters_us_581e71e6e4b0e80b02ca823a … @realDonaldTrump U R RIGHT it is a RIGGED SYS. The SYSTEM is being RIGGED by YOU & the GOP'S. STOP WHINING DUMBASS!";https://twitter.com/hwmnylx69/status/795106969711353856
b71fac2ee9792cbe;ExistentialPunk;2016-11-06 02:19;"@rudygiulianiGOP @realDonaldTrump @HuffPostPol overly sensitive? Are you kidding me? #racist #insensitive #asshole";https://twitter.com/ExistentialPunk/status/795073083216273408
b71fac2ee9792cbe;Amazingk911;2016-11-06 00:27;"@realDonaldTrump @veganvecoh Ohio?";https://twitter.com/Amazingk911/status/795044813032693760
b71fac2ee9792cbe;hwmnylx69;2016-11-05 21:42;"https:// gma.yahoo.com/trump-bashes-o bama-screaming-protester-wasnt-012702326--abc-news-topstories.html … HEY @realDonaldTrump besides being a RABID STD, U R STUPID, DUMB, IDIOTIC and a ORANGE PIG W/UGLY ORANGE LIPSTICK!!";https://twitter.com/hwmnylx69/status/795003464124219392
b71fac2ee9792cbe;SMFPitt;2016-11-05 20:28;"@newtgingrich @RealBenCarson @realDonaldTrump wow what a concept";https://twitter.com/SMFPitt/status/794984667644473344
b71fac2ee9792cbe;ExistentialPunk;2016-11-05 19:36;"@realDonaldTrump is a stupid liar! https:// twitter.com/toddzwillich/s tatus/794718538963582976 …";https://twitter.com/ExistentialPunk/status/794971762517643264
b71fac2ee9792cbe;GAngelo;2016-11-05 18:32;"@realDonaldTrump";https://twitter.com/GAngelo/status/794955567815004160
b71fac2ee9792cbe;GraceJPDizon1;2016-11-05 16:05;"@FoxNews @realDonaldTrump Brainwash manipulate people don't work Rigth..Basta!";https://twitter.com/GraceJPDizon1/status/794918617691209730
b71fac2ee9792cbe;GraceJPDizon1;2016-11-05 16:03;"@FoxNews @realDonaldTrump wrong. You. if you win is a shame worldwide. A racist RICH to http:// riches.vote Hillary Clinton. BASTA!.";https://twitter.com/GraceJPDizon1/status/794918073031458817
b71fac2ee9792cbe;SMFPitt;2016-11-05 15:06;"@dmartosko @DonaldJTrumpJr not true @realDonaldTrump gets real celebrities at his rallies to speak, American people! http://www. realclearpolitics.com/video/2016/11/ 04/parents_of_pro-trump_son_riley_rone_killed_rally_vote_for_trump_honor.html …";https://twitter.com/SMFPitt/status/794903657447768068
b71fac2ee9792cbe;CHURCHLADY320;2016-11-05 08:02;"@Jack2John @shmr50 @realDonaldTrump Trump's entire life is stolen valor.";https://twitter.com/CHURCHLADY320/status/794796920241721344
b71fac2ee9792cbe;GANGSTALEENE;2016-11-05 06:58;". @realDonaldTrump Our national debt is $19 trillion and growing. What's your fiscal plan? #AskForAPlan https:// cards.twitter.com/cards/18ce54av k5k/1yhb5 …";https://twitter.com/GANGSTALEENE/status/794780987628498944
