place;username;date;text;permalink
c3f37afa9efcf94b;alexmackenziesf;2016-11-07 00:56;"@JustGoForIt @alaskantexanQCT @HillaryClinton based on what? The @FBI ? @StateDept ? Or just your opinion or @realDonaldTrump";https://twitter.com/alexmackenziesf/status/795414514053369857
c3f37afa9efcf94b;RudyEngland;2016-11-06 23:11;"Comey: @HillaryClinton won't face charges for new emails | @HuffPostPol http://www. huffingtonpost.com/entry/james-co mey-congress-emails_us_581f8ff5e4b0aac62485196a?ncid=engmodushpmg00000004 …";https://twitter.com/RudyEngland/status/795388063421779968
c3f37afa9efcf94b;frederickwalser;2016-11-06 23:06;"@KellyannePolls @HillaryClinton @nypost Corrupt Donnie and his Corrupt Team. pic.twitter.com/ZTzNRVsMH6";https://twitter.com/frederickwalser/status/795386873069928448
c3f37afa9efcf94b;MontserratVPEDA;2016-11-06 22:56;". @TexasAFT Alicia, ACC-AFT member making calls for @HillaryClinton #AFT4Hillary @louismalfaro @AFTunion @rweingarten @mcricker #UnionProud pic.twitter.com/0JOAmS9FTq";https://twitter.com/MontserratVPEDA/status/795384399110041600
c3f37afa9efcf94b;MontserratVPEDA;2016-11-06 22:26;"Orgullosa de mi mamá por tener valentía de hacer llamadas por nuestra candidata @HillaryClinton @UniPolitica @ahora_si @jorgeramosnews pic.twitter.com/PZywT5cqE7";https://twitter.com/MontserratVPEDA/status/795376773810819073
c3f37afa9efcf94b;FlyingSaucerAus;2016-11-06 22:18;"@HillaryClinton has jumped to a sizable lead over @realDonaldTrump . 198 to 175....plenty of glasses left come cast your vote!!";https://twitter.com/FlyingSaucerAus/status/795374898864594944
c3f37afa9efcf94b;JustinDavishere;2016-11-06 22:17;"@realDonaldTrump , surrogates, and right-wing media? Plan to talk of proof again of no charges for @HillaryClinton http://www. bbc.com/news/election- us-2016-37892138 …";https://twitter.com/JustinDavishere/status/795374506500091904
c3f37afa9efcf94b;TiffanyAliano;2016-11-06 22:05;"@edislive420 @HillaryClinton I'm an investigative reporter and have followed non-profit scandal for almost 10 years. Programmed much? Ts tsk";https://twitter.com/TiffanyAliano/status/795371474576179204
c3f37afa9efcf94b;TiffanyAliano;2016-11-06 22:03;"@edislive420 @HillaryClinton Still insulting, assuming and expressing your lack of logical reasoning. Are all HC supporters as slow as you?";https://twitter.com/TiffanyAliano/status/795371106089791488
c3f37afa9efcf94b;TiffanyAliano;2016-11-06 22:01;"@edislive420 @HillaryClinton I don't watch TV at all sunshine. Keep assuming darling u will assume this country to its grave with stupidity";https://twitter.com/TiffanyAliano/status/795370619995095040
c3f37afa9efcf94b;TiffanyAliano;2016-11-06 21:57;"@edislive420 @HillaryClinton And still you have absolutely nothing intellegent or fact driven to express. I feel so sorry for you,poor thing";https://twitter.com/TiffanyAliano/status/795369608718991361
c3f37afa9efcf94b;MontserratVPEDA;2016-11-06 21:56;". @rweingarten @mcricker @AFTunion @TexasAFT my mom & I are making calls 2 Florida in support of @HillaryClinton #AFT4Hillary #IamWithHer pic.twitter.com/0nb4JW0l0j";https://twitter.com/MontserratVPEDA/status/795369171542536192
c3f37afa9efcf94b;JRausch_Aggie94;2016-11-06 21:31;"@EricBandRakim @HillaryClinton @POTUS You just lost $$ from old school fans like me. Trust me, there are thousands of us. #mistake";https://twitter.com/JRausch_Aggie94/status/795363049246965760
c3f37afa9efcf94b;frederickwalser;2016-11-06 21:25;"@RealAlexJones @HillaryClinton pic.twitter.com/9k6XLlpsH2";https://twitter.com/frederickwalser/status/795361430237224960
c3f37afa9efcf94b;TiffanyAliano;2016-11-06 20:49;"@edislive420 @HillaryClinton How come HC supporters just insult rather than debate with fact? She has a very mindless cult like following";https://twitter.com/TiffanyAliano/status/795352479173066752
c3f37afa9efcf94b;TiffanyAliano;2016-11-06 20:47;"@edislive420 @HillaryClinton I'm not rooting for Trump are you illiterate or illogical. Both Hillary and Trump are not fit as US Leaders";https://twitter.com/TiffanyAliano/status/795352027589181440
c3f37afa9efcf94b;gortnacul_house;2016-11-06 19:22;""If you defend @HillaryClinton & ignore @WikiLeaks , you have something in common with @SarahPalinUSA ." http://www. denverpost.com/2016/11/02/its -ignorant-to-vote-for-hillary-clinton-without-reading-wikileaks/ … @denverpost";https://twitter.com/gortnacul_house/status/795330593676464128
c3f37afa9efcf94b;ShayAustin7;2016-11-06 19:10;"@JamesOKeefeIII @USAforTrump2016 @POTUS @rbcreamer @HillaryClinton @Olivianuzzi /Not at ALL Trumps Manner! He is against";https://twitter.com/ShayAustin7/status/795327592668794880
c3f37afa9efcf94b;TiffanyAliano;2016-11-06 19:04;"@edislive420 @HillaryClinton Who is orange menace? Why can't you clinton trolls stay on topic? #Childish #Fallacy";https://twitter.com/TiffanyAliano/status/795326120010850305
c3f37afa9efcf94b;TiffanyAliano;2016-11-06 19:02;"@edislive420 @HillaryClinton Wow!Eastern star much? SMFH";https://twitter.com/TiffanyAliano/status/795325528907677696
c3f37afa9efcf94b;TiffanyAliano;2016-11-06 18:55;"@edislive420 @HillaryClinton please save your prayers for yourself, you're going to need them after this election.";https://twitter.com/TiffanyAliano/status/795323659682533376
c3f37afa9efcf94b;Nick_Tripoli;2016-11-06 18:47;"@HillaryClinton @POTUS @BarackObama I wish I had my button & sticker from '08. It's been an AMAZING 8 yrs! Thank you. #ReadyforHillary pic.twitter.com/avgJtUwQ6o";https://twitter.com/Nick_Tripoli/status/795321735092588544
c3f37afa9efcf94b;AllenBlakemore;2016-11-06 18:41;"MUST READ: @HillaryClinton directed her maid to print out classified materials http:// nyp.st/2fqghOH via @nypost #MAGA #txlege";https://twitter.com/AllenBlakemore/status/795320178796036097
c3f37afa9efcf94b;dj_dwjohns1;2016-11-06 18:29;"We are Coming @HillaryClinton #anonymous no longer. pic.twitter.com/HBD3BuGTDw";https://twitter.com/dj_dwjohns1/status/795317206234132480
c3f37afa9efcf94b;dj_dwjohns1;2016-11-06 18:13;"We are Coming for HER Soon @HillaryClinton pic.twitter.com/cSSBkLkc2z";https://twitter.com/dj_dwjohns1/status/795313278159298561
c3f37afa9efcf94b;LisaSartin;2016-11-06 17:51;"If @HillaryClinton wins, Trump will blame @KellyannePolls with a vengeance! I just hope she didn't sign away her book rights!";https://twitter.com/LisaSartin/status/795307577378795520
c3f37afa9efcf94b;Nick_Tripoli;2016-11-06 17:37;"@FlaDems @HillaryClinton I love her so much!! Voted for Hillary during TX Early Voting. #ImWithHer";https://twitter.com/Nick_Tripoli/status/795304095305400321
c3f37afa9efcf94b;dj_dwjohns1;2016-11-06 17:36;"We are Coming...All of us... @HillaryClinton https:// twitter.com/qwestie/status /795301168436088832 …";https://twitter.com/dj_dwjohns1/status/795303845706563584
c3f37afa9efcf94b;dj_dwjohns1;2016-11-06 17:16;"@ExplosionNews0 @HillaryClinton was non-impressive @Yale failed DC Bar, kicked of Watergate and had to "slum it in AR politics" HER words";https://twitter.com/dj_dwjohns1/status/795298905676283904
c3f37afa9efcf94b;dj_dwjohns1;2016-11-06 16:50;"@HillaryClinton supporters PLEASE INVESTIGATE FOR YOURSELVES: MSM IS LYING TO YOU AND YOUR REALLY ACTUALLY BRAINWASHED @nytimes @MSNBC @CNN pic.twitter.com/I2GftvAwD0";https://twitter.com/dj_dwjohns1/status/795292212330459136
c3f37afa9efcf94b;dj_dwjohns1;2016-11-06 16:45;""Condemnation w/o Investigation = Height of Ignorance" @HillaryClinton supporters please WAKE UP & INVESTIGATE: YOUR BEING LIED TOO BY MSM";https://twitter.com/dj_dwjohns1/status/795291077817331712
c3f37afa9efcf94b;SanAntoGuera;2016-11-06 16:17;"Sunday Morning Love & Happiness! You Got This @HillaryClinton pic.twitter.com/JloRZiJUoL";https://twitter.com/SanAntoGuera/status/795283974683758597
c3f37afa9efcf94b;michele_missner;2016-11-06 15:27;"@HillaryClinton Obama is a terrific role model@for parents. And I think Clinton is too";https://twitter.com/michele_missner/status/795271312902160388
c3f37afa9efcf94b;dj_dwjohns1;2016-11-06 14:39;"@sunnyallamerica Did you actually read the article, author is mocking Trumoers not @HillaryClinton";https://twitter.com/dj_dwjohns1/status/795259227728134145
c3f37afa9efcf94b;frederickwalser;2016-11-06 14:02;"@HunterHRC2016 @TruthinGov2016 @peterdaou @HillaryClinton @FLOTUS @CNN pic.twitter.com/xMIGUCKmtG";https://twitter.com/frederickwalser/status/795249930986196992
c3f37afa9efcf94b;dj_dwjohns1;2016-11-06 13:53;"@VaguelyFunnyDan you're a fucked up individual. Wake up. I'm sure @HillaryClinton would love to eat you kid";https://twitter.com/dj_dwjohns1/status/795247625440268288
c3f37afa9efcf94b;dj_dwjohns1;2016-11-06 13:11;"@JamesOKeefeIII @1corrupthillary @HillaryClinton @donnabrazile @rbcreamer fucking Creamer, you haven't shit your mouth yet? Soon very soon";https://twitter.com/dj_dwjohns1/status/795237176984408064
c3f37afa9efcf94b;TiffanyAliano;2016-11-06 07:39;"@WakeupNeo1 @hwmnylx69 @HillaryClinton Insulting terms just discredits your argument and it's not slanderous if it's facts lil offended one.";https://twitter.com/TiffanyAliano/status/795153626733932544
c3f37afa9efcf94b;christiantova;2016-11-06 04:53;"#SNL opens w/beautiful mix of comedy/civic duty—call to vote on what kind of country we want. Love Kate McKinnon as @HillaryClinton ! @nbcsnl";https://twitter.com/christiantova/status/795111876384395264
c3f37afa9efcf94b;dougom;2016-11-06 04:16;"@sabalpom @PeggyBrava @PRyan @HillaryClinton And all those women who've accused him? Horse manure. Wake up.";https://twitter.com/dougom/status/795102543965810688
c3f37afa9efcf94b;Flebotte;2016-11-06 04:16;"LSU turns it over on downs and hands the presidency to @HillaryClinton";https://twitter.com/Flebotte/status/795102417885007872
c3f37afa9efcf94b;frederickwalser;2016-11-06 03:33;"@billg5050 @CNBC @CNN @HillaryClinton @MSNBC @FoxNews @realDonaldTrump @Ev_Rosenfeld Trumpster Nazi, got into a fight witha Jewish Trumpster";https://twitter.com/frederickwalser/status/795091772795920384
c3f37afa9efcf94b;Awsome4u2;2016-11-06 01:43;"Thank you @HillaryClinton https:// twitter.com/hillaryclinton /status/795003547968385024 …";https://twitter.com/Awsome4u2/status/795064021980483584
c3f37afa9efcf94b;MontserratVPEDA;2016-11-05 23:56;"Volunteering 2 make calls for @HillaryClinton Headquarters in Austin TX #IamWithHer @mcricker @AFTunion @rweingarten pic.twitter.com/f3DfgWRjbD";https://twitter.com/MontserratVPEDA/status/795037056355463168
c3f37afa9efcf94b;carlyncrow;2016-11-05 23:11;"@BlakeJ98 @HillaryClinton when I grow up I wanna make a campaign video that successful. Even Little Miss Libertarian me was w/her for a sec";https://twitter.com/carlyncrow/status/795025667255570432
c3f37afa9efcf94b;kimberley1954;2016-11-05 23:02;"@davis1087 @Cory_1077 @FoxNews @HillaryClinton You standing holding onto a podium proves NOTHING about your health, Hillary! Some of us know";https://twitter.com/kimberley1954/status/795023622096175104
c3f37afa9efcf94b;PatrickSvitek;2016-11-05 21:06;". @HillaryClinton 's Houston forces anticipate the closest presidential race in Texas in 20 years. (Dole won the state by 5 points in 1996.) pic.twitter.com/ycL8JdnuZw";https://twitter.com/PatrickSvitek/status/794994205370286080
c3f37afa9efcf94b;dj_dwjohns1;2016-11-05 19:28;"@FedUpCitizen_ @teleSURtv @HillaryClinton the premise of the invasion was new oil reserves in shallow water for her donors at BP Oil";https://twitter.com/dj_dwjohns1/status/794969529638129665
c3f37afa9efcf94b;Rwallace_ford;2016-11-05 19:21;"@TXCapTonight @scottbraddock @TexasDeptofAg @MillerForTexas @HillaryClinton such a poor excuse for a public servant.";https://twitter.com/Rwallace_ford/status/794967999283335168
c3f37afa9efcf94b;rshernandez11;2016-11-05 18:56;"@HillaryClinton @Beyonce @njacobo "what yall doing holding hands over there?"";https://twitter.com/rshernandez11/status/794961562209501188
c3f37afa9efcf94b;chester_martz;2016-11-05 17:52;"@HillaryClinton @JoeBiden come on Joe, tell us that you're not part of the Lawless Clinton Campaign.";https://twitter.com/chester_martz/status/794945420552183808
