place;username;date;text;permalink
c3f37afa9efcf94b;alexmackenziesf;2016-11-07 00:58;"@THESAMUELSTEEL @davidaxelrod you forgot the first and father of lies aka @realDonaldTrump";https://twitter.com/alexmackenziesf/status/795415016350580738
c3f37afa9efcf94b;alexmackenziesf;2016-11-07 00:56;"@JustGoForIt @alaskantexanQCT @HillaryClinton based on what? The @FBI ? @StateDept ? Or just your opinion or @realDonaldTrump";https://twitter.com/alexmackenziesf/status/795414514053369857
c3f37afa9efcf94b;DeplorableNewsN;2016-11-07 00:00;"@DanScavino @steph93065 @realDonaldTrump STOP THE STEAL Change you profile picture from n until the election pic.twitter.com/ZFN0X3mMut";https://twitter.com/DeplorableNewsN/status/795400512468357120
c3f37afa9efcf94b;joeywenberg;2016-11-06 23:56;"@realDonaldTrump I dare you to tweet at me.";https://twitter.com/joeywenberg/status/795399575406252032
c3f37afa9efcf94b;DeplorableNewsN;2016-11-06 23:56;"STOP THE STEAL... change you profile picture !! @Cernovich @mike_pence @LindaSuhler @DanScavino @realDonaldTrump @DonaldJTrumpJr @trump pic.twitter.com/eBQsmqlF7g";https://twitter.com/DeplorableNewsN/status/795399405465731072
c3f37afa9efcf94b;shannonladiva;2016-11-06 23:09;"Orange-faced sexual predator thin-skinned crybaby tiny hands wanting nukes @realDonaldTrump PLZ take this bait and rant at me Show yourself";https://twitter.com/shannonladiva/status/795387777420587008
c3f37afa9efcf94b;DannyTalksBack;2016-11-06 22:35;"@SpeakerRyan , "electing @realDonaldTrump will end constant investigations". OR WE could just get rid of you & @HouseGOP ... Problem solved!";https://twitter.com/DannyTalksBack/status/795379095827869696
c3f37afa9efcf94b;SteveBresnen;2016-11-06 22:34;"Someone read really fast all of the 650,000 emails @realDonaldTrump said we're on Weiner's laptop. https:// twitter.com/ap_politics/st atus/795361973751971841 …";https://twitter.com/SteveBresnen/status/795378883105325056
c3f37afa9efcf94b;bruce_ney;2016-11-06 22:25;"@TylerDreiling That's true of all "reality" tv "stars" in my opinion. @realDonaldTrump";https://twitter.com/bruce_ney/status/795376460676661253
c3f37afa9efcf94b;FlyingSaucerAus;2016-11-06 22:18;"@HillaryClinton has jumped to a sizable lead over @realDonaldTrump . 198 to 175....plenty of glasses left come cast your vote!!";https://twitter.com/FlyingSaucerAus/status/795374898864594944
c3f37afa9efcf94b;JustinDavishere;2016-11-06 22:17;"@realDonaldTrump , surrogates, and right-wing media? Plan to talk of proof again of no charges for @HillaryClinton http://www. bbc.com/news/election- us-2016-37892138 …";https://twitter.com/JustinDavishere/status/795374506500091904
c3f37afa9efcf94b;julsmarshall;2016-11-06 22:13;"Yeah. . . No. the ignorant cheeto doesn't do apologies. @realDonaldTrump https:// twitter.com/ralstonreports /status/795372026370277376 …";https://twitter.com/julsmarshall/status/795373472990068736
c3f37afa9efcf94b;tannerlawson84;2016-11-06 22:06;"Bringing jobs back to America you say? #trump #china #practicewhatyoupreach @realDonaldTrump #ImWithHer pic.twitter.com/YGd28Piofq";https://twitter.com/tannerlawson84/status/795371761667895301
c3f37afa9efcf94b;512Derek;2016-11-06 21:51;"@realDonaldTrump trump @FOXSports don't ruin @dallascowboys game with your political commercials. It's #FootballSunday";https://twitter.com/512Derek/status/795367973846482945
c3f37afa9efcf94b;nievesj;2016-11-06 21:46;"Grab the pussy! #trump #TrumpTrain #TrumpPence16 #Trump2016 @realDonaldTrump #pussygrab pic.twitter.com/EJLkhRN79M";https://twitter.com/nievesj/status/795366694915080192
c3f37afa9efcf94b;TXFoodCrawlers;2016-11-06 21:20;"@realDonaldTrump Tried to set up an investment partnership with Muammar Qaddafi. #loserdonald #whineylittlebitch";https://twitter.com/TXFoodCrawlers/status/795360221103321089
c3f37afa9efcf94b;JWGOP;2016-11-06 21:15;"@Matt4VA @realDonaldTrump I do.";https://twitter.com/JWGOP/status/795359092567134208
c3f37afa9efcf94b;dj_dwjohns1;2016-11-06 21:12;"@DanScavino @grit_lori @realDonaldTrump @TeamTrump how many kids went missing? pic.twitter.com/MOT7CWEmZ4";https://twitter.com/dj_dwjohns1/status/795358139436634113
c3f37afa9efcf94b;TXFoodCrawlers;2016-11-06 21:04;"@dianaimp08 @CNN @realDonaldTrump #loserdonald .";https://twitter.com/TXFoodCrawlers/status/795356177450336258
c3f37afa9efcf94b;jindybean;2016-11-06 19:53;"@jaketapper supposed to be a journalist but you only tweet negative tweets for @realDonaldTrump and ignore crimes of HRC. #draintheswamp https:// twitter.com/jaketapper/sta tus/795332663825592320 …";https://twitter.com/jindybean/status/795338299699236864
c3f37afa9efcf94b;PatGuirguis;2016-11-06 19:39;"@realDonaldTrump https://www. youtube.com/watch?v=tgheRz hCTkc&feature=share …";https://twitter.com/PatGuirguis/status/795334914149322753
c3f37afa9efcf94b;frederickwalser;2016-11-06 18:25;"@TonySellsCars @realDonaldTrump @BreitbartNews pic.twitter.com/dSopZdJChB";https://twitter.com/frederickwalser/status/795316266051452929
c3f37afa9efcf94b;frederickwalser;2016-11-06 18:25;"@TheTrumpPuppet @realDonaldTrump @BreitbartNews https:// vine.co/v/5wibbTpOn0P";https://twitter.com/frederickwalser/status/795316140130058240
c3f37afa9efcf94b;gas_punk;2016-11-06 18:24;"Racist uncle Ted, a @realDonaldTrump supporter and a favorite of @ThatMetalShow @VH1 and @realdonjamieson . #MakeMetalRacistAgain https:// twitter.com/timothywjohnso n/status/795247810610429956 …";https://twitter.com/gas_punk/status/795315894398357504
c3f37afa9efcf94b;frederickwalser;2016-11-06 18:24;"@TWTWsports @realDonaldTrump pic.twitter.com/d1pwmHJVic";https://twitter.com/frederickwalser/status/795315835560722432
c3f37afa9efcf94b;frederickwalser;2016-11-06 18:22;"@realDonaldTrump pic.twitter.com/pgFIAWv2Fz";https://twitter.com/frederickwalser/status/795315521365438464
c3f37afa9efcf94b;gas_punk;2016-11-06 18:01;"Hey @Nick_Offerman , these dudes just made a 7" in "honor" of your pal NACHO aka @realDonaldTrump . https:// analtrump.bandcamp.com/album/that-mak es-me-smart … #AnalTrump pic.twitter.com/jGm195Lmfy";https://twitter.com/gas_punk/status/795310272164532225
c3f37afa9efcf94b;dj_dwjohns1;2016-11-06 17:20;"@TrumpDynastyUSA @realDonaldTrump pic.twitter.com/CtdnEMZ0OZ";https://twitter.com/dj_dwjohns1/status/795299814334468096
