Rank,City,State,x,y
1,New York,New York,-73.9385,40.6643
2,Los Angeles,California,-118.4108,34.0194
3,Chicago,Illinois,-87.6818,41.8376
4,Houston,Texas,-95.3863,29.7805
5,Philadelphia,Pennsylvania,-75.1333,40.0094
6,Phoenix,Arizona,-112.0880,33.5722
7,San Antonio,Texas,-98.5251,29.4724
8,San Diego,California,-117.1350,32.8153
9,Dallas,Texas,-96.7967,32.7757
10,San Jose,California,-121.8193,37.2969
11,Austin,Texas,-97.7560,30.3072
12,Jacksonville,Florida,-81.6613,30.337
13,San Francisco,California,-122.4193,37.7751
14,Indianapolis,Indiana,-86.1459,39.7767
15,Columbus,Ohio,-82.9850,39.9848
16,Fort Worth,Texas,-97.3463,32.7795
17,Charlotte,North Carolina,-80.8307,35.2087
18,Seattle,Washington,-122.3509,47.6205
19,Denver,Colorado,-104.8806,39.7618
20,El Paso,Texas,-106.4270,31.8484
21,Detroit,Michigan,-83.1022,42.383
22,Washington,District of Columbia,-77.0171,38.9041
23,Boston,Massachusetts,-71.0202,42.332
24,Memphis,Tennessee,-89.9785,35.1035
25,Nashville,Tennessee,-86.7850,36.1718
26,Portland,Oregon,-122.6500,45.537
27,Oklahoma City,Oklahoma,-97.5137,35.4671
28,Las Vegas,Nevada,-115.2640,36.2277
29,Baltimore,Maryland,-76.6105,39.3002
30,Louisville,Kentucky,-85.6667,38.1781
31,Milwaukee,Wisconsin,-87.9667,43.0633
32,Albuquerque,New Mexico,-106.6474,35.1056
33,Tucson,Arizona,-110.8711,32.1543
34,Fresno,California,-119.7945,36.7827
35,Sacramento,California,-121.4686,38.5666
36,Kansas City,Missouri,-94.5511,39.1252
37,Long Beach,California,-118.1553,33.8091
38,Mesa,Arizona,-111.7174,33.4019
39,Atlanta,Georgia,-84.4227,33.7629
40,Colorado Springs,Colorado,-104.7607,38.8673
41,Virginia Beach,Virginia,-76.0240,36.7793
42,Raleigh,North Carolina,-78.6414,35.8302
43,Omaha,Nebraska,-96.0419,41.2647
44,Miami,Florida,-80.2086,25.7752
45,Oakland,California,-122.2256,37.7699
46,Minneapolis,Minnesota,-93.2683,44.9633
47,Tulsa,Oklahoma,-95.9023,36.1279
48,Wichita,Kansas,-97.3427,37.6907
49,New Orleans,Louisiana,-89.9390,30.0686
50,Arlington,Texas,-97.1247,32.7007
51,Cleveland,Ohio,-81.6795,41.4781
52,Bakersfield,California,-119.0183,35.3212
53,Tampa,Florida,-82.4797,27.9701
54,Aurora,Colorado,-104.8235,39.7082
55,Honolulu,Hawai'i,-157.8453,21.3259
56,Anaheim,California,-117.7601,33.8555
57,Santa Ana,California,-117.8826,33.7365
58,Corpus Christi,Texas,-97.1734,27.7543
59,Riverside,California,-117.3932,33.9381
60,St. Louis,Missouri,-90.2446,38.6357
61,Lexington,Kentucky,-84.4584,38.0402
62,Stockton,California,-121.3133,37.9763
63,Pittsburgh,Pennsylvania,-79.9766,40.4398
64,Saint Paul,Minnesota,-93.1039,44.9489
65,Anchorage,Alaska,-149.8953,61.2176
66,Cincinnati,Ohio,-84.5064,39.1399
67,Henderson,Nevada,-115.0375,36.0122
68,Greensboro,North Carolina,-79.8271,36.0965
69,Plano,Texas,-96.7479,33.0508
70,Newark,New Jersey,-74.1726,40.7242
71,Toledo,Ohio,-83.5819,41.6641
72,Lincoln,Nebraska,-96.6804,40.809
73,Orlando,Florida,-81.2988,28.4159
74,Chula Vista,California,-117.0152,32.6277
75,Jersey City,New Jersey,-74.0648,40.7114
76,Chandler,Arizona,-111.8549,33.2829
77,Fort Wayne,Indiana,-85.1439,41.0882
78,Buffalo,New York,-78.8597,42.8925
79,Durham,North Carolina,-78.9056,35.981
80,St. Petersburg,Florida,-82.6441,27.762
81,Irvine,California,-117.7713,33.6784
82,Laredo,Texas,-99.4869,27.5477
83,Lubbock,Texas,-101.8867,33.5665
84,Madison,Wisconsin,-89.4301,43.0878
85,Gilbert,Arizona,-111.7422,33.3102
86,Norfolk,Virginia,-76.2446,36.923
87,Reno,Nevada,-119.7765,39.4745
88,WinstonÐSalem,North Carolina,-80.2606,36.1033
89,Glendale,Arizona,-112.1899,33.5331
90,Hialeah,Florida,-80.3029,25.8699
91,Garland,Texas,-96.6304,32.9098
92,Scottsdale,Arizona,-111.8237,33.6687
93,Irving,Texas,-96.9700,32.8577
94,Chesapeake,Virginia,-76.3018,36.6794
95,North Las Vegas,Nevada,-115.0893,36.283
96,Fremont,California,-121.9411,37.4944
97,Baton Rouge,Louisiana,-91.1259,30.4485
98,Richmond,Virginia,-77.4760,37.5314
99,Boise,Idaho,-116.2311,43.5985
100,San Bernardino,California,-117.2953,34.1393
101,Spokane,Washington,-117.4166,47.6736
102,Birmingham,Alabama,-86.7990,33.5274
103,Modesto,California,-120.9891,37.6609
104,Des Moines,Iowa,-93.6167,41.5739
105,Rochester,New York,-77.6169,43.1699
106,Tacoma,Washington,-122.4598,47.2522
107,Fontana,California,-117.4627,34.1088
108,Oxnard,California,-119.2046,34.2023
109,Moreno Valley,California,-117.2057,33.9233
110,Fayetteville,North Carolina,-78.9803,35.0851
111,Huntington Beach,California,-118.0093,33.6906
112,Yonkers,New York,-73.8674,40.9459
113,Glendale,California,-118.2458,34.1814
114,Aurora,Illinois,-88.2901,41.7635
115,Montgomery,Alabama,-86.2686,32.3463
116,Columbus,Georgia,-84.8749,32.5102
117,Amarillo,Texas,-101.8287,35.1978
118,Little Rock,Arkansas,-92.3586,34.7254
119,Akron,Ohio,-81.5214,41.0805
120,Shreveport,Louisiana,-93.7927,32.467
121,Augusta,Georgia,-82.0734,33.3655
122,Grand Rapids,Michigan,-85.6556,42.9612
123,Mobile,Alabama,-88.1002,30.6684
124,Salt Lake City,Utah,-111.9314,40.7785
125,Huntsville,Alabama,-86.5390,34.7843
126,Tallahassee,Florida,-84.2534,30.4551
127,Grand Prairie,Texas,-97.0210,32.6842
128,Overland Park,Kansas,-94.6906,38.889
129,Knoxville,Tennessee,-83.9465,35.9709
130,Worcester,Massachusetts,-71.8078,42.2695
131,Brownsville,Texas,-97.4538,26.0183
132,Newport News,Virginia,-76.5217,37.076
133,Santa Clarita,California,-118.5047,34.4049
134,Port St. Lucie,Florida,-80.3838,27.281
135,Providence,Rhode Island,-71.4188,41.8231
136,Fort Lauderdale,Florida,-80.1439,26.1413
137,Chattanooga,Tennessee,-85.2471,35.0665
138,Tempe,Arizona,-111.9318,33.3884
139,Oceanside,California,-117.3062,33.2246
140,Garden Grove,California,-117.9605,33.7788
141,Rancho Cucamonga,California,-117.5642,34.1233
142,Cape Coral,Florida,-81.9973,26.6431
143,Santa Rosa,California,-122.7061,38.4468
144,Vancouver,Washington,-122.5965,45.6372
145,Sioux Falls,South Dakota,-96.7320,43.5383
146,Peoria,Arizona,-112.3111,33.7877
147,Ontario,California,-117.6088,34.0395
148,Jackson,Mississippi,-90.2128,32.3158
149,Elk Grove,California,-121.3849,38.4144
150,Springfield,Missouri,-93.2913,37.1942
151,Pembroke Pines,Florida,-80.3404,26.0212
152,Salem,Oregon,-123.0231,44.9237
153,Corona,California,-117.5639,33.8624
154,Eugene,Oregon,-123.1162,44.0567
155,McKinney,Texas,-96.6680,33.2012
156,Fort Collins,Colorado,-105.0648,40.5482
157,Lancaster,California,-118.1753,34.6936
158,Cary,North Carolina,-78.8141,35.7821
159,Palmdale,California,-118.1090,34.5913
160,Hayward,California,-122.1063,37.6281
161,Salinas,California,-121.6337,36.6902
162,Frisco,Texas,-96.8193,33.151
163,Springfield,Massachusetts,-72.5400,42.1155
164,Pasadena,Texas,-95.1505,29.6583
165,Macon,Georgia,-83.396,32.505
166,Alexandria,Virginia,-77.0820,38.8183
167,Pomona,California,-117.7613,34.0586
168,Lakewood,Colorado,-105.1176,39.6989
169,Sunnyvale,California,-122.0263,37.3858
170,Escondido,California,-117.0732,33.1336
171,Kansas City,Kansas,-94.7418,39.1225
172,Hollywood,Florida,-80.1646,26.0311
173,Clarksville,Tennessee,-87.3452,36.5664
174,Torrance,California,-118.3414,33.835
175,Rockford,Illinois,-89.0628,42.2634
176,Joliet,Illinois,-88.1584,41.5181
