username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
stevesi;2016-11-08 00:58;3;49;"Trump rally ends with Stones "You Can't Always Get What You Want" — standard closing song for him, but sure is weird.";;;;"795777511711870976";https://twitter.com/stevesi/status/795777511711870976
hsaboia;2016-11-08 00:55;0;1;"@SonycIC bad people everywhere. The racist ones over index in the trump party though. That's all.";;@SonycIC;;"795776786294444032";https://twitter.com/hsaboia/status/795776786294444032
Khanoisseur;2016-11-08 00:54;23;27;"Trump's flip flops on immigration/amnesty @KFILE @dmartosko (longer montage here https:// twitter.com/Khanoisseur/st atus/765627507638796289 … ) pic.twitter.com/AJoKln3WCD";;@KFILE @dmartosko;;"795776466604593152";https://twitter.com/Khanoisseur/status/795776466604593152
Drakonskyr;2016-11-08 00:53;0;2;"it's a great day if I can just drop a hot DMX track in the middle of an anti-trump discussion";;;;"795776133799084032";https://twitter.com/Drakonskyr/status/795776133799084032
rjurney;2016-11-08 00:33;0;1;"@dnscollective People just didn't appreciate my, "If you support Trump, go fuck yourself" facebook post.";;@dnscollective;;"795771258549850113";https://twitter.com/rjurney/status/795771258549850113
hsaboia;2016-11-08 00:32;0;0;"@SonycIC no argument. Just one of the many examples of racism and hate coming from some in Trump camp. This one is a 2-2.";;@SonycIC;;"795770971298795520";https://twitter.com/hsaboia/status/795770971298795520
LincMad;2016-11-08 00:24;0;0;"M.A.M.O.N. - Latinos vs. Donald Trump short film cortometraje (en + es w/ en subtitles) https:// youtu.be/Q__bSi5rBlw via @EP_EnEspanol";;@EP_EnEspanol;;"795769032121073665";https://twitter.com/LincMad/status/795769032121073665
Khanoisseur;2016-11-07 23:58;149;111;"Trump supporters like @JaredWyand are intimidating voters by circulating rumors, fake photos of ICE arrests at polling booths @MickeyTulip pic.twitter.com/89qeYVXzDq";;@JaredWyand @MickeyTulip;;"795762285390110720";https://twitter.com/Khanoisseur/status/795762285390110720
MartyMacGyver;2016-11-07 23:52;0;0;"@contourcorsets I have hope that human decency and progressive values will prevail over Trump and his hateful minions tomorrow.";;@contourcorsets;;"795760905308864512";https://twitter.com/MartyMacGyver/status/795760905308864512
urbanlifesigns;2016-11-07 23:51;0;1;"@anthonybrown @markasaurus @KevinChron @SFGate #Calexit going nowhere today. With Trump presidency it might gain traction in a few days.";;@anthonybrown @markasaurus @KevinChron @SFGate;#Calexit;"795760691055509509";https://twitter.com/urbanlifesigns/status/795760691055509509
MartyMacGyver;2016-11-07 23:50;0;0;"From paying himself over-inflated rents on the campaign offices he owns to this, #Trump is an inveterate self-dealer http:// politi.co/2d86IUo";;;#Trump;"795760364361314304";https://twitter.com/MartyMacGyver/status/795760364361314304
cali94612;2016-11-07 23:39;0;0;"@Joey_Mitchell63 how what's done? Many Republicans aren't and won't vote for Trump. That makes them a Hillbot? LOL, please.";;@Joey_Mitchell63;;"795757595541680129";https://twitter.com/cali94612/status/795757595541680129
cali94612;2016-11-07 23:34;0;0;"@Joey_Mitchell63 @Conssista @PariahPotimouth @DarkTriadMan I would never vote for Trump because he's not a Republican,nor is he conservative";;@Joey_Mitchell63 @Conssista @PariahPotimouth @DarkTriadMan;;"795756368363802624";https://twitter.com/cali94612/status/795756368363802624
antvr8;2016-11-07 23:31;0;0;"@mmfa Like the national debt clock, there should be a clock counting up to the month,day and year Trump reveals his taxes. I pick 9-1-3035!";;@mmfa;;"795755561446838272";https://twitter.com/antvr8/status/795755561446838272
Khanoisseur;2016-11-07 23:29;29;41;"*no evidence* Trump *ever* paid federal taxes or took legal breaks bc he won't release returns @GTCost @ventana56 https:// twitter.com/khanoisseur/st atus/782721926498181120 …";;@GTCost @ventana56;;"795754985380155392";https://twitter.com/Khanoisseur/status/795754985380155392
LincMad;2016-11-07 23:25;0;0;"@Montgomery_bjm Clearly he needs to spend every last sec&¢ on a Twitter marathon from SF—but #Trump 's too #CHICKEN ! #Winning";;@Montgomery_bjm;#Trump #CHICKEN #Winning;"795754173945892864";https://twitter.com/LincMad/status/795754173945892864
JulioFrank83;2016-11-07 23:24;0;0;"@realDonaldTrump #TrumpTrain #FinalThoughtsOnElection #TRUMP #TrumpForPresident #RepublicaDeOportunidades #RepublicansagainstTrump #WhatIf pic.twitter.com/A9tp8RfHKx";;@realDonaldTrump;#TrumpTrain #FinalThoughtsOnElection #TRUMP #TrumpForPresident #RepublicaDeOportunidades #RepublicansagainstTrump #WhatIf;"795753826263318530";https://twitter.com/JulioFrank83/status/795753826263318530
LincMad;2016-11-07 23:15;0;0;"@jk_rowling Certainly there have been Presidents & campaigns that gave pause to a few countries, but nothing like Trump!";;@jk_rowling;;"795751644612870145";https://twitter.com/LincMad/status/795751644612870145
sfluvr007;2016-11-07 23:11;0;0;"Trump and Pence want you to reward their volunteers with your money! Typical. #ImWithHer https:// twitter.com/paigelav/statu s/795659878085824512 …";;;#ImWithHer;"795750582698983428";https://twitter.com/sfluvr007/status/795750582698983428
